mood,age,sound
none,none,ang_014
mood_pain,none,ang_014
mood_aggressive,none,ang_014
none,none,ang_016
mood_sad,none,ang_016
mood_aggressive,none,ang_016
none,none,bor_016
mood_sad,none,bor_016
mood_bored,none,bor_016
none,none,fat_014
mood_sad,none,fat_014
mood_bored,none,fat_014
none,none,hun_004
mood_aggressive,none,hun_004
none,none,hun_005
mood_pain,none,hun_005
none,none,hun_011
none,none,s3_grunt01
mood_pain,none,s3_grunt01
none,none,s3_grunt02
mood_pain,none,s3_grunt02
none,none,s3_grunt03
mood_affectionate,none,s3_grunt03
none,none,s3_grunt04
none,none,sq1_grunt01
mood_pain,none,sq1_grunt01
none,none,sq1_snort05
none,none,sur_001
mood_sad,none,sur_001
mood_pain,none,sur_001
mood_scared,none,sur_001
