Header
rate=30
frames=120
duration=4.0
type=degree
Body
Time,Frame,RE,RS,LE,LS,NV,NH,HD,RK,RH,LK,LH,TV,TH,TO,SD,
0.0,0,-3.47886,-1.71302,-3.45405,-1.33647,6.83019e-006,6.83019e-006,0.655261,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
0.0333333,1,-3.47886,-1.71302,-3.45405,-1.33647,0.281086,-0.0772435,0.655261,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
0.0666667,2,-3.47886,-1.71302,-3.45405,-1.33647,1.09549,-0.30242,0.655261,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
0.1,3,-3.47886,-1.71302,-3.45405,-1.33647,2.39997,-0.665661,0.655261,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
0.133333,4,-3.47886,-1.71302,-3.45405,-1.33647,4.15128,-1.1571,0.655261,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
0.166667,5,-3.47886,-1.71302,-3.45405,-1.33647,6.30617,-1.76689,0.655261,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
0.2,6,-3.47886,-1.71302,-3.45405,-1.33647,8.82138,-2.48515,0.655261,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
0.233333,7,-3.47886,-1.71302,-3.45405,-1.33647,11.6537,-3.30203,0.655261,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
0.266667,8,-3.47886,-1.71302,-3.45405,-1.33647,14.7598,-4.20767,0.655261,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
0.3,9,-3.47886,-1.71302,-3.45405,-1.33647,18.0965,-5.1922,0.655261,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
