Header
rate=30
frames=60
duration=2.0
type=degree
used=TV-TH
Body
Time,Frame,RE,RS,LE,LS,NV,NH,HD,RK,RH,LK,LH,TV,TH,TO,SD,TR
0.0,0,-3.45587,5.65577,-3.45405,5.83171,6.83019e-006,6.83019e-006,0.0,-6.27648,2.3756,-5.75184,2.41179,1.36604e-005,0.0,0.0,0.0,0.0
0.0333333,1,-3.45587,5.65577,-3.45405,5.83171,6.83019e-006,6.83019e-006,0.0,-6.27648,2.3756,-5.75184,2.41179,1.36604e-005,8.36204,0.0,0.0,0.0
0.0666667,2,-3.45587,5.65577,-3.45405,5.83171,6.83019e-006,6.83019e-006,0.0,-6.27648,2.3756,-5.75184,2.41179,1.36604e-005,16.8027,0.0,0.0,0.0
0.1,3,-3.45587,5.65577,-3.45405,5.83171,6.83019e-006,6.83019e-006,0.0,-6.27648,2.3756,-5.75184,2.41179,1.36604e-005,25.0833,0.0,0.0,0.0
0.133333,4,-3.45587,5.65577,-3.45405,5.83171,6.83019e-006,6.83019e-006,0.0,-6.27648,2.3756,-5.75184,2.41179,1.36604e-005,33.1285,0.0,0.0,0.0
0.166667,5,-3.45587,5.65577,-3.45405,5.83171,6.83019e-006,6.83019e-006,0.0,-6.27648,2.3756,-5.75184,2.41179,1.36604e-005,40.8923,0.0,0.0,0.0
0.2,6,-3.45587,5.65577,-3.45405,5.83171,6.83019e-006,6.83019e-006,0.0,-6.27648,2.3756,-5.75184,2.41179,1.36604e-005,48.3349,0.0,0.0,0.0
0.233333,7,-3.45587,5.65577,-3.45405,5.83171,6.83019e-006,6.83019e-006,0.0,-6.27648,2.3756,-5.75184,2.41179,1.36604e-005,55.4154,0.0,0.0,0.0
0.266667,8,-3.45587,5.65577,-3.45405,5.83171,6.83019e-006,6.83019e-006,0.0,-6.27648,2.3756,-5.75184,2.41179,1.36604e-005,62.0873,0.0,0.0,0.0
0.3,9,-3.45587,5.65577,-3.45405,5.83171,6.83019e-006,6.83019e-006,0.0,-6.27648,2.3756,-5.75184,2.41179,1.36604e-005,68.2954,0.0,0.0,0.0
