Header
rate=30
frames=180
duration=6.0
type=degree
Body
Time,Frame,RE,RS,LE,LS,NV,NH,HD,RK,RH,LK,LH,TV,TH,TO,SD,TR
0.0,0,60.512,-47.4123,40.9856,13.8917,6.83019e-006,20.0,55.6553,-76.317,25.5453,-30.9897,-29.2669,1.36604e-005,65.0,29.8502,0.0,0.0
0.0333333,1,61.979,-47.6048,45.1945,9.66048,6.83019e-006,20.0073,55.6553,-76.1353,25.4901,-36.2996,-26.582,1.36604e-005,64.927,29.8502,0.0,0.0
0.0666667,2,65.9556,-48.0714,48.6303,5.67046,6.83019e-006,20.0288,55.6553,-75.6083,25.3391,-47.0871,-21.1881,1.36604e-005,64.7125,29.8502,0.0,0.0
0.1,3,71.6806,-48.5093,51.4006,1.96212,6.83019e-006,20.0637,55.6553,-74.7639,25.0714,-58.6213,-15.5646,1.36604e-005,64.3629,29.8502,0.0,0.0
0.133333,4,78.4031,-48.6011,53.6092,-1.46571,6.83019e-006,20.1115,55.6553,-73.624,24.6996,-69.1797,-10.5197,1.36604e-005,63.885,29.8502,0.0,0.0
0.166667,5,85.4807,-48.0527,55.3351,-4.63175,6.83019e-006,20.1715,55.6553,-72.2076,24.2218,-77.984,-6.28097,1.36604e-005,63.2853,29.8502,0.0,0.0
0.2,6,92.3762,-46.5066,56.6391,-7.57218,6.83019e-006,20.243,55.6553,-70.5343,23.6384,-84.4674,-2.77899,1.36604e-005,62.5703,29.8502,0.0,0.0
0.233333,7,98.6225,-43.6606,57.5712,-10.3033,6.83019e-006,20.3253,55.6553,-68.6195,22.9336,-89.4909,0.509078,1.36604e-005,61.7467,29.8502,0.0,0.0
0.266667,8,103.802,-39.155,58.1729,-12.82,6.83019e-006,20.4179,55.6553,-66.4787,22.1393,-94.1577,4.03193,1.36604e-005,60.8211,29.8502,0.0,0.0
0.3,9,107.556,-32.7618,58.4806,-15.145,6.83019e-006,20.52,55.6553,-64.1262,21.2067,-98.2659,7.7136,1.36604e-005,59.8,29.8502,0.0,0.0
0.333333,10,109.64,-24.5617,58.5265,-17.2819,6.83019e-006,20.631,55.6553,-61.5757,20.1657,-101.61,11.5085,1.36604e-005,58.69,29.8502,0.0,0.0
0.366667,11,109.992,-15.0901,58.3402,-19.2734,6.83019e-006,20.7502,55.6553,-58.8412,19.0019,-103.967,15.4112,1.36604e-005,57.4976,29.8502,0.0,0.0
0.4,12,108.766,-5.14688,57.9498,-21.0934,6.83019e-006,20.877,55.6553,-55.9358,17.7102,-105.599,19.246,1.36604e-005,56.2296,29.8502,0.0,0.0
0.433333,13,106.311,4.32583,57.3816,-22.7862,6.83019e-006,21.0108,55.6553,-52.8735,16.2898,-106.943,22.9576,1.36604e-005,54.8924,29.8502,0.0,0.0
0.466667,14,103.103,12.6429,56.6616,-24.3657,6.83019e-006,21.1507,55.6553,-49.6714,14.7471,-108.02,26.5507,1.36604e-005,53.4927,29.8502,0.0,0.0
0.5,15,99.6623,19.4381,55.8145,-25.8278,6.83019e-006,21.2963,55.6553,-46.3466,13.0624,-108.853,30.004,1.36604e-005,52.037,29.8502,0.0,0.0
0.533333,16,96.5107,24.4397,54.8653,-27.1981,6.83019e-006,21.4468,55.6553,-42.9231,11.2492,-109.47,33.2726,1.36604e-005,50.5319,29.8502,0.0,0.0
0.566667,17,94.1233,27.5334,53.8387,-28.4928,6.83019e-006,21.6016,55.6553,-39.4294,9.30633,-109.904,36.3462,1.36604e-005,48.9841,29.8502,0.0,0.0
0.6,18,92.8887,28.5899,52.7597,-29.7192,6.83019e-006,21.76,55.6553,-35.9083,7.26159,-110.193,39.2701,1.36604e-005,47.4,29.8502,0.0,0.0
0.633333,19,92.35,28.3321,51.6526,-30.9221,6.83019e-006,21.9214,55.6553,-32.423,5.13357,-110.376,42.007,1.36604e-005,45.7863,29.8502,0.0,0.0
0.666667,20,91.8615,27.6238,50.5431,-32.0909,6.83019e-006,22.0851,55.6553,-29.0741,2.97338,-110.499,44.5702,1.36604e-005,44.1495,29.8502,0.0,0.0
0.7,21,91.4251,26.4925,49.4557,-33.2517,6.83019e-006,22.2504,55.6553,-26.0247,0.850559,-110.608,47.0257,1.36604e-005,42.4963,29.8502,0.0,0.0
0.733333,22,91.0366,25.0115,48.4159,-34.4211,6.83019e-006,22.4167,55.6553,-23.5436,-1.09496,-110.751,49.3532,1.36604e-005,40.8332,29.8502,0.0,0.0
0.766667,23,90.6815,23.2207,47.4292,-35.5946,6.83019e-006,22.5833,55.6553,-21.9112,-2.70388,-110.956,51.5933,1.36604e-005,39.1668,29.8502,0.0,0.0
0.8,24,90.3211,21.1318,46.4735,-36.7728,6.83019e-006,22.7496,55.6553,-21.2482,-3.90212,-110.678,53.7374,1.36604e-005,37.5037,29.8502,0.0,0.0
0.833333,25,89.9187,18.7921,45.531,-37.9325,6.83019e-006,22.915,55.6553,-21.5522,-4.68184,-109.41,55.6969,1.36604e-005,35.8505,29.8502,0.0,0.0
0.866667,26,89.4383,16.2978,44.5842,-39.0677,6.83019e-006,23.0786,55.6553,-22.6538,-5.12562,-107.202,57.394,1.36604e-005,34.2137,29.8502,0.0,0.0
0.9,27,88.8508,13.6552,43.6169,-40.1498,6.83019e-006,23.24,55.6553,-24.305,-5.35243,-104.11,58.7761,1.36604e-005,32.6,29.8502,0.0,0.0
0.933333,28,88.1286,10.9346,42.6147,-41.168,6.83019e-006,23.3984,55.6553,-26.2802,-5.48405,-100.208,59.8015,1.36604e-005,31.0159,29.8502,0.0,0.0
0.966667,29,87.2515,8.18999,41.5641,-42.1334,6.83019e-006,23.5532,55.6553,-28.4147,-5.59967,-95.5736,60.4907,1.36604e-005,29.468,29.8502,0.0,0.0
1.0,30,86.2081,5.47313,40.4546,-43.0057,6.83019e-006,23.7037,55.6553,-30.5972,-5.73196,-90.294,60.8269,1.36604e-005,27.9629,29.8502,0.0,0.0
1.03333,31,84.9921,2.83162,39.2773,-43.814,6.83019e-006,23.8493,55.6553,-32.7555,-5.92924,-84.4594,60.8096,1.36604e-005,26.5072,29.8502,0.0,0.0
1.06667,32,83.6064,0.291632,38.0256,-44.5233,6.83019e-006,23.9893,55.6553,-34.8412,-6.18126,-78.1652,60.4385,1.36604e-005,25.1075,29.8502,0.0,0.0
1.1,33,82.0626,-2.08455,36.6963,-45.1395,6.83019e-006,24.123,55.6553,-36.8225,-6.5163,-71.5214,59.7145,1.36604e-005,23.7703,29.8502,0.0,0.0
1.13333,34,80.3797,-4.27475,35.2888,-45.6596,6.83019e-006,24.2498,55.6553,-38.6757,-6.90738,-64.66,58.6599,1.36604e-005,22.5023,29.8502,0.0,0.0
1.16667,35,78.5845,-6.30638,33.8063,-46.0826,6.83019e-006,24.369,55.6553,-40.3842,-7.37577,-57.7632,57.2896,1.36604e-005,21.31,29.8502,0.0,0.0
1.2,36,76.714,-8.12095,32.2556,-46.4089,6.83019e-006,24.48,55.6553,-41.9372,-7.89021,-51.1052,55.6994,1.36604e-005,20.2,29.8502,0.0,0.0
1.23333,37,74.812,-9.76495,30.65,-46.6361,6.83019e-006,24.5821,55.6553,-43.3237,-8.44141,-45.1304,54.0541,1.36604e-005,19.1788,29.8502,0.0,0.0
1.26667,38,72.9301,-11.2393,29.0081,-46.7819,6.83019e-006,24.6747,55.6553,-44.5363,-9.03099,-40.5511,52.6844,1.36604e-005,18.2532,29.8502,0.0,0.0
1.3,39,71.1293,-12.5664,27.3581,-46.8396,6.83019e-006,24.7571,55.6553,-45.5678,-9.64699,-38.3496,52.0022,1.36604e-005,17.4296,29.8502,0.0,0.0
1.33333,40,69.476,-13.7872,25.7385,-46.8199,6.83019e-006,24.8285,55.6553,-46.4106,-10.2619,-39.3758,52.4086,1.36604e-005,16.7146,29.8502,0.0,0.0
1.36667,41,68.0461,-14.9115,24.2031,-46.7484,6.83019e-006,24.8885,55.6553,-47.0553,-10.871,-42.0515,53.2943,1.36604e-005,16.1149,29.8502,0.0,0.0
1.4,42,66.9178,-15.9768,22.8239,-46.6353,6.83019e-006,24.9363,55.6553,-47.494,-11.4617,-44.5569,54.004,1.36604e-005,15.637,29.8502,0.0,0.0
1.43333,43,66.171,-17.0437,21.6932,-46.5116,6.83019e-006,24.9713,55.6553,-47.7122,-12.0256,-46.8532,54.5292,1.36604e-005,15.2875,29.8502,0.0,0.0
1.46667,44,65.8843,-18.1354,20.9238,-46.4111,6.83019e-006,24.9927,55.6553,-47.6953,-12.5538,-48.901,54.8905,1.36604e-005,15.0729,29.8502,0.0,0.0
1.5,45,66.1277,-19.2799,20.6401,-46.3679,6.83019e-006,25.0,55.6553,-47.4208,-13.0339,-50.6595,55.0526,1.36604e-005,15.0,29.8502,0.0,0.0
1.53333,46,66.52,-20.3903,26.5855,-48.2657,6.83019e-006,24.9927,55.6553,-47.5064,-13.2511,-52.0972,55.0449,1.36604e-005,15.0729,29.8502,0.0,0.0
1.56667,47,66.6523,-21.3831,38.9489,-51.5485,6.83019e-006,24.9713,55.6553,-48.5138,-12.98,-53.2361,54.8536,1.36604e-005,15.2875,29.8502,0.0,0.0
