Header
rate=30
frames=120
duration=4.0
type=degree
Body
Time,Frame,RE,RS,LE,LS,NV,NH,HD,RK,RH,LK,LH,TV,TH,TO,SD,TR
0,0,36.5623,-46.3006,51.5717,-20.9257,-30,65,0.655261,-50.0362,35.7373,-36.4166,-14.0306,17.3651,-46.3572,9.64903,0,0
0.0333333,1,48.7616,-50.3461,51.9041,-22.012,-30,65,0.655261,-50.396,35.1677,-42.0643,-11.9648,17.141,-46.0659,9.59277,0,0
0.0666667,2,72.4808,-55.495,52.1516,-23.0203,-30,65,0.655261,-50.7265,34.6019,-54.5193,-6.3469,16.4998,-45.2185,9.42981,0,0
0.1,3,94.3506,-55.9384,52.3156,-23.9892,-30,65,0.655261,-51.0311,34.0729,-66.2085,-0.890977,15.4878,-43.8547,9.16882,0,0
0.133333,4,108.901,-48.6684,52.3969,-24.8914,-30,65,0.655261,-51.3133,33.5495,-74.1413,3.67509,14.1513,-42.0143,8.8185,0,0
0.166667,5,113.636,-34.1043,52.3959,-25.7325,-30,65,0.655261,-51.5747,33.056,-79.3746,7.81797,12.5367,-39.7369,8.38754,0,0
0.2,6,111.18,-21.9161,52.3129,-26.5499,-30,65,0.655261,-51.8166,32.5917,-84.3621,11.9466,10.6904,-37.0623,7.88465,0,0
0.233333,7,107.301,-15.6828,52.1477,-27.306,-30,65,0.655261,-52.0383,32.1312,-89.0611,16.0664,8.6586,-34.0302,7.31849,0,0
0.266667,8,104.29,-11.2837,51.9004,-28.0475,-30,65,0.655261,-52.2391,31.6968,-93.4302,20.1061,6.48778,-30.6803,6.69778,0,0
0.3,9,102.169,-8.37731,51.5712,-28.7481,-30,65,0.655261,-52.417,31.2776,-97.4274,24.0892,4.22425,-27.0524,6.03121,0,0
0.333333,10,100.83,-6.66725,51.16,-29.4222,-30,65,0.655261,-52.569,30.8699,-101.011,27.9517,1.91437,-23.1861,5.32746,0,0
