Header
rate=30
frames=120
duration=4.0
type=degree
Body
Time,Frame,RE,RS,LE,LS,NV,NH,HD,RK,RH,LK,LH,TV,TH,TO,SD,TR
0,0,50,-30,27,15,0,-2,0,-58,35,-43,2,0,-46,0,0,0
0.033,1,50,-30,30,14,0,-2,0,-60,35,-43,2,0,-48,0,0,0
0.066,2,51,-30,35,11,0,-2,0,-60,35,-43,2,0,-47,0,0,0
0.099,3,51,-30,42,8,0,-2,0,-60,35,-44,3,0,-46,0,0,0
0.132,4,51,-30,50,6,0,-2,0,-60,35,-44,4,0,-44,0,0,0
0.165,5,51,-30,57,3,0,-2,0,-60,35,-45,4,1,-42,0,0,0
0.198,6,51,-30,65,1,0,-1,0,-60,35,-45,5,1,-39,0,0,0
0.231,7,51,-30,72,0,0,-1,0,-59,35,-46,7,1,-36,-1,0,0
0.264,8,51,-30,79,0,0,-1,0,-59,35,-47,8,2,-32,-1,0,0
0.297,9,51,-30,85,0,0,-1,0,-59,35,-48,9,2,-29,-1,0,0
0.33,10,51,-30,90,0,0,-1,0,-59,35,-49,11,3,-25,-2,0,0
0.363,11,51,-30,90,0,0,-1,0,-59,35,-50,12,4,-20,-2,0,0
0.396,12,51,-30,90,1,0,-1,0,-59,35,-51,14,4,-16,-2,0,0
0.429,13,50,-30,90,1,0,-1,0,-59,35,-52,15,5,-12,-3,0,0
0.462,14,50,-30,90,2,0,-1,0,-59,35,-53,17,5,-7,-3,0,0
0.495,15,50,-30,90,1,0,-1,0,-59,35,-54,19,6,-2,-3,0,0
0.528,16,50,-30,90,0,0,-2,0,-59,35,-55,20,7,1,-4,0,0
0.561,17,50,-30,90,-5,0,-3,0,-59,35,-56,22,7,6,-4,0,0
0.594,18,50,-30,90,-12,0,-4,0,-59,35,-57,24,8,10,-4,0,0
0.627,19,50,-30,90,-21,0,-5,0,-58,35,-58,25,8,15,-5,0,0
0.66,20,50,-30,90,-29,0,-5,0,-58,35,-59,27,9,19,-5,0,0
0.693,21,49,-30,90,-30,0,-5,0,-58,35,-59,29,9,23,-5,0,0
0.726,22,49,-30,90,-30,0,-5,0,-58,35,-60,30,10,26,-6,0,0
0.759,23,49,-30,90,-30,0,-5,0,-58,35,-60,32,10,30,-6,0,0
0.792,24,49,-30,90,-30,0,-5,0,-58,35,-61,33,11,33,-6,0,0
0.825,25,49,-30,87,-30,0,-5,0,-58,35,-61,35,11,36,-6,0,0
0.858,26,49,-30,75,-30,0,-5,0,-58,35,-62,36,12,38,-7,0,0
0.891,27,49,-30,60,-30,0,-4,0,-58,35,-62,37,12,40,-7,0,0
0.924,28,48,-30,42,-30,0,-4,0,-58,35,-62,39,13,41,-7,0,0
0.957,29,48,-30,25,-30,0,-4,0,-58,35,-62,40,13,42,-7,0,0
0.99,30,48,-30,17,-30,0,-4,0,-58,35,-62,41,14,43,-7,0,0
1.023,31,48,-30,21,-30,0,-4,0,-57,35,-63,42,14,42,-7,0,0
1.056,32,48,-30,25,-30,0,-4,0,-57,35,-66,43,15,41,-7,0,0
1.089,33,48,-30,29,-30,0,-4,0,-57,35,-70,45,15,40,-7,0,0
1.122,34,48,-30,32,-30,0,-4,0,-57,35,-75,45,16,38,-6,0,0
1.155,35,48,-30,34,-30,0,-3,0,-57,35,-80,45,16,36,-6,0,0
1.188,36,47,-30,37,-30,0,-3,0,-57,35,-86,45,16,33,-6,0,0
1.221,37,47,-30,39,-30,0,-3,0,-57,35,-90,45,17,30,-5,0,0
1.254,38,47,-30,41,-30,0,-3,0,-57,35,-90,45,17,27,-5,0,0
1.287,39,47,-30,43,-30,0,-3,0,-57,35,-90,45,17,23,-4,0,0
1.32,40,47,-30,44,-30,0,-3,0,-57,35,-90,45,17,19,-3,0,0
1.353,41,47,-30,46,-30,0,-3,0,-57,35,-90,44,17,15,-3,0,0
1.386,42,47,-30,47,-30,0,-2,0,-57,35,-90,41,16,11,-2,0,0
1.419,43,47,-30,48,-30,0,-2,0,-56,35,-90,38,15,7,-2,0,0
1.452,44,46,-30,49,-30,0,-2,0,-56,35,-90,36,14,2,-1,0,0
1.485,45,46,-30,50,-30,0,-2,0,-56,35,-90,33,13,-1,0,0,0
1.518,46,46,-30,51,-30,0,-2,0,-56,35,-90,31,11,-6,0,0,0
1.551,47,46,-30,51,-30,0,-2,0,-56,35,-90,28,9,-10,0,0,0
1.584,48,46,-30,51,-30,0,-2,0,-56,35,-90,25,7,-14,1,0,0
1.617,49,46,-30,52,-28,0,-1,0,-56,35,-90,23,5,-19,1,0,0
1.65,50,46,-30,51,-27,0,-1,0,-56,35,-90,20,3,-23,2,0,0
1.683,51,45,-30,51,-25,0,-1,0,-56,35,-90,17,1,-27,3,0,0
1.716,52,45,-30,51,-23,0,-1,0,-56,35,-90,14,0,-30,3,0,0
1.749,53,45,-30,50,-21,0,-1,0,-56,35,-87,12,-2,-34,4,0,0
1.782,54,45,-30,49,-19,0,-1,0,-56,35,-83,9,-4,-37,4,0,0
1.815,55,45,-30,48,-17,0,-1,0,-55,35,-77,6,-6,-39,5,0,0
1.848,56,45,-30,47,-15,0,-1,0,-55,35,-68,3,-7,-42,5,0,0
1.881,57,45,-30,46,-12,0,-1,0,-55,35,-58,-1,-8,-43,5,0,0
1.914,58,45,-30,44,-9,0,-1,0,-55,35,-47,-5,-9,-45,5,0,0
1.947,59,44,-30,42,-7,0,-2,0,-55,35,-37,-9,-10,-46,5,0,0
1.98,60,44,-30,40,-4,0,-3,0,-55,35,-34,-10,-10,-48,6,0,0
2.013,61,44,-30,40,-2,0,-4,0,-55,35,-36,-7,-10,-48,5,0,0
2.046,62,44,-30,43,-1,0,-5,0,-55,35,-38,-4,-9,-47,5,0,0
2.079,63,44,-30,48,-1,0,-5,0,-55,35,-39,-2,-8,-46,4,0,0
2.112,64,44,-30,54,-1,0,-5,0,-55,35,-40,0,-7,-44,4,0,0
2.145,65,44,-30,61,-1,0,-5,0,-55,35,-40,2,-6,-42,3,0,0
2.178,66,44,-30,67,0,0,-5,0,-55,35,-40,4,-5,-39,1,0,0
2.211,67,43,-30,73,2,0,-5,0,-54,35,-40,6,-3,-36,0,0,0
2.244,68,43,-30,79,5,0,-5,0,-54,35,-40,7,-1,-32,0,0,0
2.277,69,43,-30,83,9,0,-5,0,-54,35,-40,9,0,-29,-2,0,0
2.31,70,43,-30,86,13,0,-4,0,-54,35,-39,10,1,-25,-3,0,0
2.343,71,43,-30,88,18,0,-4,0,-54,35,-38,12,3,-20,-5,0,0
