Header
rate=30
frames=600
duration=20.0
type=degree
Body
Time,Frame,RE,RS,LE,LS,NV,NH,HD,RK,RH,LK,LH,TV,TH,TO,SD
0.0,0,18.9115,-10.7155,16.5074,-9.45051,6.83019e-006,6.83019e-006,0.655261,-39.295,21.7417,-37.8108,22.4843,1.36604e-005,-2.73208e-005,-0.149772,0.0
0.0333333,1,19.0277,-10.7394,16.6346,-9.47939,0.0123506,-0.0126838,0.474011,-39.3122,21.7838,-37.8283,22.5289,0.0419936,-0.0166492,-0.149772,0.0
0.0666667,2,19.3649,-10.8076,17.0036,-9.57325,0.0487568,-0.0504117,-0.0447388,-39.3628,21.9065,-37.8807,22.6607,0.165087,-0.0658363,-0.149772,0.0
0.1,3,19.9036,-10.9127,17.5902,-9.71268,0.108288,-0.11266,-0.863489,-39.4443,22.1135,-37.965,22.8741,0.365026,-0.146571,-0.149772,0.0
0.133333,4,20.6184,-11.044,18.3646,-9.88682,0.190007,-0.198914,-1.94474,-39.5524,22.3766,-38.0769,23.164,0.637539,-0.257836,-0.149772,0.0
0.166667,5,21.4828,-11.1944,19.2949,-10.0771,0.292976,-0.308656,-3.25099,-39.6834,22.7132,-38.2129,23.5246,0.97836,-0.398613,-0.149772,0.0
0.2,6,22.4694,-11.3398,20.3498,-10.279,0.416257,-0.44137,-4.74474,-39.8339,23.1106,-38.3679,23.9496,1.38322,-0.567884,-0.149772,0.0
0.233333,7,23.5533,-11.4863,21.5008,-10.469,0.558913,-0.59654,-6.38849,-39.9987,23.563,-38.539,24.434,1.84784,-0.764633,-0.149772,0.0
0.266667,8,24.7111,-11.6066,22.7227,-10.6351,0.720007,-0.77365,-8.14474,-40.1731,24.0647,-38.7199,24.9707,2.36797,-0.98784,-0.149772,0.0
0.3,9,25.9224,-11.7062,23.9937,-10.78,0.8986,-0.972184,-9.97599,-40.3536,24.61,-38.9064,25.5466,2.93932,-1.23649,-0.149772,0.0
0.333333,10,27.1697,-11.7742,25.2954,-10.8798,1.09376,-1.19162,-11.8447,-40.5351,25.2013,-39.0946,26.1772,3.55763,-1.50956,-0.149772,0.0
0.366667,11,28.4387,-11.8054,26.6129,-10.9418,1.30454,-1.43146,-13.7135,-40.7133,25.8093,-39.2796,26.8351,4.21864,-1.80604,-0.149772,0.0
0.4,12,29.716,-11.7961,27.9336,-10.9579,1.53001,-1.69116,-15.5447,-40.8846,26.4524,-39.4574,27.5147,4.91807,-2.12491,-0.149772,0.0
0.433333,13,30.9913,-11.7435,29.247,-10.9252,1.76923,-1.97023,-17.301,-41.0455,27.125,-39.6252,28.2317,5.65165,-2.46515,-0.149772,0.0
0.466667,14,32.256,-11.6463,30.5447,-10.8478,2.02126,-2.26814,-18.9447,-41.1923,27.799,-39.7776,28.9589,6.41512,-2.82574,-0.149772,0.0
0.5,15,33.5024,-11.5032,31.8197,-10.7087,2.28516,-2.58437,-20.4385,-41.3223,28.4931,-39.9137,29.6988,7.2042,-3.20567,-0.149772,0.0
0.533333,16,34.7249,-11.3213,33.0667,-10.5306,2.56001,-2.91842,-21.7447,-41.4324,29.1942,-40.0295,30.4463,8.01462,-3.60392,-0.149772,0.0
0.566667,17,35.9185,-11.0883,34.281,-10.2973,2.84485,-3.26975,-22.826,-41.5212,29.899,-40.1231,31.1968,8.84213,-4.01946,-0.149772,0.0
0.6,18,37.0796,-10.805,35.4592,-10.0163,3.13876,-3.63787,-23.6447,-41.5859,30.6026,-40.1935,31.9465,9.68244,-4.45129,-0.149772,0.0
0.633333,19,38.205,-10.4868,36.5989,-9.68335,3.44079,-4.02224,-24.1635,-41.626,31.3096,-40.2379,32.6905,10.5313,-4.89839,-0.149772,0.0
0.666667,20,39.2929,-10.1297,37.6983,-9.31409,3.75001,-4.42237,-24.3447,-41.6405,31.9927,-40.2558,33.4252,11.3844,-5.35973,-0.149772,0.0
0.7,21,40.3416,-9.73654,38.7561,-8.90554,4.06547,-4.83772,-24.3241,-41.629,32.6728,-40.2476,34.1482,12.2375,-5.8343,-0.149772,0.0
0.733333,22,41.3503,-9.31079,39.772,-8.46842,4.38626,-5.26778,-24.2633,-41.5905,33.3382,-40.2121,34.8554,13.0864,-6.32108,-0.149772,0.0
0.766667,23,42.3188,-8.85592,40.746,-7.99309,4.71141,-5.71204,-24.1635,-41.5268,33.9871,-40.1511,35.5447,13.9267,-6.81906,-0.149772,0.0
0.8,24,43.2475,-8.37642,41.6786,-7.49092,5.04001,-6.16998,-24.0262,-41.4379,34.617,-40.0638,36.213,14.7542,-7.32721,-0.149772,0.0
0.833333,25,44.1372,-7.87683,42.571,-6.96696,5.3711,-6.64108,-23.8528,-41.3252,35.2333,-39.9519,36.8582,15.5646,-7.84452,-0.149772,0.0
0.866667,26,44.9894,-7.36206,43.4248,-6.41892,5.70376,-7.12483,-23.6447,-41.1901,35.8109,-39.8182,37.4791,16.3537,-8.36998,-0.149772,0.0
0.9,27,45.8055,-6.83708,44.2419,-5.86737,6.03704,-7.62071,-23.4033,-41.0357,36.3722,-39.664,38.0736,17.1172,-8.90256,-0.149772,0.0
0.933333,28,46.5879,-6.31627,45.0245,-5.31884,6.37001,-8.12821,-23.1299,-40.8635,36.9073,-39.4918,38.6403,17.8507,-9.44124,-0.149772,0.0
0.966667,29,47.339,-5.77947,45.7756,-4.76377,6.70173,-8.64681,-22.826,-40.6773,37.416,-39.3051,39.1785,18.5502,-9.98501,-0.149772,0.0
1.0,30,48.0615,-5.25846,46.4979,-4.21623,7.03126,-9.17599,-22.4929,-40.48,37.8968,-39.1071,39.6873,19.2112,-10.5329,-0.149772,0.0
1.03333,31,48.7585,-4.75089,47.1948,-3.6829,7.35766,-9.71523,-22.132,-40.2754,38.3495,-38.901,40.1588,19.8295,-11.0837,-0.149772,0.0
1.06667,32,49.4332,-4.26275,47.8697,-3.17051,7.68001,-10.264,-21.7447,-40.0674,38.7812,-38.6916,40.6069,20.4008,-11.6367,-0.149772,0.0
1.1,33,50.0897,-3.80101,48.5263,-2.67747,7.99735,-10.8219,-21.3325,-39.8604,39.1688,-38.4836,41.0312,20.921,-12.1906,-0.149772,0.0
1.13333,34,50.7306,-3.37166,49.1682,-2.23617,8.30876,-11.3882,-20.8966,-39.6591,39.5348,-38.2803,41.4176,21.3856,-12.7446,-0.149772,0.0
1.16667,35,51.3601,-2.99114,49.7993,-1.82808,8.61329,-11.9626,-20.4385,-39.4681,39.879,-38.0877,41.7663,21.7904,-13.2975,-0.149772,0.0
1.2,36,51.9816,-2.63754,50.4235,-1.46881,8.91001,-12.5444,-19.9596,-39.292,40.179,-37.9103,42.098,22.1313,-13.8484,-0.149772,0.0
1.23333,37,52.5989,-2.34575,51.0442,-1.16521,9.19797,-13.1332,-19.4612,-39.1352,40.4569,-37.7531,42.392,22.4038,-14.3962,-0.149772,0.0
1.26667,38,53.2151,-2.11286,51.6651,-0.924201,9.47626,-13.7284,-18.9447,-39.0035,40.7056,-37.6205,42.6548,22.6037,-14.94,-0.149772,0.0
1.3,39,53.8333,-1.94527,52.2891,-0.752474,9.74391,-14.3296,-18.4116,-38.9002,40.9243,-37.5163,42.8863,22.7268,-15.4787,-0.149772,0.0
1.33333,40,54.4565,-1.84923,52.9194,-0.656799,10.0,-14.9363,-17.8633,-38.8302,41.1128,-37.4462,43.0794,22.7688,-16.0113,-0.149772,0.0
1.36667,41,55.1229,-1.83236,53.595,-0.645612,10.2619,-15.5478,-17.301,-38.7918,41.2767,-37.408,43.2535,22.7688,-16.5367,-0.149772,0.0
1.4,42,55.8641,-1.89433,54.3475,-0.718395,10.545,-16.1637,-16.7262,-38.7812,41.4295,-37.3985,43.4154,22.7688,-17.054,-0.149772,0.0
1.43333,43,56.6719,-2.03931,55.1683,-0.859168,10.8456,-16.7835,-16.1403,-38.7964,41.5501,-37.4152,43.5526,22.7688,-17.5622,-0.149772,0.0
1.46667,44,57.5373,-2.22987,56.0485,-1.08995,11.16,-17.4066,-15.5447,-38.8352,41.6612,-37.4561,43.6723,22.7688,-18.0602,-0.149772,0.0
1.5,45,58.4523,-2.49159,56.9794,-1.36558,11.4844,-18.0326,-14.9408,-38.8945,41.7556,-37.5172,43.7675,22.7688,-18.547,-0.149772,0.0
1.53333,46,59.4082,-2.80768,57.9521,-1.71891,11.815,-18.6609,-14.3299,-38.9718,41.8336,-37.5969,43.8527,22.7688,-19.0215,-0.149772,0.0
1.56667,47,60.3971,-3.17274,58.9585,-2.11409,12.1481,-19.291,-13.7135,-39.0625,41.8951,-37.6904,43.9203,22.7688,-19.4829,-0.149772,0.0
1.6,48,61.4112,-3.58108,59.9903,-2.54465,12.48,-19.9224,-13.0929,-39.1649,41.9478,-37.7952,43.9777,22.7688,-19.93,-0.149772,0.0
1.63333,49,62.4427,-4.02732,61.0398,-3.03576,12.8069,-20.5545,-12.4695,-39.2745,41.9695,-37.9076,44.0113,22.7688,-20.3618,-0.149772,0.0
1.66667,50,63.4846,-4.50623,62.0999,-3.55088,13.125,-21.1869,-11.8447,-39.3883,41.9821,-38.0239,44.0273,22.7688,-20.7773,-0.149772,0.0
1.7,51,64.5306,-5.02443,63.1637,-4.08413,13.4306,-21.8191,-11.22,-39.5034,41.979,-38.1415,44.0267,22.7688,-21.1756,-0.149772,0.0
1.73333,52,65.574,-5.54223,64.2245,-4.66271,13.72,-22.4505,-10.5966,-39.6164,41.96,-38.2566,44.0087,22.7688,-21.5555,-0.149772,0.0
1.76667,53,66.6086,-6.08952,65.2765,-5.23814,13.9894,-23.0806,-9.97599,-39.7252,41.9257,-38.3682,43.9749,22.7688,-21.9161,-0.149772,0.0
1.8,54,67.6293,-6.65053,66.3139,-5.84965,14.235,-23.7089,-9.35955,-39.8274,41.8841,-38.4722,43.9179,22.7688,-22.2563,-0.149772,0.0
1.83333,55,68.6304,-7.2326,67.3314,-6.45923,14.4531,-24.3349,-8.74867,-39.9209,41.8132,-38.5677,43.8529,22.7688,-22.5752,-0.149772,0.0
1.86667,56,69.6075,-7.80738,68.3242,-7.06173,14.64,-24.958,-8.14474,-40.0042,41.7367,-38.6524,43.7733,22.7688,-22.8717,-0.149772,0.0
1.9,57,70.5561,-8.38267,69.2878,-7.6875,14.7919,-25.5778,-7.54914,-40.0764,41.6479,-38.7262,43.688,22.7688,-23.1448,-0.149772,0.0
1.93333,58,71.4717,-8.9542,70.2178,-8.29736,14.905,-26.1937,-6.96326,-40.1366,41.5562,-38.7867,43.5836,22.7688,-23.3934,-0.149772,0.0
