Header
rate=30
frames=300
duration=10.0
type=degree
Body
Time,Frame,RE,RS,LE,LS,NV,NH,HD,RK,RH,LK,LH,TV,TH,TO,SD,TR
0.0,0,18.9115,-10.7155,16.5074,-9.45051,6.83019e-006,6.83019e-006,0.655261,-39.295,21.7417,-37.8108,22.4843,1.36604e-005,-2.73208e-005,-0.149772,0.0,0.0
0.0333333,1,19.0277,-10.7394,19.7187,-11.0266,0.327253,-0.0126838,-0.0128777,-39.3122,21.7838,-37.8283,22.5289,0.0873463,-0.0992487,-0.149772,0.0,0.0
0.0666667,2,19.3649,-10.8076,27.079,-14.4315,1.26385,-0.0504117,-1.92514,-39.3628,21.9065,-37.8807,22.6607,0.343423,-0.390186,-0.149772,0.0,0.0
0.1,3,19.9036,-10.9127,35.9524,-18.1304,2.74211,-0.11266,-4.94328,-39.4443,22.1135,-37.965,22.8741,0.759363,-0.862749,-0.149772,0.0,0.0
0.133333,4,20.6184,-11.044,45.1805,-21.4432,4.6943,-0.198914,-8.92908,-39.5524,22.3766,-38.0769,23.164,1.32629,-1.50685,-0.149772,0.0,0.0
0.166667,5,21.4828,-11.1944,54.2834,-24.0664,7.05273,-0.308656,-13.7443,-39.6834,22.7132,-38.2129,23.5246,2.03531,-2.31239,-0.149772,0.0,0.0
0.2,6,22.4694,-11.3398,63.0169,-25.8529,9.74969,-0.44137,-19.2507,-39.8339,23.1106,-38.3679,23.9496,2.87755,-3.26929,-0.149772,0.0,0.0
0.233333,7,23.5533,-11.4863,71.2208,-26.6947,12.7175,-0.59654,-25.31,-39.9987,23.563,-38.539,24.434,3.84413,-4.36745,-0.149772,0.0,0.0
0.266667,8,24.7111,-11.6066,78.7645,-26.4858,15.8884,-0.77365,-31.784,-40.1731,24.0647,-38.7199,24.9707,4.92617,-5.59679,-0.149772,0.0,0.0
0.3,9,25.9224,-11.7062,85.528,-25.1837,19.1947,-0.972184,-38.5345,-40.3536,24.61,-38.9064,25.5466,6.11478,-6.94721,-0.149772,0.0,0.0
0.333333,10,27.1697,-11.7742,91.3988,-22.6939,22.5687,-1.19162,-45.4233,-40.5351,25.2013,-39.0946,26.1772,7.40108,-8.40862,-0.149772,0.0,0.0
0.366667,11,28.4387,-11.8054,96.2789,-19.0331,25.9427,-1.43146,-52.312,-40.7133,25.8093,-39.2796,26.8351,8.7762,-9.97094,-0.149772,0.0,0.0
0.4,12,29.716,-11.7961,100.1,-14.3053,29.2491,-1.69116,-59.0625,-40.8846,26.4524,-39.4574,27.5147,10.2313,-11.6241,-0.149772,0.0,0.0
0.433333,13,30.9913,-11.7435,102.843,-8.74668,32.42,-1.97023,-65.5366,-41.0455,27.125,-39.6252,28.2317,11.7574,-13.3579,-0.149772,0.0,0.0
0.466667,14,32.256,-11.6463,104.554,-2.72289,35.3877,-2.26814,-71.5959,-41.1923,27.799,-39.7776,28.9589,13.3456,-15.1624,-0.149772,0.0,0.0
0.5,15,33.5024,-11.5032,105.347,3.3202,38.0847,-2.58437,-77.1023,-41.3223,28.4931,-39.9137,29.6988,14.9872,-17.0274,-0.149772,0.0,0.0
0.533333,16,34.7249,-11.3213,105.401,8.93317,40.4431,-2.91842,-81.9175,-41.4324,29.1942,-40.0295,30.4463,16.6731,-18.9429,-0.149772,0.0,0.0
0.566667,17,35.9185,-11.0883,104.929,13.7302,42.3953,-3.26975,-85.9033,-41.5212,29.899,-40.1231,31.1968,18.3946,-20.8987,-0.149772,ang_002,0.0
0.6,18,37.0796,-10.805,104.153,17.4185,43.8736,-3.63787,-88.9214,-41.5859,30.6026,-40.1935,31.9465,20.1428,-22.8849,-0.149772,0.0,0.0
