Header
rate=30
frames=300
duration=10.0
type=degree
Body
Time,Frame,RE,RS,LE,LS,NV,NH,HD,RK,RH,LK,LH,TV,TH,TO,SD,TR
0.0,0,27.1597,-18.5112,25.6115,-18.2021,4.2136,6.83019e-006,39.4462,-44.7158,21.6789,-43.3502,22.5175,-64.8893,-2.73208e-005,-0.149772,0.0,0.0
0.0333333,1,27.1592,-18.5138,25.6111,-18.2005,4.19556,6.83019e-006,39.4462,-44.7313,21.6759,-43.3657,22.5233,-64.8997,-2.73208e-005,-0.149772,0.0,0.0
0.0666667,2,27.1577,-18.5217,25.61,-18.209,4.14205,6.83019e-006,39.4462,-44.7776,21.692,-43.4127,22.5411,-64.9303,-2.73208e-005,-0.149772,0.0,0.0
0.1,3,27.1549,-18.5398,25.6077,-18.223,4.05402,6.83019e-006,39.4462,-44.8532,21.7181,-43.4901,22.5782,-64.9804,-2.73208e-005,-0.149772,0.0,0.0
0.133333,4,27.1514,-18.5578,25.605,-18.2426,3.93239,6.83019e-006,39.4462,-44.9586,21.7546,-43.5973,22.6188,-65.049,-2.73208e-005,-0.149772,0.0,0.0
0.166667,5,27.1466,-18.5753,25.6011,-18.2719,3.77811,6.83019e-006,39.4462,-45.0919,21.8006,-43.7331,22.6701,-65.1353,-2.73208e-005,-0.149772,0.0,0.0
0.2,6,27.1409,-18.6029,25.5966,-18.3019,3.59211,6.83019e-006,39.4462,-45.2522,21.8642,-43.8965,22.7314,-65.2386,-2.73208e-005,-0.149772,0.0,0.0
0.233333,7,27.134,-18.635,25.5911,-18.3322,3.37531,6.83019e-006,39.4462,-45.4394,21.9198,-44.087,22.7952,-65.3578,-2.73208e-005,-0.149772,0.0,0.0
0.266667,8,27.1261,-18.6717,25.5849,-18.372,3.12866,6.83019e-006,39.4462,-45.6517,21.9926,-44.303,22.8839,-65.4922,-2.73208e-005,-0.149772,0.0,0.0
0.3,9,27.1174,-18.7128,25.5778,-18.4212,2.85309,6.83019e-006,39.4462,-45.8882,22.0731,-44.5437,22.9736,-65.641,-2.73208e-005,-0.149772,0.0,0.0
0.333333,10,27.1074,-18.7631,25.5697,-18.4658,2.54954,6.83019e-006,39.4462,-46.1484,22.1615,-44.8084,23.0639,-65.8033,-2.73208e-005,-0.149772,0.0,0.0
0.366667,11,27.096,-18.8072,25.5607,-18.5239,2.21894,6.83019e-006,39.4462,-46.4306,22.2569,-45.0953,23.1779,-65.9782,-2.73208e-005,-0.149772,0.0,0.0
