Header
rate=30
frames=300
duration=10.0
type=degree
Body
Time,Frame,RE,RS,LE,LS,NV,NH,HD,RK,RH,LK,LH,TV,TH,TO,SD,TR
0.0,0,15.0277,0.0800498,16.007,-0.127202,0.974941,-0.459798,5.00003,-18.8956,-1.34024,-14.8986,-3.10705,-0.370015,-0.147191,0.150975,0.0,0.0
0.0333333,1,16.5635,-0.545348,17.4604,-0.683166,-2.07372,-0.409666,5.00003,-20.4067,-0.243888,-16.7083,-1.87669,-0.264074,-4.42818,0.0542835,0.0,0.0
0.0666667,2,20.4405,-2.06761,21.1611,-2.04161,-4.82878,-0.265844,5.00003,-23.9588,2.44708,-20.6579,0.899451,0.0414941,-9.26321,-0.221728,0.0,0.0
0.1,3,25.517,-3.87604,26.0259,-3.58624,-7.30497,-0.0381939,5.00003,-28.3573,6.02218,-25.2978,4.33706,0.528306,-14.5625,-0.655965,0.0,0.0
0.133333,4,31.0786,-5.59061,31.3395,-4.9411,-9.51701,0.263422,5.00003,-32.9771,10.0767,-30.0729,8.07156,1.17798,-20.2362,-1.22733,0.0,0.0
0.166667,5,36.7553,-7.02683,36.7116,-5.88119,-11.4796,0.62914,5.00003,-37.5319,14.3894,-34.7775,11.9427,1.97213,-26.1947,-1.91473,0.0,0.0
0.2,6,42.3497,-8.07057,41.9256,-6.32291,-13.2075,1.0491,5.00003,-41.8792,18.8156,-39.3195,15.8575,2.89237,-32.348,-2.69707,0.0,0.0
0.233333,7,47.7453,-8.69714,46.8512,-6.22407,-14.7154,1.51344,5.00003,-45.9388,23.2462,-43.6501,19.7496,3.92033,-38.6064,-3.55324,0.0,0.0
0.266667,8,52.8655,-8.89041,51.4031,-5.55886,-16.0181,2.0123,5.00003,-49.6615,27.5905,-47.7383,23.5654,5.0376,-44.8802,-4.46216,0.0,0.0
0.3,9,57.6537,-8.62289,55.5223,-4.34013,-17.1303,2.53581,5.00003,-53.0152,31.7816,-51.5601,27.2575,6.22582,-51.0795,-5.40273,0.0,0.0
0.333333,10,62.0645,-7.94601,59.1678,-2.63116,-18.0666,3.07412,5.00003,-55.9796,35.7309,-55.096,30.7844,7.46659,-57.1145,-6.35384,0.0,0.0
0.366667,11,66.0613,-6.84925,62.3137,-0.464137,-18.8418,3.61735,5.00003,-58.5425,39.3796,-58.3269,34.0966,8.74154,-62.8955,-7.29441,0.0,0.0
0.4,12,69.6132,-5.4069,64.9476,2.08118,-19.4707,4.15566,5.00003,-60.6986,42.7041,-61.234,37.182,10.0323,-68.3326,-8.20333,0.0,0.0
