Header
rate=30
frames=320
duration=10.6667
type=degree
Body
Time,Frame,RE,RS,LE,LS,NV,NH,HD,RK,RH,LK,LH,TV,TH,TO,SD,TR
0.0,0,65.1304,-37.6328,64.4448,-38.9485,-10.5582,6.83019e-006,0.655261,-74.8888,35.9253,-73.8306,38.0588,18.9187,-2.73208e-005,-0.149772,0.0,0.0
0.0333333,1,65.1271,-37.6332,64.4413,-38.9489,-10.5205,6.83019e-006,0.656218,-74.8899,35.924,-73.8323,38.0578,18.9657,-0.00428554,-0.149772,0.0,0.0
0.0666667,2,65.1167,-37.6344,64.4309,-38.9501,-10.4093,6.83019e-006,0.659057,-74.8945,35.9208,-73.8364,38.0542,19.1042,-0.0169915,-0.149772,0.0,0.0
0.1,3,65.0995,-37.6361,64.414,-38.9521,-10.2276,6.83019e-006,0.66373,-74.9015,35.9155,-73.8436,38.0487,19.3307,-0.0380422,-0.149772,0.0,0.0
0.133333,4,65.076,-37.6503,64.3906,-38.9547,-9.97798,6.83019e-006,0.670188,-74.9115,35.9083,-73.8531,38.041,19.6417,-0.0673347,-0.149772,0.0,0.0
0.166667,5,65.0465,-37.6416,64.3612,-38.9581,-9.6634,6.83019e-006,0.678384,-74.9237,35.9124,-73.8656,38.0314,20.0337,-0.104766,-0.149772,0.0,0.0
0.2,6,65.011,-37.6452,64.3259,-38.9511,-9.28665,6.83019e-006,0.688268,-74.9381,35.9014,-73.8803,38.0199,20.5031,-0.150233,-0.149772,0.0,0.0
0.233333,7,64.9701,-37.6494,64.285,-38.9668,-8.85058,6.83019e-006,0.699794,-74.9554,35.8753,-73.8977,37.9941,21.0465,-0.203632,-0.149772,0.0,0.0
0.266667,8,64.9236,-37.6659,64.2388,-38.972,-8.35798,6.83019e-006,0.712911,-74.9743,35.8607,-73.9165,37.9788,21.6603,-0.264861,-0.149772,0.0,0.0
0.3,9,64.8722,-37.6593,64.1876,-38.9668,-7.81171,6.83019e-006,0.727573,-74.9958,35.8447,-73.9379,37.9747,22.341,-0.333817,-0.149772,0.0,0.0
0.333333,10,64.8157,-37.6648,64.1315,-38.9839,-7.21457,6.83019e-006,0.743731,-75.0191,35.8273,-73.961,37.9563,23.0851,-0.410396,-0.149772,0.0,0.0
0.366667,11,64.7547,-37.6709,64.0708,-38.9906,-6.5694,6.83019e-006,0.761337,-75.0441,35.8083,-73.9865,37.9366,23.889,-0.494496,-0.149772,0.0,0.0
0.4,12,64.6894,-37.6773,64.0058,-38.9868,-5.87902,6.83019e-006,0.780341,-75.0708,35.8012,-74.013,37.9152,24.7492,-0.586013,-0.149772,0.0,0.0
0.433333,13,64.6201,-37.6958,63.9367,-39.0052,-5.14625,6.83019e-006,0.800698,-75.0993,35.7662,-74.0411,37.8925,25.6623,-0.684845,-0.149772,0.0,0.0
0.466667,14,64.5467,-37.691,63.8638,-39.002,-4.37393,6.83019e-006,0.822357,-75.1292,35.7435,-74.0714,37.8561,26.6247,-0.790889,-0.149772,0.0,0.0
0.5,15,64.4698,-37.71,63.7872,-39.0211,-3.56488,6.83019e-006,0.84527,-75.1605,35.7196,-74.1029,37.8439,27.6328,-0.90404,-0.149772,0.0,0.0
0.533333,16,64.3897,-37.7058,63.7074,-39.0185,-2.72191,6.83019e-006,0.86939,-75.1927,35.7079,-74.135,37.8176,28.6832,-1.0242,-0.149772,0.0,0.0
0.566667,17,64.3064,-37.7251,63.6245,-39.0379,-1.84787,6.83019e-006,0.894669,-75.2268,35.6687,-74.1694,37.7907,29.7723,-1.15126,-0.149772,0.0,0.0
0.6,18,64.22,-37.7212,63.5386,-39.0356,-0.945572,6.83019e-006,0.921057,-75.2616,35.6419,-74.2038,37.7499,30.8966,-1.28512,-0.149772,0.0,0.0
0.633333,19,64.1314,-37.7291,63.4504,-39.0555,-0.0178432,6.83019e-006,0.948507,-75.2973,35.6143,-74.2397,37.7338,32.0526,-1.42567,-0.149772,0.0,0.0
0.666667,20,64.0403,-37.7371,63.3597,-39.0534,0.93249,6.83019e-006,0.97697,-75.3337,35.5994,-74.2758,37.704,33.2368,-1.57282,-0.149772,0.0,0.0
0.7,21,63.9474,-37.7453,63.267,-39.0732,1.9026,6.83019e-006,1.0064,-75.3708,35.557,-74.3134,37.6738,34.4456,-1.72646,-0.149772,0.0,0.0
0.733333,22,63.8524,-37.7649,63.1726,-39.0822,2.88967,6.83019e-006,1.03674,-75.4086,35.5275,-74.3514,37.6303,35.6756,-1.88649,-0.149772,0.0,0.0
0.766667,23,63.7559,-37.7613,63.0764,-39.0912,3.89086,6.83019e-006,1.06796,-75.447,35.4975,-74.3895,37.6115,36.9231,-2.0528,-0.149772,0.0,0.0
0.8,24,63.6581,-37.7694,62.9792,-39.1002,4.90336,6.83019e-006,1.09999,-75.4854,35.4804,-74.4285,37.5799,38.1848,-2.22529,-0.149772,0.0,0.0
0.833333,25,63.5593,-37.7773,62.8808,-39.0983,5.92433,6.83019e-006,1.1328,-75.5242,35.4362,-74.4669,37.5475,39.457,-2.40386,-0.149772,0.0,0.0
0.866667,26,63.4598,-37.7852,62.7818,-39.1179,6.95095,6.83019e-006,1.16633,-75.5632,35.4052,-74.5063,37.5152,40.7362,-2.58841,-0.149772,0.0,0.0
0.9,27,63.3599,-37.8045,62.6823,-39.1158,7.9804,6.83019e-006,1.20053,-75.6027,35.3878,-74.5454,37.4827,42.019,-2.77882,-0.149772,0.0,0.0
0.933333,28,63.2598,-37.8006,62.5826,-39.1351,9.00985,6.83019e-006,1.23537,-75.6417,35.343,-74.5845,37.4502,43.3017,-2.97501,-0.149772,0.0,0.0
