Header,,,,,,,,,,,,,,,
rate=30,,,,,,,,,,,,,,,
frames=300,,,,,,,,,,,,,,,
duration=10.0,,,,,,,,,,,,,,,
type=degree,,,,,,,,,,,,,,,
Body,,,,,,,,,,,,,,,
Time,Frame,RE,RS,LE,LS,NV,NH,HD,RK,RH,LK,LH,TV,TH,TO
0,0,36.9643,-26.6702,35.9194,-27.1282,-40,6.83E-06,25.6553,-52.0335,22.7196,-50.7826,23.7682,-35.5769,-2.73E-05,-0.149772
0.0333333,1,37.6127,-26.9557,36.5831,-27.4469,-40,6.83E-06,27.2869,-52.5241,23.0103,-51.2799,24.0737,-35.6328,-2.73E-05,-0.149772
0.0666667,2,38.2618,-27.2447,37.2471,-27.7614,-40,6.83E-06,29.5581,-53.0179,23.2854,-51.7801,24.3742,-35.6884,-2.73E-05,-0.149772
0.1,3,38.9113,-27.5298,37.9106,-28.0649,-40,6.83E-06,32.3908,-53.5144,23.5839,-52.2823,24.6967,-35.7438,-2.73E-05,-0.149772
0.133333,4,39.5598,-27.8109,38.5726,-28.377,-40,6.83E-06,35.7067,-54.0118,23.8649,-52.7862,25.0036,-35.7988,-2.73E-05,-0.149772
0.166667,5,40.2063,-28.0949,39.2322,-28.6773,-40,6.83E-06,39.4276,-54.5101,24.1587,-53.2907,25.3317,-35.8535,-2.73E-05,-0.149772
0.2,6,40.8504,-28.3669,39.8886,-28.9723,-40,6.83E-06,43.4753,-55.0082,24.454,-53.7948,25.6522,-35.9078,-2.73E-05,-0.149772
0.233333,7,41.4908,-28.6338,40.5409,-29.2617,-40,6.83E-06,47.7715,-55.5055,24.7505,-54.298,25.974,-35.9619,-2.73E-05,-0.149772
0.266667,8,42.1272,-28.8876,41.1886,-29.538,-40,6.83E-06,52.2381,-56.0017,25.0585,-54.7992,26.2964,-36.0156,-2.73E-05,-0.149772
0.3,9,42.7587,-29.1439,41.8307,-29.8155,-40,6.83E-06,56.7969,-56.4957,25.346,-55.2991,26.6097,-36.069,-2.73E-05,-0.149772
0.333333,10,43.3844,-29.3946,42.4669,-30.0868,-40,6.83E-06,61.3695,-56.9867,25.6541,-55.7954,26.9419,-36.122,-2.73E-05,-0.149772
0.366667,11,44.004,-29.6396,43.0962,-30.3518,-40,-0.0553057,65.8779,-57.4749,25.941,-56.2886,27.2539,-36.1748,-2.73E-05,-0.149772
0.4,12,44.6167,-29.8787,43.7182,-30.618,-40,-0.217493,70.2438,-57.9589,26.2373,-56.7777,27.5846,-36.2272,-2.73E-05,-0.149772
0.433333,13,45.2219,-30.112,44.3323,-30.8701,-40,-0.480931,74.389,-58.4381,26.532,-57.2619,27.9038,-36.2793,-2.73E-05,-0.149772
0.466667,14,45.819,-30.3391,44.9379,-31.1155,-40,-0.839993,78.2353,-58.9131,26.8253,-57.7413,28.221,-36.3311,-2.73E-05,-0.149772
0.5,15,46.4075,-30.5602,45.5346,-31.3543,-40,-1.28906,81.7044,-59.3823,27.1272,-58.2153,28.5358,-36.3825,-2.73E-05,-0.149772
0.533333,16,46.9869,-30.775,46.1216,-31.5861,-40,-1.82249,84.7181,-59.8454,27.4046,-58.6828,28.8374,-36.4336,-2.73E-05,-0.149772
0.566667,17,47.5567,-30.9836,46.6988,-31.8112,-40,-2.43468,87.1983,-60.3016,27.701,-59.1437,29.1563,-36.4844,-2.73E-05,-0.149772
0.6,18,48.1164,-31.1859,47.2654,-32.0293,-40,-3.11999,89.0667,-60.7515,27.9722,-59.5974,29.4613,-36.5348,-2.73E-05,-0.149772
0.633333,19,48.6656,-31.3819,47.8211,-32.2406,-40,-3.87281,90.2451,-61.1938,28.2507,-60.0439,29.7624,-36.585,-2.73E-05,-0.149772
0.666667,20,49.2037,-31.5715,48.3655,-32.4449,-40,-4.68749,90.6553,-61.6279,28.5363,-60.4814,30.0588,-36.6348,-2.73E-05,-0.149772
0.7,21,49.7304,-31.7547,48.898,-32.6423,-40,-5.55843,90.0513,-62.0534,28.7951,-60.911,30.34,-36.6842,-2.73E-05,-0.149772
0.733333,22,50.2452,-31.9316,49.4183,-32.8241,-40,-6.47999,88.3322,-62.471,29.0607,-61.3317,30.6373,-36.7333,-2.73E-05,-0.149772
0.766667,23,50.7475,-32.102,49.9259,-33.0074,-40,-7.44656,85.6373,-62.8789,29.3212,-61.7432,30.9185,-36.7821,-2.73E-05,-0.149772
0.8,24,51.2372,-32.2661,50.4206,-33.1839,-40,-8.45249,82.1062,-63.2771,29.5763,-62.1445,31.1831,-36.8306,-2.73E-05,-0.149772
0.833333,25,51.7137,-32.4238,50.9018,-33.3535,-40,-9.49218,77.8782,-63.6654,29.8373,-62.5365,31.4633,-36.8787,-2.73E-05,-0.149772
0.866667,26,52.1767,-32.5752,51.3691,-33.5161,-40,-10.56,73.0925,-64.0432,30.0691,-62.9174,31.726,-36.9265,-2.73E-05,-0.149772
0.9,27,52.6255,-32.7202,51.8223,-33.681,-40,-11.6503,67.8888,-64.4098,30.3061,-63.287,31.9708,-36.9739,-2.73E-05,-0.149772
0.933333,28,53.06,-32.8588,52.2608,-33.83,-40,-12.7575,62.4062,-64.7661,30.5487,-63.6453,32.2305,-37.0211,-2.73E-05,-0.149772
0.966667,29,53.48,-32.9913,52.6843,-33.9723,-40,-13.8759,56.7843,-65.1103,30.7605,-63.9928,32.4719,-37.0678,-2.73E-05,-0.149772
1,30,53.8846,-33.1174,53.0925,-34.1078,-40,-15,51.1624,-65.4425,30.9768,-64.3275,32.6942,-37.1143,-2.73E-05,-0.149772
1.03333,31,54.2739,-33.2473,53.4849,-34.2273,-40,-16.1241,45.6798,-65.7624,31.1857,-64.6499,32.9307,-37.1604,-2.73E-05,-0.149772
1.06667,32,54.647,-33.3611,53.8612,-34.3492,-40,-17.2425,40.4761,-66.0697,31.3991,-64.9588,33.1474,-37.2061,-2.73E-05,-0.149772
1.1,33,55.0039,-33.4585,54.2209,-34.474,-40,-18.3497,35.6904,-66.3638,31.58,-65.2551,33.3555,-37.2515,-2.73E-05,-0.149772
1.13333,34,55.3441,-33.5599,54.5638,-34.5828,-40,-19.44,31.4624,-66.6445,31.7647,-65.538,33.5431,-37.2966,-2.73E-05,-0.149772
1.16667,35,55.6672,-33.6551,54.8893,-34.6754,-40,-20.5078,27.9313,-66.9113,31.9405,-65.8067,33.744,-37.3413,-2.73E-05,-0.149772
1.2,36,55.9727,-33.7546,55.1971,-34.7806,-40,-21.5475,25.2365,-67.1639,32.1196,-66.061,33.9239,-37.3857,-2.73E-05,-0.149772
1.23333,37,56.2604,-33.8273,55.4869,-34.8697,-40,-22.5534,23.5173,-67.4018,32.2649,-66.3006,34.0936,-37.4298,-2.73E-05,-0.149772
1.26667,38,56.5298,-33.9044,55.758,-34.9427,-40,-23.52,22.9133,-67.6247,32.4127,-66.5249,34.253,-37.4734,-2.73E-05,-0.149772
1.3,39,56.7802,-33.9858,56.0104,-35.0285,-40,-24.4416,22.9144,-67.8324,32.5508,-66.7341,34.3901,-37.5168,-2.73E-05,-0.149772
1.33333,40,57.0117,-34.0403,56.2433,-35.0884,-40,-25.3125,22.9174,-68.0241,32.6786,-66.9272,34.5393,-37.5598,-2.73E-05,-0.149772
1.36667,41,57.2232,-34.1098,56.4563,-35.1613,-40,-26.1272,22.9224,-68.1998,32.8081,-67.104,34.6655,-37.6025,-2.73E-05,-0.149772
1.4,42,57.4148,-34.1522,56.6492,-35.2082,-40,-26.88,22.9294,-68.3587,32.9019,-67.2641,34.78,-37.6448,-2.73E-05,-0.149772
1.43333,43,57.5858,-34.199,56.8213,-35.2682,-40,-27.5653,22.9384,-68.5007,32.997,-67.4071,34.8824,-37.6867,-2.73E-05,-0.149772
1.46667,44,57.7358,-34.2399,56.9722,-35.3119,-40,-28.1775,22.9493,-68.6255,33.0807,-67.5325,34.9724,-37.7283,-2.73E-05,-0.149772
1.5,45,57.8642,-34.2745,57.1014,-35.3392,-40,-28.7109,22.9621,-68.7322,33.1524,-67.6399,35.0496,-37.7696,-2.73E-05,-0.149772
