Header
rate=30
frames=101
duration=3.36667
type=degree
Body
Time,Frame,RE,RS,LE,LS,NV,NH,HD,RK,RH,LK,LH,TV,TH,TO,SD
0.0,0,90.2171,-28.8958,90.3148,-30.0143,-16.75,1.19528e-005,0.423837,-85.3941,34.9963,-84.5269,37.6685,-9.99999,4.99996,-0.00229494,0.0
0.0333333,1,89.9229,-28.7038,90.0199,-29.7992,-17.3327,1.19528e-005,1.10506,-85.6561,35.1584,-84.7878,37.8464,-9.61923,5.01904,0.00129638,0.0
0.0666667,2,89.2636,-28.6639,89.3653,-29.7699,-18.9728,1.19528e-005,1.72043,-86.2583,35.2424,-85.3901,37.9719,-9.22332,5.07478,0.0130209,0.0
0.1,3,88.2792,-28.7292,88.3906,-29.8786,-21.5086,1.19528e-005,2.27273,-87.1313,35.2467,-86.2655,38.0165,-8.81499,5.16496,0.0343044,0.0
0.133333,4,87.0059,-28.9103,87.131,-30.0877,-24.7784,1.19528e-005,2.76477,-88.2045,35.1671,-87.3455,37.993,-8.39698,5.28737,0.0665726,0.0
0.166667,5,85.4794,-29.1249,85.6208,-30.3727,-28.6203,1.19528e-005,3.19934,-89.4103,35.0009,-88.5615,37.8852,-7.97201,5.43978,0.111251,0.0
0.2,6,83.7374,-29.3392,83.896,-30.6683,-32.8726,1.19528e-005,3.57924,-90.6828,34.7468,-89.8498,37.7376,-7.54282,5.61997,0.169766,0.0
0.233333,7,81.8217,-29.5669,81.9969,-30.9561,-37.3734,1.19528e-005,3.90728,-91.9623,34.4061,-91.1528,37.5116,-7.11212,5.82571,0.243543,0.0
0.266667,8,79.7809,-29.7255,79.9696,-31.196,-41.9611,1.19528e-005,4.18624,-93.194,33.9837,-92.4155,37.2289,-6.68266,6.05478,0.334008,0.0
0.3,9,77.6718,-29.8547,77.8685,-31.3959,-46.4737,1.19528e-005,4.41893,-94.328,33.5045,-93.5901,36.9015,-6.25716,6.30497,0.442587,0.0
0.333333,10,75.5598,-29.8883,75.7574,-31.5308,-50.7497,1.19528e-005,4.60815,-95.3193,32.9331,-94.6331,36.5455,-5.83836,6.57404,0.570705,0.0
0.366667,11,73.5204,-29.8659,73.7104,-31.6105,-54.627,1.19528e-005,4.75669,-96.1278,32.3334,-95.5041,36.1789,-5.42897,6.85978,0.719788,0.0
0.4,12,71.6386,-29.7913,71.8124,-31.6029,-57.9441,1.19528e-005,4.86734,-96.7139,31.7239,-96.1654,35.823,-5.03173,7.15997,0.891263,0.0
0.433333,13,70.0078,-29.6368,70.1581,-31.5589,-60.539,1.19528e-005,4.94292,-97.041,31.0768,-96.5796,35.4993,-4.64937,7.47237,1.08655,0.0
0.466667,14,68.7266,-29.4565,68.85,-31.4968,-62.2501,1.19528e-005,4.98622,-97.0715,30.4612,-96.7093,35.2298,-4.28462,7.79478,1.30709,0.0
0.5,15,67.8924,-29.2655,67.9924,-31.4014,-62.9155,1.19528e-005,5.00003,-96.7652,29.8801,-96.5116,35.0321,-3.94021,8.12496,1.55429,0.0
0.533333,16,67.3247,-29.003,67.4066,-31.304,-63.0033,1.19528e-005,5.00003,-96.2352,29.3195,-96.1034,34.9031,-3.60118,8.46828,1.83507,snd_grunt
0.566667,17,66.7801,-28.6785,66.8465,-31.1421,-63.0894,1.19528e-005,5.00003,-95.6244,28.752,-95.6298,34.8242,-3.25132,8.83073,2.15403,0.0
0.6,18,66.257,-28.2834,66.3123,-30.9314,-63.1737,1.19528e-005,5.00003,-94.9355,28.1933,-95.0915,34.7909,-2.89149,9.21108,2.50912,0.0
0.633333,19,65.7535,-27.8344,65.8041,-30.6643,-63.2563,1.19528e-005,5.00003,-94.1713,27.596,-94.49,34.7986,-2.52252,9.60809,2.8983,0.0
0.666667,20,65.2667,-27.3105,65.3221,-30.3679,-63.3372,1.19528e-005,5.00003,-93.334,27.0207,-93.8255,34.8423,-2.14528,10.0205,3.31952,0.0
0.7,21,64.794,-26.7281,64.8658,-30.0457,-63.4163,1.19528e-005,5.00003,-92.4257,26.4053,-93.097,34.9161,-1.7606,10.4472,3.77073,0.0
0.733333,22,64.3318,-26.0784,64.4352,-29.6787,-63.4936,1.19528e-005,5.00003,-91.448,25.794,-92.3056,35.0154,-1.36933,10.8868,4.2499,0.0
0.766667,23,63.8769,-25.4013,64.0298,-29.2707,-63.5691,1.19528e-005,5.00003,-90.4032,25.171,-91.4512,35.1348,-0.972322,11.3381,4.75496,0.0
0.8,24,63.4257,-24.6525,63.649,-28.8592,-63.6429,1.19528e-005,5.00003,-89.293,24.5344,-90.5328,35.2685,-0.570426,11.8,5.28389,0.0
0.833333,25,62.9748,-23.8713,63.2921,-28.4142,-63.7148,1.19528e-005,5.00003,-88.1188,23.8831,-89.5519,35.412,-0.164488,12.2711,5.83463,0.0
0.866667,26,62.5202,-23.0493,62.9581,-27.9394,-63.7849,1.19528e-005,5.00003,-86.8827,23.216,-88.5076,35.5469,0.244643,12.7502,6.40514,0.0
0.9,27,62.0583,-22.1899,62.6462,-27.4715,-63.8532,1.19528e-005,5.00003,-85.5853,22.5318,-87.3999,35.7081,0.65612,13.2361,6.99338,0.0
0.933333,28,61.5859,-21.3086,62.3552,-26.981,-63.9196,1.19528e-005,5.00003,-84.229,21.8293,-86.2295,35.8383,1.06909,13.7275,7.59729,0.0
0.966667,29,61.0991,-20.3743,62.0838,-26.4713,-63.9842,1.19528e-005,5.00003,-82.8138,21.1067,-84.9956,35.9849,1.48272,14.2233,8.21483,0.0
1.0,30,60.5947,-19.4254,61.8308,-25.9678,-64.0469,1.19528e-005,5.00003,-81.3419,20.3762,-83.7001,36.1053,1.89614,14.7222,8.84395,0.0
1.03333,31,60.0698,-18.4656,61.5946,-25.4734,-64.1077,1.19528e-005,5.00003,-79.8144,19.6107,-82.3422,36.1956,2.30852,15.2229,9.48262,0.0
1.06667,32,59.5213,-17.4761,61.3735,-24.9699,-64.1666,1.19528e-005,5.00003,-78.2317,18.8098,-80.9228,36.2896,2.71901,15.7242,10.1288,0.0
1.1,33,58.9469,-16.4614,61.1662,-24.4712,-64.2237,1.19528e-005,5.00003,-76.5951,17.9969,-79.4424,36.3458,3.12675,16.225,10.7804,0.0
1.13333,34,58.3443,-15.4476,60.9707,-23.9695,-64.2788,1.19528e-005,5.00003,-74.9053,17.159,-77.9016,36.3619,3.5309,16.7238,11.4354,0.0
1.16667,35,57.7116,-14.4388,60.7854,-23.489,-64.332,1.19528e-005,5.00003,-73.1641,16.295,-76.3014,36.3586,3.93061,17.2196,12.0918,0.0
1.2,36,57.0474,-13.4065,60.6082,-23.0327,-64.3832,1.19528e-005,5.00003,-71.3711,15.4038,-74.6432,36.3208,4.32503,17.7111,12.7475,0.0
1.23333,37,56.35,-12.3874,60.4374,-22.5815,-64.4325,1.19528e-005,5.00003,-69.5275,14.4844,-72.9271,36.2562,4.71332,18.197,13.4004,0.0
1.26667,38,55.6195,-11.375,60.2713,-22.1487,-64.4798,1.19528e-005,5.00003,-67.6337,13.536,-71.1545,36.1402,5.09463,18.6761,14.0486,0.0
1.3,39,54.855,-10.3737,60.1075,-21.7366,-64.5251,1.19528e-005,5.00003,-65.6906,12.5582,-69.3257,35.9805,5.4681,19.1472,14.69,0.0
1.33333,40,54.0573,-9.38753,59.9444,-21.3473,-64.5685,1.19528e-005,5.00003,-63.6984,11.5495,-67.4432,35.7756,5.83289,19.609,15.3225,0.0
1.36667,41,53.2263,-8.43129,59.7798,-20.972,-64.6099,1.19528e-005,5.00003,-61.6572,10.5093,-65.5075,35.5222,6.18816,20.0604,15.944,0.0
1.4,42,52.3633,-7.48816,59.6119,-20.6339,-64.6492,1.19528e-005,5.00003,-59.5673,9.43651,-63.5198,35.2181,6.53305,20.5,16.5527,0.0
1.43333,43,51.4699,-6.5626,59.4389,-20.324,-64.6865,1.19528e-005,5.00003,-57.4292,8.3307,-61.4805,34.8603,6.86672,20.9266,17.1463,0.0
1.46667,44,50.548,-5.67924,59.2587,-20.0439,-64.7218,1.19528e-005,5.00003,-55.2417,7.18991,-59.3923,34.4382,7.18831,21.3391,17.7228,0.0
1.5,45,49.6001,-4.8319,59.0694,-19.8055,-64.7551,1.19528e-005,5.00003,-53.0054,6.01374,-57.2562,33.9754,7.49699,21.7361,18.2803,0.0
1.53333,46,48.6292,-4.02447,58.8692,-19.5772,-64.7862,1.19528e-005,5.00003,-50.7189,4.80703,-55.0733,33.4433,7.7919,22.1164,18.8166,0.0
1.56667,47,47.6385,-3.26114,58.656,-19.404,-64.8153,1.19528e-005,5.00003,-48.3808,3.55483,-52.8444,32.8475,8.07219,22.4789,19.3298,0.0
1.6,48,46.6319,-2.55565,58.428,-19.2534,-64.8424,1.19528e-005,5.00003,-45.9891,2.26151,-50.5715,32.1857,8.33701,22.8222,19.8177,0.0
1.63333,49,45.6139,-1.89207,58.1833,-19.1372,-64.8673,1.19528e-005,5.00003,-43.5418,0.920414,-48.2567,31.4559,8.58553,23.1451,20.2783,0.0
1.66667,50,44.5888,-1.28436,57.9199,-19.0558,-64.8901,1.19528e-005,5.00003,-41.034,-0.46167,-45.9006,30.6545,8.81688,23.4465,20.7096,0.0
1.7,51,43.562,-0.72679,57.6356,-19.0093,-64.9109,1.19528e-005,5.00003,-38.4609,-1.89388,-43.5055,29.7794,9.03023,23.725,21.1095,0.0
1.73333,52,42.664,-0.532956,57.4154,-19.2612,-64.9294,1.19528e-005,5.00003,-35.8896,-3.45525,-41.0917,28.7393,9.22472,23.9794,21.476,0.0
1.76667,53,41.9722,-0.906321,57.2972,-20.0202,-64.9459,1.19528e-005,5.00003,-33.3521,-5.20844,-38.6456,27.4555,9.3995,24.2085,21.8071,0.0
