Header
rate=30
frames=60
duration=2.0
type=degree
Body
Time,Frame,RE,RS,LE,LS,NV,NH,HD,RK,RH,LK,LH,TV,TH,TO,SD
0.0,0,90.0888,-22.6142,87.633,-17.7479,-50.0,10.0,61.6016,-90.2695,57.4715,-83.6244,40.6343,-80.0,-70.0,-16.651,0.0
0.0333333,1,90.0624,-22.5387,87.4969,-17.3554,-49.9285,9.89345,62.3014,-90.1082,57.9193,-83.3096,40.6006,-79.8993,-71.2706,-17.0432,fat_039
0.0666667,2,90.0502,-22.514,87.3744,-17.0113,-49.7206,9.57952,63.0528,-89.9637,58.3299,-83.0078,40.5356,-79.6062,-72.4985,-17.4338,0.0
0.1,3,90.0524,-22.5386,87.2652,-16.7033,-49.386,9.06688,63.8524,-89.8368,58.7048,-82.7197,40.4407,-79.1347,-73.6844,-17.8225,0.0
0.133333,4,90.0692,-22.61,87.1694,-16.4608,-48.9345,8.36416,64.6969,-89.7278,59.045,-82.4449,40.3169,-78.4982,-74.8291,-18.2092,0.0
0.166667,5,90.0998,-22.7261,87.0864,-16.2503,-48.3758,7.48,65.5828,-89.6366,59.3516,-82.183,40.1652,-77.7107,-75.9332,-18.5936,0.0
0.2,6,90.1436,-22.8839,87.0157,-16.0694,-47.7196,6.42304,66.5067,-89.5641,59.6259,-81.9346,39.9684,-76.7859,-76.9974,-18.9753,0.0
0.233333,7,90.1998,-23.0811,86.9562,-15.9367,-46.9757,5.20192,67.4653,-89.5089,59.8683,-81.6989,39.7827,-75.7374,-78.0225,-19.3541,0.0
0.266667,8,90.2678,-23.3267,86.9073,-15.85,-46.1539,3.82528,68.4552,-89.4717,60.1003,-81.4755,39.535,-74.579,-79.0091,-19.7298,0.0
0.3,9,90.3463,-23.5833,86.8678,-15.7858,-45.2638,2.30176,69.4731,-89.4515,60.2625,-81.2629,39.3001,-73.3245,-79.9579,-20.1021,0.0
0.333333,10,90.4343,-23.8829,86.8364,-15.7521,-44.3153,0.640002,70.5154,-89.4473,60.4156,-81.0614,39.0237,-71.9876,-80.8697,-20.4707,0.0
0.366667,11,90.5305,-24.2112,86.8121,-15.7464,-43.318,-1.15136,71.579,-89.4595,60.5409,-80.8698,38.7246,-70.582,-81.7451,-20.8354,0.0
0.4,12,90.6336,-24.5653,86.7936,-15.7662,-42.2818,-3.06368,72.6603,-89.4863,60.639,-80.6867,38.3855,-69.1215,-82.5849,-21.1959,0.0
0.433333,13,90.7423,-24.9547,86.7795,-15.8092,-41.2163,-5.08832,73.756,-89.527,60.7108,-80.5117,38.0623,-67.6197,-83.3897,-21.5519,0.0
0.466667,14,90.855,-25.3406,86.7685,-15.862,-40.1313,-7.21664,74.8627,-89.5809,60.7771,-80.3444,37.7009,-66.0905,-84.1602,-21.9032,0.0
0.5,15,90.971,-25.7562,86.7595,-15.9437,-39.0366,-9.44,75.9771,-89.647,60.7791,-80.1826,37.3202,-64.5475,-84.8972,-22.2496,0.0
0.533333,16,91.0884,-26.1871,86.751,-16.0526,-37.9419,-11.7498,77.0957,-89.7239,60.7775,-80.0258,36.9029,-63.0046,-85.6014,-22.5907,0.0
0.566667,17,91.2059,-26.6305,86.7421,-16.1642,-36.8569,-14.1373,78.2152,-89.8113,60.7534,-79.8737,36.5053,-61.4754,-86.2733,-22.9263,0.0
0.6,18,91.3227,-27.0966,86.7314,-16.2874,-35.7915,-16.5939,79.3322,-89.9074,60.7274,-79.7247,36.0546,-59.9736,-86.9139,-23.2562,0.0
0.633333,19,91.4373,-27.5578,86.7179,-16.42,-34.7552,-19.111,80.4433,-90.0113,60.641,-79.5784,35.6072,-58.5131,-87.5237,-23.58,0.0
0.666667,20,91.5487,-28.0242,86.7007,-16.5601,-33.758,-21.68,81.5452,-90.1221,60.5551,-79.4341,35.1641,-57.1075,-88.1034,-23.8975,0.0
0.7,21,91.6555,-28.4802,86.6789,-16.6941,-32.8094,-24.2922,82.6344,-90.2386,60.4506,-79.2909,34.6718,-55.7705,-88.6538,-24.2085,0.0
0.733333,22,91.7573,-28.95,86.6517,-16.8552,-31.9194,-26.9389,83.7076,-90.3598,60.3286,-79.1477,34.2039,-54.516,-89.1755,-24.5127,0.0
0.766667,23,91.8528,-29.4183,86.6185,-17.0068,-31.0975,-29.6115,84.7614,-90.4845,60.1905,-79.0049,33.708,-53.3577,-89.6693,-24.8098,0.0
0.8,24,91.9417,-29.8832,86.5788,-17.1591,-30.3536,-32.3014,85.7924,-90.6119,60.0371,-78.862,33.1855,-52.3092,-90.1359,-25.0996,0.0
0.833333,25,92.0231,-30.3565,86.5321,-17.3105,-29.6974,-35.0,86.7973,-90.7411,59.87,-78.7181,32.6914,-51.3843,-90.5759,-25.3818,0.0
0.866667,26,92.0964,-30.809,86.4782,-17.46,-29.1387,-37.6986,87.7726,-90.8714,59.6903,-78.5729,32.1559,-50.5968,-90.99,-25.6561,0.0
0.9,27,92.1613,-31.2528,86.4171,-17.5937,-28.6872,-40.3885,88.7149,-91.0019,59.4994,-78.4268,31.652,-49.9604,-91.3791,-25.9223,0.0
0.933333,28,92.2176,-31.6718,86.3486,-17.7484,-28.3526,-43.0611,89.621,-91.1308,59.3177,-78.2796,31.1105,-49.4888,-91.7436,-26.1801,0.0
0.966667,29,92.2653,-32.1078,86.273,-17.8728,-28.1447,-45.7078,90.4874,-91.2589,59.1083,-78.1309,30.6036,-49.1958,-92.0845,-26.4293,0.0
1.0,30,92.3042,-32.5018,86.1906,-18.004,-28.0732,-48.32,91.3108,-91.3845,58.8726,-77.9821,30.0561,-49.0951,-92.4023,-26.6695,0.0
1.03333,31,92.3341,-32.9106,86.1017,-18.142,-28.486,-50.889,92.0877,-91.5069,58.6503,-77.8327,29.5614,-49.3916,-92.6977,-26.9007,0.0
1.06667,32,92.3557,-33.2747,86.0071,-18.2603,-29.6672,-53.4061,92.8147,-91.6262,58.4241,-77.6825,29.047,-50.2404,-92.9716,-27.1223,0.0
1.1,33,92.3692,-33.6373,85.9073,-18.3715,-31.5315,-55.8627,93.4886,-91.7413,58.1951,-77.5327,28.5231,-51.5801,-93.2245,-27.3343,0.0
1.13333,34,92.3752,-33.983,85.8032,-18.4754,-33.9936,-58.2502,94.1059,-91.852,57.9652,-77.3841,28.026,-53.3492,-93.4571,-27.5363,0.0
1.16667,35,92.3738,-34.3108,85.6956,-18.5718,-36.968,-60.56,94.6632,-91.9576,57.7358,-77.2373,27.5411,-55.4865,-93.6702,-27.7282,0.0
1.2,36,92.3661,-34.6202,85.5857,-18.6606,-40.3694,-62.7834,95.1572,-92.0578,57.5087,-77.0927,27.07,-57.9305,-93.8645,-27.9095,0.0
1.23333,37,92.3526,-34.9264,85.4745,-18.742,-44.1123,-64.9117,95.5844,-92.153,57.2858,-76.9519,26.6326,-60.62,-94.0407,-28.0801,0.0
1.26667,38,92.3343,-35.1978,85.3634,-18.8162,-48.1114,-66.9363,95.9416,-92.242,57.0683,-76.815,26.1968,-63.4936,-94.1994,-28.2397,0.0
1.3,39,92.3122,-35.4494,85.2535,-18.8833,-52.2813,-68.8486,96.2253,-92.3247,56.8582,-76.6833,25.7822,-66.4899,-94.3415,-28.388,0.0
1.33333,40,92.2867,-35.6648,85.1462,-18.9436,-56.5366,-70.64,96.4321,-92.4016,56.6575,-76.5576,25.3744,-69.5475,-94.4674,-28.5248,fat_053
1.36667,41,92.2592,-35.8759,85.0429,-18.9973,-60.7919,-72.3018,96.5586,-92.4715,56.4675,-76.4397,25.0094,-72.6052,-94.5781,-28.6499,0.0
1.4,42,92.2306,-36.0663,84.9449,-19.0307,-64.9618,-73.8253,96.6016,-92.5346,56.2901,-76.33,24.6897,-75.6015,-94.6741,-28.7628,0.0
1.43333,43,92.2022,-36.2358,84.8539,-19.0861,-68.9609,-75.2019,96.6016,-92.5916,56.1273,-76.2295,24.3839,-78.475,-94.7562,-28.8635,0.0
1.46667,44,92.1748,-36.3842,84.7709,-19.1077,-72.7038,-76.423,96.6016,-92.6413,55.9806,-76.1398,24.095,-81.1645,-94.8251,-28.9516,0.0
1.5,45,92.1493,-36.5111,84.6975,-19.1378,-76.1052,-77.48,96.6016,-92.6835,55.8518,-76.0615,23.8748,-83.6086,-94.8815,-29.0269,0.0
1.53333,46,92.1267,-36.6162,84.635,-19.1768,-79.0796,-78.3642,96.6016,-92.7192,55.7612,-75.9955,23.6594,-85.7459,-94.926,-29.089,0.0
1.56667,47,92.1078,-36.6991,84.5847,-19.1964,-81.5417,-79.0669,96.6016,-92.7468,55.6552,-75.943,23.5175,-87.515,-94.9594,-29.1378,0.0
1.6,48,92.0936,-36.7758,84.5476,-19.2106,-83.406,-79.5795,96.6016,-92.7674,55.5906,-75.9048,23.4018,-88.8547,-94.9825,-29.173,0.0
1.63333,49,92.0849,-36.7958,84.5247,-19.2194,-84.5873,-79.8934,96.6016,-92.7796,55.5508,-75.8819,23.3309,-89.7034,-94.9958,-29.1943,0.0
1.66667,50,92.0817,-36.8082,84.5169,-19.2225,-85.0,-80.0,96.6016,-92.7841,55.5373,-75.8738,23.3068,-90.0,-95.0,-29.2015,0.0
1.7,51,92.0817,-36.8082,84.5169,-19.2225,-85.0,-80.0,96.6016,-92.7841,55.5373,-75.8738,23.3068,-90.0,-95.0,-29.2015,0.0
1.73333,52,92.0817,-36.8082,84.5169,-19.2225,-85.0,-80.0,96.6016,-92.7841,55.5373,-75.8738,23.3068,-90.0,-95.0,-29.2015,0.0
1.76667,53,92.0817,-36.8082,84.5169,-19.2225,-85.0,-80.0,96.6016,-92.7841,55.5373,-75.8738,23.3068,-90.0,-95.0,-29.2015,0.0
1.8,54,92.0817,-36.8082,84.5169,-19.2225,-85.0,-80.0,96.6016,-92.7841,55.5373,-75.8738,23.3068,-90.0,-95.0,-29.2015,0.0
1.83333,55,92.0817,-36.8082,84.5169,-19.2225,-85.0,-80.0,96.6016,-92.7841,55.5373,-75.8738,23.3068,-90.0,-95.0,-29.2015,0.0
1.86667,56,92.0817,-36.8082,84.5169,-19.2225,-85.0,-80.0,96.6016,-92.7841,55.5373,-75.8738,23.3068,-90.0,-95.0,-29.2015,0.0
1.9,57,92.0817,-36.8082,84.5169,-19.2225,-85.0,-80.0,96.6016,-92.7841,55.5373,-75.8738,23.3068,-90.0,-95.0,-29.2015,0.0
1.93333,58,92.0817,-36.8082,84.5169,-19.2225,-85.0,-80.0,96.6016,-92.7841,55.5373,-75.8738,23.3068,-90.0,-95.0,-29.2015,0.0
1.96667,59,92.0817,-36.8082,84.5169,-19.2225,-85.0,-80.0,96.6016,-92.7841,55.5373,-75.8738,23.3068,-90.0,-95.0,-29.2015,0.0
2.0,60,92.0817,-36.8082,84.5169,-19.2225,-85.0,-80.0,96.6016,-92.7841,55.5373,-75.8738,23.3068,-90.0,-95.0,-29.2015,0.0
