Header
rate=30
frames=40
duration=1.33333
type=degree
Body
Time,Frame,RE,RS,LE,LS,NV,NH,HD,RK,RH,LK,LH,TV,TH,TO,SD,TR
0.0,0,-3.47886,-1.71302,-3.45405,-1.33647,6.83019e-006,6.83019e-006,0.655261,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,0.0
0.0333333,1,-3.47886,-1.71302,-3.45405,-1.33647,0.586031,-0.00324446,0.655261,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,0.0
0.0666667,2,-3.47886,-1.71302,-3.45405,-1.33647,2.26327,-0.0188928,0.655261,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,0.0
0.1,3,-3.47886,-1.71302,-3.45405,-1.33647,4.91049,-0.0557799,0.655261,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,0.0
0.133333,4,-3.47886,-1.71302,-3.45405,-1.33647,8.40643,-0.122747,0.655261,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,0.0
0.166667,5,-3.47886,-1.71302,-3.45405,-1.33647,12.6298,-0.228637,0.655261,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,0.0
0.2,6,-3.47886,-1.71302,-3.45405,-1.33647,17.4595,-0.382291,0.655261,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,0.0
0.233333,7,-3.47886,-1.71302,-3.45405,-1.33647,22.7741,-0.59255,0.655261,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,0.0
0.266667,8,-3.47886,-1.71302,-3.45405,-1.33647,28.4525,-0.868256,0.655261,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,0.0
0.3,9,-3.47886,-1.71302,-3.45405,-1.33647,34.3734,-1.21825,0.655261,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,0.0
0.333333,10,-3.47886,-1.71302,-3.45405,-1.33647,40.4155,-1.65138,0.655261,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,0.0
0.366667,11,-3.47886,-1.71302,-3.45405,-1.33647,46.4576,-2.17648,0.655261,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,0.0
0.4,12,-3.47886,-1.71302,-3.45405,-1.33647,52.3785,-2.80239,0.655261,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,0.0
0.433333,13,-3.47886,-1.71302,-3.45405,-1.33647,58.0569,-3.53796,0.655261,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,0.0
0.466667,14,-3.47886,-1.71302,-3.45405,-1.33647,63.3715,-4.39202,0.655261,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,0.0
0.5,15,-3.47886,-1.71302,-3.45405,-1.33647,68.2011,-5.37343,0.655261,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,0.0
0.533333,16,-3.47886,-1.71302,-3.45405,-1.33647,72.4246,-6.49101,0.655261,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,0.0
0.566667,17,-3.47886,-1.71302,-3.45405,-1.33647,75.9205,-7.75362,0.655261,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,0.0
0.6,18,-3.47886,-1.71302,-3.45405,-1.33647,78.5677,-9.17009,0.655261,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,0.0
0.633333,19,-3.47886,-1.71302,-3.45405,-1.33647,80.245,-10.7493,0.655261,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,0.0
0.666667,20,-3.47886,-1.71302,-3.45405,-1.33647,80.831,-12.5,0.655261,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,0.0
0.7,21,-3.47886,-1.71302,-3.45405,-1.33647,80.831,-14.7171,0.655261,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,curious_1,0.0
0.733333,22,-3.47886,-1.71302,-3.45405,-1.33647,80.831,-17.6309,0.655261,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,0.0
0.766667,23,-3.47886,-1.71302,-3.45405,-1.33647,80.831,-21.154,0.655261,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,0.0
0.8,24,-3.47886,-1.71302,-3.45405,-1.33647,80.831,-25.1986,0.655261,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,0.0
0.833333,25,-3.47886,-1.71302,-3.45405,-1.33647,80.831,-29.677,0.655261,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,0.0
0.866667,26,-3.47886,-1.71302,-3.45405,-1.33647,80.831,-34.5017,0.655261,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,0.0
0.9,27,-3.47886,-1.71302,-3.45405,-1.33647,80.831,-39.585,0.655261,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,0.0
0.933333,28,-3.47886,-1.71302,-3.45405,-1.33647,80.831,-44.8393,0.655261,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,0.0
0.966667,29,-3.47886,-1.71302,-3.45405,-1.33647,80.831,-50.1769,0.655261,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,0.0
