Header
rate=30
frames=190
duration=6.33333
type=degree
Body
Time,Frame,RE,RS,LE,LS,NV,NH,HD,RK,RH,LK,LH,TV,TH,TO,SD,TR
0.0,0,-3.47886,-13.4829,-3.42897,0.830554,-2.79643,-31.7834,-90.7375,-14.7847,11.1613,-5.78592,-13.8792,-29.6944,-70.2679,-24.2221,0.0,0.0
0.0333333,1,-3.47886,-13.4829,-3.42897,0.830554,-2.79643,-31.7834,-90.7375,-14.7847,11.1613,-5.78592,-13.8792,-29.6944,-70.2574,-24.2221,0.0,0.0
0.0666667,2,-3.47886,-13.4829,-3.42897,0.830554,-2.79643,-31.7834,-90.7375,-14.7847,11.1613,-5.78592,-13.8792,-29.6944,-70.2474,-24.2221,0.0,0.0
0.1,3,-3.47886,-13.4829,-3.42897,0.830554,-2.79643,-31.7834,-90.7375,-14.7847,11.1613,-5.78592,-13.8792,-29.6944,-70.238,-24.2221,0.0,0.0
0.133333,4,-3.47886,-13.4829,-3.42897,0.830554,-2.79643,-31.7834,-90.7375,-14.7847,11.1613,-5.78592,-13.8792,-29.6944,-70.2293,-24.2221,0.0,0.0
0.166667,5,-3.47886,-13.4829,-3.42897,0.830554,-2.79643,-31.7834,-90.7375,-14.7847,11.1613,-5.78592,-13.8792,-29.6944,-70.2216,-24.2221,0.0,0.0
0.2,6,-3.47886,-13.4829,-3.42897,0.830554,-2.79643,-31.7834,-90.7375,-14.7847,11.1613,-5.78592,-13.8792,-29.6944,-70.2149,-24.2221,0.0,0.0
0.233333,7,-3.47886,-13.4829,-3.42897,0.830554,-2.79643,-31.7834,-90.7375,-14.7847,11.1613,-5.78592,-13.8792,-29.6944,-70.2094,-24.2221,0.0,0.0
0.266667,8,-3.47886,-13.4829,-3.42897,0.830554,-2.79643,-31.7834,-90.7375,-14.7847,11.1613,-5.78592,-13.8792,-29.6944,-70.2054,-24.2221,0.0,0.0
0.3,9,-3.47886,-13.4829,-3.42897,0.830554,-2.79643,-31.7834,-90.7375,-14.7847,11.1613,-5.78592,-13.8792,-29.6944,-70.2028,-24.2221,0.0,0.0
0.333333,10,-3.47886,-13.4829,-3.42897,0.830554,-2.79643,-31.7834,-90.7375,-14.7847,11.1613,-5.78592,-13.8792,-29.6944,-70.2019,-24.2221,0.0,0.0
0.366667,11,-3.51833,-13.4913,-3.4883,0.838094,-2.96868,-31.7834,-90.7375,-15.949,11.7666,-5.75165,-13.9416,-29.6944,-70.2019,-24.2221,0.0,0.0
0.4,12,-3.51853,-13.5743,-3.45405,0.734938,-3.47375,-31.7834,-90.7375,-18.7517,13.2192,-5.80012,-14.0173,-29.6944,-70.2019,-24.2221,0.0,0.0
0.433333,13,-3.47886,-13.7367,-3.44875,0.602027,-4.29412,-31.7834,-90.7375,-22.2888,15.0143,-5.75146,-14.2122,-29.6944,-70.2019,-24.2221,0.0,0.0
0.466667,14,-3.47886,-13.9247,-3.45405,0.425064,-5.41228,-31.7834,-90.7375,-26.1173,16.9213,-5.78592,-14.4132,-29.6944,-70.2019,-24.2221,0.0,0.0
0.5,15,-3.45587,-14.1676,-3.45406,0.205408,-6.81071,-31.7834,-90.7375,-30.0494,18.8415,-5.75184,-14.7236,-29.6944,-70.2019,-24.2221,0.0,0.0
0.533333,16,-3.51827,-14.4084,-3.45406,-0.0531137,-8.4719,-31.7834,-90.7375,-34.0017,20.7198,-5.78593,-15.0397,-29.6944,-70.2019,-24.2221,0.0,0.0
0.566667,17,-3.51849,-14.7192,-3.4883,-0.321825,-10.3783,-31.7834,-90.7375,-37.9296,22.5318,-5.75132,-15.4558,-29.6944,-70.2019,-24.2221,0.0,0.0
0.6,18,-3.51844,-15.0657,-3.45405,-0.671102,-12.5125,-31.7834,-90.7375,-41.8097,24.2881,-5.78592,-15.8704,-29.6944,-70.2019,-24.2221,0.0,0.0
0.633333,19,-3.49848,-15.4342,-3.45405,-1.02256,-14.8568,-31.7834,-90.7375,-45.6268,25.9536,-19.2927,-8.73952,-29.6944,-70.2019,-24.2221,0.0,0.0
0.666667,20,-3.47886,-15.8563,-3.45405,-1.39695,-17.3938,-31.7834,-90.7375,-49.371,27.5488,-27.7478,-4.46278,-29.6944,-70.2019,-24.2221,0.0,0.0
0.7,21,-3.51833,-16.2443,-3.45406,-1.78749,-20.106,-31.7834,-90.7375,-53.0348,29.065,-34.1225,-1.41821,-29.6944,-70.2019,-24.2221,0.0,0.0
0.733333,22,-3.51849,-16.6745,-3.45405,-2.19595,-22.9759,-31.7834,-90.7375,-56.6126,30.5126,-39.5822,1.07582,-29.6944,-70.2019,-24.2221,0.0,0.0
0.766667,23,-3.51827,-17.1199,-3.45406,-2.61894,-25.9858,-31.7834,-90.7375,-60.1001,31.8727,-44.4873,3.20334,-29.6944,-70.2019,-24.2221,0.0,0.0
0.8,24,-3.47886,-17.5927,-3.45405,-3.04347,-29.1184,-31.7834,-90.7375,-63.4928,33.1452,-49.0025,5.05872,-29.6944,-70.2019,-24.2221,0.0,0.0
0.833333,25,-3.46981,-18.0423,4.21647,-7.88271,-32.3561,-31.7834,-90.7375,-66.7885,34.3542,-53.2166,6.71573,-29.6944,-70.2019,-24.2221,0.0,0.0
0.866667,26,-3.51849,-18.4723,8.11658,-10.5365,-35.6814,-31.7834,-90.7375,-69.983,35.4905,-57.1838,8.21106,-29.6944,-70.2019,-24.2221,0.0,0.0
0.9,27,-3.51849,-18.9234,10.917,-12.554,-39.0768,-31.7834,-90.7375,-73.0735,36.5566,-60.9377,9.53425,-29.6944,-70.2019,-24.2221,0.0,0.0
0.933333,28,-3.51849,-19.3688,13.1619,-14.2422,-42.5247,-31.7834,-90.7375,-76.0575,37.5544,-64.5014,10.7372,-29.6944,-70.2019,-24.2221,0.0,0.0
0.966667,29,-3.49848,-19.8102,15.0393,-15.7151,-46.0076,-31.7834,-90.7375,-78.9329,38.5002,-67.8899,11.8214,-29.6944,-70.2019,-24.2221,0.0,0.0
1.0,30,-3.47886,-20.2559,16.6409,-17.0104,-49.5081,-31.7834,-90.7375,-81.6961,39.3558,-71.1147,12.7983,-29.6944,-70.2019,-24.2221,0.0,0.0
1.03333,31,-3.51833,-20.6462,18.0189,-18.1635,-53.0085,-31.7834,-90.7375,-84.3457,40.1637,-74.1833,13.6905,-29.6944,-70.2019,-24.2221,0.0,0.0
1.06667,32,-3.47886,-21.0687,19.2075,-19.1851,-56.4915,-31.7834,-90.7375,-86.8793,40.9271,-77.1021,14.4801,-29.6944,-70.2019,-24.2221,0.0,0.0
1.1,33,-3.48426,-21.4282,20.2312,-20.1126,-59.9394,-31.7834,-90.7375,-89.2942,41.6057,-79.8737,15.1867,-29.6944,-70.2019,-24.2221,0.0,0.0
1.13333,34,-3.51849,-21.7981,21.1086,-20.932,-63.3347,-31.7834,-90.7375,-91.5887,42.2443,-82.5013,15.8173,-29.6944,-70.2019,-24.2221,0.0,0.0
1.16667,35,-3.49848,-22.1402,21.8544,-21.6592,-66.66,-31.7834,-90.7375,-93.7609,42.8309,-84.9858,16.3629,-29.6944,-70.2019,-24.2221,0.0,0.0
1.2,36,-3.49848,-22.4672,22.4813,-22.3011,-69.8977,-31.7834,-90.7375,-95.8088,43.368,-87.3278,16.8581,-29.6944,-70.2019,-24.2221,0.0,0.0
1.23333,37,-3.51853,-22.7738,23.0008,-22.855,-73.0303,-31.7834,-90.7375,-97.7303,43.8724,-89.5272,17.2941,-29.6944,-70.2019,-24.2221,0.0,0.0
1.26667,38,-3.51833,-23.0596,23.4236,-23.3541,-76.0403,-31.7834,-90.7375,-99.5244,44.3162,-91.5842,17.6758,-29.6944,-70.2019,-24.2221,0.0,0.0
1.3,39,-3.46981,-23.3526,23.7597,-23.7766,-78.9101,-31.7834,-90.7375,-101.189,44.7009,-93.4963,18.0231,-29.6944,-70.2019,-24.2221,0.0,0.0
1.33333,40,-3.49848,-23.5673,24.0195,-24.1279,-81.6223,-31.7834,-90.7375,-102.723,45.0593,-95.2621,18.3095,-29.6944,-70.2019,-24.2221,0.0,0.0
1.36667,41,-3.51833,-23.7884,24.2126,-24.4418,-84.1593,-31.7834,-90.7375,-104.123,45.3778,-96.8805,18.5549,-29.6944,-70.2019,-24.2221,0.0,0.0
1.4,42,-3.51849,-23.9877,24.3489,-24.6953,-86.5037,-31.7834,-90.7375,-105.389,45.674,-98.3473,18.7627,-29.6944,-70.2019,-24.2221,0.0,0.0
1.43333,43,-3.51833,-24.1648,24.4381,-24.9032,-88.6378,-31.7834,-90.7375,-106.518,45.9023,-99.6604,18.9368,-29.6944,-70.2019,-24.2221,0.0,0.0
1.46667,44,-3.47886,-24.3429,24.4901,-25.0708,-90.5442,-31.7834,-90.7375,-107.509,46.1112,-100.817,19.081,-29.6944,-70.2019,-24.2221,0.0,0.0
1.5,45,-3.51833,-24.452,24.5138,-25.193,-92.2054,-31.7834,-90.7375,-108.358,46.303,-101.811,19.1977,-29.6944,-70.2019,-24.2221,0.0,0.0
1.53333,46,-3.51849,-24.5616,24.5187,-25.3041,-93.6038,-31.7834,-90.7375,-109.063,46.446,-102.639,19.2898,-29.6944,-70.2019,-24.2221,0.0,0.0
1.56667,47,-3.51853,-24.648,24.5121,-25.3685,-94.722,-31.7834,-90.7375,-109.621,46.5411,-103.295,19.3595,-29.6944,-70.2019,-24.2221,0.0,0.0
1.6,48,-3.51849,-24.7108,24.5017,-25.4193,-95.5424,-31.7834,-90.7375,-110.026,46.6209,-103.773,19.3919,-29.6944,-70.2019,-24.2221,0.0,0.0
1.63333,49,-3.47886,-24.7723,24.4927,-25.459,-96.0474,-31.7834,-90.7375,-110.274,46.6855,-104.066,19.4376,-29.6944,-70.2019,-24.2221,0.0,0.0
1.66667,50,-3.49848,-24.7677,24.4894,-25.459,-96.2197,-31.7834,-90.7375,-110.359,46.6857,-104.166,19.4474,-29.6944,-70.2019,-24.2221,0.0,0.0
1.7,51,-3.51853,-24.7508,24.51,-25.4668,-96.2197,-31.6642,-90.7375,-110.351,46.705,-104.165,19.4572,-29.6944,-70.2019,-24.2221,0.0,0.0
1.73333,52,-3.51833,-24.7173,24.5707,-25.4605,-96.2197,-31.3273,-90.7375,-110.327,46.6974,-104.159,19.4856,-29.6944,-70.2019,-24.2221,0.0,0.0
1.76667,53,-3.46981,-24.686,24.6694,-25.4401,-96.2197,-30.8037,-90.7375,-110.288,46.7114,-104.15,19.5316,-29.6944,-70.2019,-24.2221,0.0,0.0
1.8,54,-3.51844,-24.5876,24.8041,-25.4353,-96.2197,-30.1246,-90.7375,-110.234,46.7304,-104.139,19.5953,-29.6944,-70.2019,-24.2221,0.0,0.0
1.83333,55,-3.51833,-24.4931,24.9726,-25.4061,-96.2197,-29.3211,-90.7375,-110.167,46.7707,-104.124,19.6754,-29.6944,-70.2019,-24.2221,0.0,0.0
1.86667,56,-3.47886,-24.4031,25.1723,-25.3821,-96.2197,-28.4244,-90.7375,-110.087,46.783,-104.106,19.7706,-29.6944,-70.2019,-24.2221,0.0,0.0
1.9,57,-3.46981,-24.2722,25.401,-25.353,-96.2197,-27.4654,-90.7375,-109.994,46.8159,-104.085,19.8808,-29.6944,-70.2019,-24.2221,0.0,0.0
1.93333,58,-3.47886,-24.1295,25.6563,-25.3187,-96.2197,-26.4753,-90.7375,-109.888,46.8524,-104.061,20.0043,-29.6944,-70.2019,-24.2221,0.0,0.0
1.96667,59,-3.51833,-23.9368,25.9356,-25.2888,-96.2197,-25.4852,-90.7375,-109.771,46.8927,-104.035,20.1414,-29.6944,-70.2019,-24.2221,0.0,0.0
2.0,60,-3.51833,-23.7574,26.2365,-25.2329,-96.2197,-24.5262,-90.7375,-109.643,46.9524,-104.005,20.2904,-29.6944,-70.2019,-24.2221,0.0,0.0
2.03333,61,-3.51833,-23.5634,26.5566,-25.1909,-96.2197,-23.6294,-90.7375,-109.505,46.9986,-103.973,20.4506,-29.6944,-70.2019,-24.2221,0.0,0.0
2.06667,62,-3.51849,-23.3559,26.8937,-25.1324,-96.2197,-22.8259,-90.7375,-109.357,47.0318,-103.939,20.605,-29.6944,-70.2019,-24.2221,0.0,0.0
