Header
rate=30
frames=190
duration=6.33333
type=degree
Body
Time,Frame,RE,RS,LE,LS,NV,NH,HD,RK,RH,LK,LH,TV,TH,TO,SD,TR
0.0,0,-3.45587,11.8492,-3.4883,1.27971,-2.79643,48.1721,-90.7375,-6.27655,-21.8321,-13.017,8.78204,-29.6944,58.5064,21.6506,0.0,0.0
0.0333333,1,-3.45587,11.8492,-3.4883,1.27971,-2.79643,48.1721,-90.7375,-6.27655,-21.8321,-13.017,8.78204,-29.6944,58.5169,21.6506,0.0,0.0
0.0666667,2,-3.45587,11.8492,-3.4883,1.27971,-2.79643,48.1721,-90.7375,-6.27655,-21.8321,-13.017,8.78204,-29.6944,58.5269,21.6506,0.0,0.0
0.1,3,-3.45587,11.8492,-3.4883,1.27971,-2.79643,48.1721,-90.7375,-6.27655,-21.8321,-13.017,8.78204,-29.6944,58.5363,21.6506,0.0,0.0
0.133333,4,-3.45587,11.8492,-3.4883,1.27971,-2.79643,48.1721,-90.7375,-6.27655,-21.8321,-13.017,8.78204,-29.6944,58.545,21.6506,0.0,0.0
0.166667,5,-3.45587,11.8492,-3.4883,1.27971,-2.79643,48.1721,-90.7375,-6.27655,-21.8321,-13.017,8.78204,-29.6944,58.5527,21.6506,0.0,0.0
0.2,6,-3.45587,11.8492,-3.4883,1.27971,-2.79643,48.1721,-90.7375,-6.27655,-21.8321,-13.017,8.78204,-29.6944,58.5594,21.6506,0.0,0.0
0.233333,7,-3.45587,11.8492,-3.4883,1.27971,-2.79643,48.1721,-90.7375,-6.27655,-21.8321,-13.017,8.78204,-29.6944,58.5649,21.6506,0.0,0.0
0.266667,8,-3.45587,11.8492,-3.4883,1.27971,-2.79643,48.1721,-90.7375,-6.27655,-21.8321,-13.017,8.78204,-29.6944,58.569,21.6506,0.0,0.0
0.3,9,-3.45587,11.8492,-3.4883,1.27971,-2.79643,48.1721,-90.7375,-6.27655,-21.8321,-13.017,8.78204,-29.6944,58.5715,21.6506,0.0,0.0
0.333333,10,-3.45587,11.8492,-3.4883,1.27971,-2.79643,48.1721,-90.7375,-6.27655,-21.8321,-13.017,8.78204,-29.6944,58.5724,21.6506,0.0,0.0
0.366667,11,-3.51853,11.8858,-3.44875,1.25368,-2.96868,48.1721,-90.7375,-6.2764,-21.86,-14.3472,9.54435,-29.6944,58.5724,21.6506,0.0,0.0
0.4,12,-3.46598,11.8678,-3.44875,1.25992,-3.47375,48.1721,-90.7375,-6.31075,-21.9221,-17.4028,11.2846,-29.6944,58.5724,21.6506,0.0,0.0
0.433333,13,-3.51853,11.9265,-3.48827,1.29154,-4.29412,48.1721,-90.7375,-6.27655,-22.0844,-21.1195,13.3774,-29.6944,58.5724,21.6506,0.0,0.0
0.466667,14,-3.51827,11.9637,-3.48827,1.30106,-5.41228,48.1721,-90.7375,-6.2767,-22.2725,-25.0649,15.5744,-29.6944,58.5724,21.6506,0.0,0.0
0.5,15,-3.49848,12.0084,-3.45405,1.28886,-6.81071,48.1721,-90.7375,-6.27655,-22.5078,-29.0743,17.7822,-29.6944,58.5724,21.6506,0.0,0.0
0.533333,16,-3.51844,12.0628,-3.4883,1.33045,-8.4719,48.1721,-90.7375,-6.31075,-22.7595,-33.0795,19.9539,-29.6944,58.5724,21.6506,0.0,0.0
0.566667,17,-3.51833,12.1242,-3.44875,1.32617,-10.3783,48.1721,-90.7375,-6.27648,-23.0977,-37.0465,22.0751,-29.6944,58.5724,21.6506,0.0,0.0
0.6,18,-3.47886,12.1739,-3.45405,1.34896,-12.5125,48.1721,-90.7375,-18.8991,-16.6326,-40.9548,24.1357,-29.6944,58.5724,21.6506,0.0,0.0
0.633333,19,-3.51849,12.2831,-3.45405,1.3794,-14.8568,48.1721,-90.7375,-27.2681,-12.4215,-44.7932,26.1317,-29.6944,58.5724,21.6506,0.0,0.0
0.666667,20,-3.47886,12.3494,-3.4883,1.4403,-17.3938,48.1721,-90.7375,-33.5719,-9.35071,-48.5545,28.0612,-29.6944,58.5724,21.6506,0.0,0.0
0.7,21,-3.49848,12.4776,-3.45405,1.4602,-20.106,48.1721,-90.7375,-38.9933,-6.78494,-52.2315,29.9152,-29.6944,58.5724,21.6506,0.0,0.0
0.733333,22,2.60748,9.21624,-3.4883,1.53333,-22.9759,48.1721,-90.7375,-43.8871,-4.53098,-55.8207,31.7199,-29.6944,58.5724,21.6506,0.0,0.0
0.766667,23,7.14089,6.82751,-3.48827,1.58812,-25.9858,48.1721,-90.7375,-48.4115,-2.50082,-59.3181,33.451,-29.6944,58.5724,21.6506,0.0,0.0
0.8,24,10.2471,5.23568,-3.45405,1.62145,-29.1184,48.1721,-90.7375,-52.6527,-0.637277,-62.7193,35.1071,-29.6944,58.5724,21.6506,0.0,0.0
0.833333,25,12.7389,3.99106,-3.44875,1.69251,-32.3561,48.1721,-90.7375,-56.6604,1.06648,-66.022,36.7214,-29.6944,58.5724,21.6506,0.0,0.0
0.866667,26,14.8469,2.96762,-3.45405,1.76373,-35.6814,48.1721,-90.7375,-60.4671,2.66313,-69.223,38.2643,-29.6944,58.5724,21.6506,0.0,0.0
0.9,27,16.6744,2.10681,-3.48827,1.87268,-39.0768,48.1721,-90.7375,-64.0934,4.13256,-72.3207,39.7481,-29.6944,58.5724,21.6506,0.0,0.0
0.933333,28,18.2774,1.37872,-3.48827,1.95605,-42.5247,48.1721,-90.7375,-67.5542,5.51344,-75.3109,41.1735,-29.6944,58.5724,21.6506,0.0,0.0
0.966667,29,19.6905,0.761359,-3.45405,2.02353,-46.0076,48.1721,-90.7375,-70.8598,6.80521,-78.1926,42.5427,-29.6944,58.5724,21.6506,0.0,0.0
1.0,30,20.9376,0.241444,-3.45405,2.12447,-49.5081,48.1721,-90.7375,-74.0166,8.01498,-80.9628,43.8566,-29.6944,58.5724,21.6506,0.0,0.0
1.03333,31,22.0351,-0.192656,-3.48827,2.25101,-53.0085,48.1721,-90.7375,-77.0302,9.14847,-83.6187,45.1159,-29.6944,58.5724,21.6506,0.0,0.0
1.06667,32,22.9965,-0.546145,-3.45405,2.33163,-56.4915,48.1721,-90.7375,-79.9035,10.223,-86.1593,46.3217,-29.6944,58.5724,21.6506,0.0,0.0
1.1,33,23.833,-0.830095,-3.45405,2.43594,-59.9394,48.1721,-90.7375,-82.6377,11.2179,-88.5818,47.4747,-29.6944,58.5724,21.6506,0.0,0.0
1.13333,34,24.5532,-1.04927,-3.45405,2.54988,-63.3347,48.1721,-90.7375,-85.235,12.1358,-90.8835,48.5742,-29.6944,58.5724,21.6506,0.0,0.0
1.16667,35,25.1665,-1.21176,-3.44875,2.66089,-66.66,48.1721,-90.7375,-87.6955,13.0057,-93.0639,49.6213,-29.6944,58.5724,21.6506,0.0,0.0
1.2,36,25.681,-1.32059,-3.45406,2.76774,-69.8977,48.1721,-90.7375,-90.0181,13.8165,-95.12,50.6149,-29.6944,58.5724,21.6506,0.0,0.0
1.23333,37,26.1043,-1.38301,-3.45405,2.88172,-73.0303,48.1721,-90.7375,-92.2028,14.5709,-97.05,51.5543,-29.6944,58.5724,21.6506,0.0,0.0
1.26667,38,26.4453,-1.40487,-3.45405,2.98525,-76.0403,48.1721,-90.7375,-94.248,15.2704,-98.8529,52.4391,-29.6944,58.5724,21.6506,0.0,0.0
1.3,39,26.7113,-1.39061,-3.44875,3.09406,-78.9101,48.1721,-90.7375,-96.1516,15.9308,-100.526,53.2674,-29.6944,58.5724,21.6506,0.0,0.0
