Header
rate=30
frames=190
duration=6.33333
type=degree
Body
Time,Frame,RE,RS,LE,LS,NV,NH,HD,RK,RH,LK,LH,TV,TH,TO,SD,TR
0.0,0,-3.51844,-0.230961,-3.45405,-0.425101,-2.79643,6.83019e-006,-90.7375,-6.27633,-2.86327,-5.75139,-3.13513,-29.6944,-0.0660214,0.0,0.0,0.0
0.0333333,1,-3.51844,-0.230961,-3.45405,-0.425101,-2.79643,6.83019e-006,-90.7375,-6.27633,-2.86327,-5.75139,-3.13513,-29.6944,-0.0555342,0.0,0.0,0.0
0.0666667,2,-3.51844,-0.230961,-3.45405,-0.425101,-2.79643,6.83019e-006,-90.7375,-6.27633,-2.86327,-5.75139,-3.13513,-29.6944,-0.045504,0.0,0.0,0.0
0.1,3,-3.51844,-0.230961,-3.45405,-0.425101,-2.79643,6.83019e-006,-90.7375,-6.27633,-2.86327,-5.75139,-3.13513,-29.6944,-0.0360832,0.0,0.0,0.0
0.133333,4,-3.51844,-0.230961,-3.45405,-0.425101,-2.79643,6.83019e-006,-90.7375,-6.27633,-2.86327,-5.75139,-3.13513,-29.6944,-0.0274243,0.0,0.0,0.0
0.166667,5,-3.51844,-0.230961,-3.45405,-0.425101,-2.79643,6.83019e-006,-90.7375,-6.27633,-2.86327,-5.75139,-3.13513,-29.6944,-0.0196795,0.0,0.0,0.0
0.2,6,-3.51844,-0.230961,-3.45405,-0.425101,-2.79643,6.83019e-006,-90.7375,-6.27633,-2.86327,-5.75139,-3.13513,-29.6944,-0.0130011,0.0,0.0,0.0
0.233333,7,-3.51844,-0.230961,-3.45405,-0.425101,-2.79643,6.83019e-006,-90.7375,-6.27633,-2.86327,-5.75139,-3.13513,-29.6944,-0.00754168,0.0,0.0,0.0
0.266667,8,-3.51844,-0.230961,-3.45405,-0.425101,-2.79643,6.83019e-006,-90.7375,-6.27633,-2.86327,-5.75139,-3.13513,-29.6944,-0.00345342,0.0,0.0,0.0
0.3,9,-3.51844,-0.230961,-3.45405,-0.425101,-2.79643,6.83019e-006,-90.7375,-6.27633,-2.86327,-5.75139,-3.13513,-29.6944,-0.000888751,0.0,0.0,0.0
0.333333,10,-3.51844,-0.230961,-3.45405,-0.425101,-2.79643,6.83019e-006,-90.7375,-6.27633,-2.86327,-5.75139,-3.13513,-29.6944,0.0,0.0,0.0,0.0
0.366667,11,-3.49848,-0.247323,-3.4883,-0.4172,-2.96868,6.83019e-006,-90.7375,-8.92579,-1.43334,-9.85631,-0.749177,-29.6944,0.0,0.0,0.0,0.0
0.4,12,-3.51833,-0.29466,-3.44875,-0.492718,-3.47375,6.83019e-006,-90.7375,-14.5811,1.60456,-14.6221,1.98808,-29.6944,0.0,0.0,0.0,0.0
0.433333,13,-3.51833,-0.371303,-3.45405,-0.574082,-4.29412,6.83019e-006,-90.7375,-19.2975,4.09182,-19.1337,4.5369,-29.6944,0.0,0.0,0.0,0.0
0.466667,14,-3.51827,-0.474548,-3.45405,-0.684148,-5.41228,6.83019e-006,-90.7375,-23.7872,6.41695,-23.5249,6.97511,-29.6944,0.0,0.0,0.0,0.0
0.5,15,-3.51849,-0.603372,-3.44875,-0.82043,-6.81071,6.83019e-006,-90.7375,-28.1391,8.62912,-27.8179,9.31571,-29.6944,0.0,0.0,0.0,0.0
0.533333,16,-3.51844,-0.753971,-3.45405,-0.980307,-8.4719,6.83019e-006,-90.7375,-32.3808,10.7439,-32.019,11.5693,-29.6944,0.0,0.0,0.0,0.0
0.566667,17,-3.51833,-0.924308,-3.45405,-1.16114,-10.3783,6.83019e-006,-90.7375,-36.5226,12.7682,-36.1307,13.7277,-29.6944,0.0,0.0,0.0,0.0
0.6,18,-3.51849,-1.11121,-3.44875,-1.3602,-12.5125,6.83019e-006,-90.7375,-40.5675,14.7055,-40.1528,15.7977,-29.6944,0.0,0.0,0.0,0.0
0.633333,19,-3.51833,-1.31391,-3.45405,-1.57479,-14.8568,6.83019e-006,-90.7375,-44.5184,16.5594,-44.0848,17.7811,-29.6944,0.0,0.0,0.0,0.0
0.666667,20,-3.51833,-1.52806,-3.45405,-1.8022,-17.3938,6.83019e-006,-90.7375,-48.3744,18.3325,-47.9248,19.6798,-29.6944,0.0,0.0,0.0,0.0
0.7,21,-3.47886,-1.77564,-3.45405,-2.03978,-20.106,6.83019e-006,-90.7375,-52.1361,20.0274,-51.6725,21.4966,-29.6944,0.0,0.0,0.0,0.0
0.733333,22,-3.51833,-1.98214,-3.44875,-2.28501,-22.9759,6.83019e-006,-90.7375,-55.8018,21.646,-55.3263,23.2334,-29.6944,0.0,0.0,0.0,0.0
