Header
rate=30
frames=500
duration=16.6667
type=degree
Body
Time,Frame,RE,RS,LE,LS,NV,NH,HD,RK,RH,LK,LH,TV,TH,TO,SD,TR
0.0,0,-3.47886,4.19289,-3.45405,4.88605,-40.4812,56.6387,65.8398,-6.27655,1.24623,-5.75184,1.06473,-40.8771,-48.94,-0.149772,0.0,0.0
0.0333333,1,-3.47886,4.19289,-3.45405,4.88605,-40.481,56.6387,65.8268,-6.27655,1.24623,-5.75184,1.06473,-40.8771,-46.0659,-0.149772,0.0,0.0
0.0666667,2,-3.47886,4.19289,-3.45405,4.88605,-40.4807,56.6387,65.7881,-6.27655,1.24623,-5.75184,1.06473,-40.8771,-45.2185,-0.149772,0.0,0.0
0.1,3,-3.47886,4.19289,-3.45405,4.88605,-40.48,56.6387,65.7247,-6.27655,1.24623,-5.75184,1.06473,-40.8771,-43.8547,-0.149772,0.0,0.0
0.133333,4,-3.47886,4.19289,-3.45405,4.88605,-40.4791,56.6387,65.6376,-6.27655,1.24623,-5.75184,1.06473,-40.8771,-42.0143,-0.149772,0.0,0.0
0.166667,5,-3.47886,4.19289,-3.45405,4.88605,-40.478,56.6387,65.5274,-6.27655,1.24623,-5.75184,1.06473,-40.8771,-39.7369,-0.149772,0.0,0.0
0.2,6,-3.47886,4.19289,-3.45405,4.88605,-40.4766,56.6387,65.3953,-6.27655,1.24623,-5.75184,1.06473,-40.8771,-37.0623,-0.149772,0.0,0.0
0.233333,7,-3.47886,4.19289,-3.45405,4.88605,-40.4751,56.6387,65.2419,-6.27655,1.24623,-5.75184,1.06473,-40.8771,-34.0302,-0.149772,0.0,0.0
0.266667,8,-3.47886,4.19289,-3.45405,4.88605,-40.4733,56.6387,65.0683,-6.27655,1.24623,-5.75184,1.06473,-40.8771,-30.6803,-0.149772,0.0,0.0
0.3,9,-3.47886,4.19289,-3.45405,4.88605,-40.4712,56.6387,64.8753,-6.27655,1.24623,-5.75184,1.06473,-40.8771,-27.0524,-0.149772,0.0,0.0
0.333333,10,-3.47886,4.19289,-3.45405,4.88605,-40.469,56.6387,64.6637,-6.27655,1.24623,-5.75184,1.06473,-40.8771,-23.1861,-0.149772,0.0,0.0
0.366667,11,-3.47886,4.19289,-3.45405,4.88605,-40.4666,56.6387,64.4345,-6.27655,1.24623,-5.75184,1.06473,-40.8771,-19.1212,-0.149772,0.0,0.0
0.4,12,-3.47886,4.19289,-3.45405,4.88605,-40.464,56.6387,64.1886,-6.27655,1.24623,-5.75184,1.06473,-40.8771,-14.8975,-0.149772,0.0,0.0
0.433333,13,-3.47886,4.19289,-3.45405,4.88605,-40.4612,56.6387,63.9267,-6.27655,1.24623,-5.75184,1.06473,-40.8771,-10.5545,-0.149772,0.0,0.0
0.466667,14,-3.47886,4.19289,-3.45405,4.88605,-40.4582,56.6387,63.6499,-6.27655,1.24623,-5.75184,1.06473,-40.8771,-6.13218,-0.149772,0.0,0.0
0.5,15,-3.47886,4.19289,-3.45405,4.88605,-40.455,56.6387,63.359,-6.27655,1.24623,-5.75184,1.06473,-40.8771,-1.67009,-0.149772,0.0,0.0
0.533333,16,-3.47886,4.19289,-3.45405,4.88605,-40.4517,56.6387,63.0548,-6.27655,1.24623,-5.75184,1.06473,-40.8771,2.792,-0.149772,0.0,0.0
0.566667,17,-3.47886,4.19289,-3.45405,4.88605,-40.4482,56.6387,62.7383,-6.27655,1.24623,-5.75184,1.06473,-40.8771,7.21437,-0.149772,0.0,0.0
0.6,18,-3.47886,4.19289,-3.45405,4.88605,-40.4445,56.6387,62.4103,-6.27655,1.24623,-5.75184,1.06473,-40.8771,11.5573,-0.149772,0.0,0.0
0.633333,19,-3.47886,4.19289,-3.45405,4.88605,-40.4407,56.6387,62.0717,-6.27655,1.24623,-5.75184,1.06473,-40.8771,15.7811,-0.149772,0.0,0.0
