Header
rate=30
frames=170
duration=5.66667
type=degree
Body
Time,Frame,RE,RS,LE,LS,NV,NH,HD,RK,RH,LK,LH,TV,TH,TO,SD,TR
0.0,0,-3.51833,-24.1992,11.361,-29.1731,-54.9942,-36.32,109.449,-28.9725,1.81796,-5.77157,-19.9826,-50.0951,0.0,-8.75734,0.0,0.0
0.0333333,1,-3.49848,-24.2006,11.3618,-29.1711,-54.9942,-36.3201,109.449,-28.9736,1.81138,-5.80012,-19.9594,-50.0951,0.0623484,-8.75794,0.0,0.0
0.0666667,2,-3.51833,-24.2029,11.3641,-29.177,-54.9942,-36.3204,109.449,-28.976,1.81966,-5.78593,-19.961,-50.0951,0.20343,-8.75972,0.0,0.0
0.1,3,-3.51833,-24.2074,11.3677,-29.1788,-54.9942,-36.3209,109.449,-28.9805,1.81477,-5.78593,-19.9609,-50.0951,0.421164,-8.76268,0.0,0.0
0.133333,4,-3.47886,-24.2363,11.3726,-29.1853,-54.9942,-36.3215,109.449,-28.9866,1.81801,-5.80012,-19.9645,-50.0951,0.713473,-8.76679,0.0,0.0
0.166667,5,-3.51833,-24.2217,11.379,-29.1936,-54.9942,-36.3223,109.449,-28.9941,1.82159,-5.75198,-19.9928,-50.0951,1.07828,-8.77204,0.0,0.0
0.2,6,-3.49848,-24.2314,11.3872,-29.2068,-54.9942,-36.3233,109.449,-29.0036,1.82639,-5.80012,-19.9776,-50.0951,1.51349,-8.77841,0.0,0.0
0.233333,7,-3.51833,-24.2426,11.3961,-29.2156,-54.9942,-36.3245,109.449,-29.0143,1.83176,-5.78592,-19.9814,-50.0951,2.01705,-8.78588,0.0,0.0
0.266667,8,-3.51833,-24.2556,11.4068,-29.2292,-54.9942,-36.3259,109.449,-29.0267,1.8451,-5.75165,-20.0154,-50.0951,2.58686,-8.79444,0.0,0.0
0.3,9,-3.49848,-24.2702,11.4189,-29.2474,-54.9942,-36.3275,109.449,-29.0413,1.84544,-5.78592,-19.9972,-50.0951,3.22084,-8.80407,0.0,0.0
0.333333,10,-3.47886,-24.3087,11.4322,-29.2643,-54.9942,-36.3293,109.449,-29.0566,1.8602,-5.78592,-20.0093,-50.0951,3.91693,-8.81476,0.0,0.0
0.366667,11,-3.45908,-24.3356,11.4466,-29.2797,-54.9942,-36.3312,109.449,-29.0741,1.86922,-5.78592,-20.0194,-50.0951,4.67303,-8.82648,0.0,0.0
