Header
rate=30
frames=170
duration=5.66667
type=degree
Body
Time,Frame,RE,RS,LE,LS,NV,NH,HD,RK,RH,LK,LH,TV,TH,TO,SD,TR
0.0,0,12.551,-21.4635,-3.45406,-18.9223,-54.9942,45.4476,70.7519,-6.32088,-28.7886,-29.2961,-6.41725,-50.0951,0.0,9.26142,0.0,0.0
0.0333333,1,12.5502,-21.4646,-3.45406,-18.9217,-54.9865,45.4476,70.7519,-6.29642,-28.8112,-29.2954,-6.41844,-50.0951,0.0500942,9.26068,0.0,0.0
0.0666667,2,12.5478,-21.4681,-3.42898,-18.9351,-54.9631,45.4476,70.7519,-6.32883,-28.7888,-29.292,-6.42294,-50.0951,0.150817,9.25849,0.0,0.0
0.1,3,12.5439,-21.4739,-3.45405,-18.9329,-54.9236,45.4476,70.7519,-6.27663,-28.8111,-29.2866,-6.43017,-50.0951,0.3006,9.25486,0.0,0.0
0.133333,4,12.5384,-21.4819,-3.45405,-18.9392,-54.8678,45.4476,70.7519,-6.27633,-28.8113,-29.2792,-6.44001,-50.0951,0.497875,9.24983,0.0,0.0
0.166667,5,12.5313,-21.4921,-3.4883,-18.9276,-54.7954,45.4476,70.7519,-6.27625,-28.8113,-29.27,-6.45269,-50.0951,0.741071,9.24342,0.0,0.0
0.2,6,12.5228,-21.5044,-3.45406,-18.9639,-54.7059,45.4476,70.7519,-6.31075,-28.7884,-29.2585,-6.46796,-50.0951,1.02862,9.23564,0.0,0.0
0.233333,7,12.5128,-21.5188,-3.45405,-18.9768,-54.5992,45.4476,70.7519,-6.27655,-28.8114,-29.2454,-6.48609,-50.0951,1.35895,9.22654,0.0,0.0
0.266667,8,12.5013,-21.5353,-3.45406,-18.9936,-54.4748,45.4476,70.7519,-6.30422,-28.8111,-29.2301,-6.50665,-50.0951,1.7305,9.21612,0.0,0.0
0.3,9,12.4882,-21.5538,-3.44876,-19.0125,-54.3324,45.4476,70.7519,-6.32088,-28.7883,-29.213,-6.52976,-50.0951,2.1417,9.20443,0.0,0.0
0.333333,10,12.4737,-21.5741,-3.45405,-19.0334,-54.1717,45.4476,70.7519,-6.31076,-28.7884,-29.194,-6.55548,-50.0951,2.59097,9.19147,0.0,0.0
0.366667,11,12.4578,-21.5965,-3.45405,-19.058,-53.9924,45.4476,70.7519,-6.29642,-28.8108,-29.1731,-6.58363,-50.0951,3.07675,9.17728,0.0,0.0
0.4,12,12.4403,-21.6205,-3.48827,-19.0572,-53.7942,45.4476,70.7519,-6.27625,-28.8112,-29.1504,-6.61419,-50.0951,3.59747,9.16188,0.0,0.0
0.433333,13,12.4214,-21.6464,-3.44875,-19.1095,-53.5767,45.4476,70.7519,-6.29642,-28.8106,-29.1261,-6.64692,-50.0951,4.15156,9.14529,0.0,0.0
0.466667,14,12.4011,-21.6741,-3.45406,-19.1381,-53.3397,45.4476,70.7519,-6.27663,-28.8106,-29.0996,-6.68251,-50.0951,4.73745,9.12754,0.0,0.0
0.5,15,12.3793,-21.7034,-3.45405,-19.1668,-53.0827,45.4476,70.7519,-6.2767,-28.8106,-29.0715,-6.72016,-50.0951,5.35358,9.10866,0.0,0.0
0.533333,16,12.3559,-21.7344,-3.4883,-19.1752,-52.8055,45.4476,70.7519,-6.27633,-28.8108,-29.0416,-6.76014,-50.0951,5.99837,9.08867,0.0,0.0
0.566667,17,12.3314,-21.767,-3.45405,-19.2346,-52.5077,45.4476,70.7519,-6.27655,-28.8107,-29.0102,-6.80217,-50.0951,6.67025,9.06759,0.0,0.0
0.6,18,12.305,-21.801,-3.44875,-19.2686,-52.189,45.4476,70.7519,-6.27655,-28.8108,-28.9767,-6.84674,-50.0951,7.36766,9.04545,0.0,0.0
0.633333,19,12.2774,-21.8377,-3.45406,-19.3059,-51.8491,45.4476,70.7519,-6.29642,-28.8106,-28.9417,-6.89723,-50.0951,8.08903,9.02227,0.0,0.0
0.666667,20,12.2483,-21.8734,-3.44875,-19.3448,-51.4877,45.4476,70.7519,-6.27633,-28.8108,-28.9051,-6.94202,-50.0951,8.83278,8.99808,0.0,0.0
0.7,21,12.2177,-21.9117,-3.45406,-19.3853,-48.4852,45.4476,70.7519,-6.2767,-28.811,-28.8668,-6.99672,-50.0951,9.59735,8.9729,s3_sniff01,0.0
0.733333,22,12.1854,-21.9511,-3.45406,-19.4289,-41.0704,45.4476,70.7519,-6.31627,-28.7882,-28.8268,-7.04572,-50.0951,10.3812,8.94676,sq1_sniff03,0.0
0.766667,23,12.1518,-21.9931,-3.45405,-19.4708,-30.5159,45.4476,70.7519,-6.29642,-28.811,-28.7851,-7.10449,-50.0951,11.1827,8.91968,0.0,0.0
0.8,24,12.1165,-22.0349,-3.45405,-19.5158,-18.094,45.4476,70.7519,-6.27625,-28.8113,-28.7422,-7.16132,-50.0951,12.0003,8.89169,0.0,0.0
0.833333,25,12.0798,-22.0766,-3.48827,-19.5383,-5.07732,45.4476,70.7519,-6.2767,-28.8114,-28.6975,-7.21627,-50.0951,12.8324,8.86281,0.0,0.0
0.866667,26,12.0416,-22.1206,-3.45405,-19.6099,7.26179,45.4476,70.7519,-6.29642,-28.8116,-28.6512,-7.27708,-50.0951,13.6776,8.83306,0.0,0.0
0.9,27,12.0019,-22.1657,-3.4883,-19.6351,17.6509,45.4476,70.7519,-6.27663,-28.8119,-28.6034,-7.33962,-50.0951,14.5341,8.80248,0.0,0.0
0.933333,28,11.9606,-22.213,-3.48827,-19.6854,24.8174,45.4476,70.7519,-6.29643,-28.8122,-28.554,-7.40794,-50.0951,15.4005,8.77108,0.0,0.0
0.966667,29,11.9178,-22.2584,-3.45405,-19.7624,27.4891,45.4476,70.7519,-6.27633,-28.8127,-28.5029,-7.47049,-50.0951,16.2751,8.73889,0.0,0.0
1.0,30,11.8732,-22.3073,-3.44876,-19.8152,24.7807,45.4476,70.7519,-6.31075,-28.7903,-28.4509,-7.53838,-50.0951,17.1565,8.70594,0.0,0.0
1.03333,31,11.8272,-22.3544,-3.45406,-19.8677,17.5222,45.4476,70.7519,-6.31075,-28.7908,-28.3972,-7.61171,-50.0951,18.0429,8.67224,s3_sniff01,0.0
1.06667,32,11.7797,-22.4034,-3.45405,-19.9227,7.0136,45.4476,70.7519,-6.31075,-28.7913,-28.3417,-7.67968,-50.0951,18.933,8.63783,0.0,0.0
1.1,33,11.7305,-22.4544,-3.44875,-19.9789,-5.44502,45.4476,70.7519,-6.32502,-28.7827,-28.2849,-7.75287,-50.0951,19.825,8.60273,0.0,0.0
1.13333,34,11.6799,-22.5048,-3.45406,-20.0361,-18.5536,45.4476,70.7519,-6.29642,-28.8152,-28.2267,-7.82762,-50.0951,20.7174,8.56696,0.0,0.0
1.16667,35,11.6273,-22.5541,-3.45405,-20.0943,-31.0123,45.4476,70.7519,-6.32883,-28.7936,-28.1672,-7.90762,-50.0951,21.6087,8.53055,0.0,0.0
1.2,36,11.5732,-22.6053,-3.45406,-20.1535,-41.5208,45.4476,70.7519,-6.27633,-28.8168,-28.106,-7.98188,-50.0951,22.4973,8.49352,0.0,0.0
1.23333,37,11.5175,-22.6568,-3.44876,-20.2135,-48.7793,45.4476,70.7519,-6.27655,-28.818,-28.0438,-8.06497,-50.0951,23.3816,8.4559,0.0,0.0
1.26667,38,11.4604,-22.7102,-3.45406,-20.2745,-51.4877,45.4476,70.7519,-6.27655,-28.8189,-27.9799,-8.14224,-50.0951,24.26,8.41771,0.0,0.0
1.3,39,11.4013,-22.7624,-3.45405,-20.3363,-48.7793,45.4476,70.7519,-6.27655,-28.8198,-27.9152,-8.22453,-50.0951,25.1311,8.37898,0.0,0.0
1.33333,40,11.3407,-22.8134,-3.44875,-20.4002,-41.5208,45.4476,70.7519,-6.27625,-28.8204,-27.8488,-8.31187,-50.0951,25.9931,8.33973,0.0,0.0
1.36667,41,11.2785,-22.866,-3.45405,-20.4622,-31.0123,45.4476,70.7519,-6.32088,-28.7987,-27.7815,-8.39313,-50.0951,26.8446,8.29999,0.0,0.0
1.4,42,11.2148,-22.9202,-3.4883,-20.5024,-18.5536,45.4476,70.7519,-6.29643,-28.8229,-27.7124,-8.47977,-50.0951,27.6839,8.25977,0.0,0.0
1.43333,43,11.1491,-22.9715,-3.45406,-20.5909,-5.44501,45.4476,70.7519,-6.31076,-28.801,-27.642,-8.57101,-50.0951,28.5095,8.21912,0.0,0.0
1.46667,44,11.0819,-23.0241,-3.45406,-20.6575,7.0136,45.4476,70.7519,-6.27655,-28.8252,-27.5707,-8.65643,-50.0951,29.3199,8.17804,0.0,0.0
1.5,45,11.013,-23.0769,-3.45405,-20.7222,17.5222,45.4476,70.7519,-6.30431,-28.8265,-27.4983,-8.74652,-50.0951,30.1135,8.13657,0.0,0.0
