Header
rate=30
frames=500
duration=16.6667
type=degree
Body
Time,Frame,RE,RS,LE,LS,NV,NH,HD,RK,RH,LK,LH,TV,TH,TO,SD,TR
0.0,0,-3.51827,-0.230962,-3.48833,-0.399974,22.2036,6.83019e-006,-77.7107,-6.30453,-2.86308,-5.79116,-3.13495,0.950899,0.0,0.0,0.0,0.0
0.0333333,1,-3.51827,-0.230962,-3.48833,-0.399974,22.2012,6.83019e-006,-77.3132,-6.30453,-2.86308,-5.79116,-3.13495,0.950899,0.0,0.0,kisses,0.0
0.0666667,2,-3.51827,-0.230962,-3.48833,-0.399974,22.1942,6.83019e-006,-76.1537,-6.30453,-2.86308,-5.79116,-3.13495,0.950899,0.0,0.0,0.0,0.0
0.1,3,-3.51827,-0.230962,-3.48833,-0.399974,22.1828,6.83019e-006,-74.2815,-6.30453,-2.86308,-5.79116,-3.13495,0.950899,0.0,0.0,0.0,0.0
0.133333,4,-3.51827,-0.230962,-3.48833,-0.399974,22.1669,6.83019e-006,-71.7459,-6.30453,-2.86308,-5.79116,-3.13495,0.950899,0.0,0.0,0.0,0.0
0.166667,5,-3.51827,-0.230962,-3.48833,-0.399974,22.1467,6.83019e-006,-68.5964,-6.30453,-2.86308,-5.79116,-3.13495,0.950899,0.0,0.0,0.0,0.0
0.2,6,-3.51827,-0.230962,-3.48833,-0.399974,22.1223,6.83019e-006,-64.8824,-6.30453,-2.86308,-5.79116,-3.13495,0.950899,0.0,0.0,0.0,0.0
0.233333,7,-3.51827,-0.230962,-3.48833,-0.399974,22.0938,6.83019e-006,-60.6531,-6.30453,-2.86308,-5.79116,-3.13495,0.950899,0.0,0.0,0.0,0.0
0.266667,8,-3.51827,-0.230962,-3.48833,-0.399974,22.0614,6.83019e-006,-55.958,-6.30453,-2.86308,-5.79116,-3.13495,0.950899,0.0,0.0,0.0,0.0
0.3,9,-3.51827,-0.230962,-3.48833,-0.399974,22.0251,6.83019e-006,-50.8465,-6.30453,-2.86308,-5.79116,-3.13495,0.950899,0.0,0.0,0.0,0.0
0.333333,10,-3.51827,-0.230962,-3.48833,-0.399974,21.9851,6.83019e-006,-45.3679,-6.30453,-2.86308,-5.79116,-3.13495,0.950899,0.0,0.0,0.0,0.0
0.366667,11,-3.51827,-0.230962,-3.48833,-0.399974,21.9414,6.83019e-006,-39.5715,-6.30453,-2.86308,-5.79116,-3.13495,0.950899,0.0,0.0,0.0,0.0
0.4,12,-3.51827,-0.230962,-3.48833,-0.399974,21.8942,6.83019e-006,-33.5068,-6.30453,-2.86308,-5.79116,-3.13495,0.950899,0.0,0.0,0.0,0.0
0.433333,13,-3.51827,-0.230962,-3.48833,-0.399974,21.8436,6.83019e-006,-27.2232,-6.30453,-2.86308,-5.79116,-3.13495,0.950899,0.0,0.0,0.0,0.0
0.466667,14,-3.51827,-0.230962,-3.48833,-0.399974,21.7896,6.83019e-006,-20.7699,-6.30453,-2.86308,-5.79116,-3.13495,0.950899,0.0,0.0,0.0,0.0
0.5,15,-3.51827,-0.230962,-3.48833,-0.399974,21.7325,6.83019e-006,-14.1964,-6.30453,-2.86308,-5.79116,-3.13495,0.950899,0.0,0.0,0.0,0.0
0.533333,16,-3.51827,-0.230962,-3.48833,-0.399974,21.6722,6.83019e-006,-7.55209,-6.30453,-2.86308,-5.79116,-3.13495,0.950899,0.0,0.0,0.0,0.0
0.566667,17,-3.51827,-0.230962,-3.48833,-0.399974,21.609,6.83019e-006,-0.886258,-6.30453,-2.86308,-5.79116,-3.13495,0.950899,0.0,0.0,0.0,0.0
0.6,18,-3.51827,-0.230962,-3.48833,-0.399974,21.5429,6.83019e-006,5.75169,-6.30453,-2.86308,-5.79116,-3.13495,0.950899,0.0,0.0,0.0,0.0
0.633333,19,-3.51827,-0.230962,-3.48833,-0.399974,21.474,6.83019e-006,12.3124,-6.30453,-2.86308,-5.79116,-3.13495,0.950899,0.0,0.0,0.0,0.0
0.666667,20,-3.51827,-0.230962,-3.48833,-0.399974,21.4025,6.83019e-006,18.7464,-6.30453,-2.86308,-5.79116,-3.13495,0.950899,0.0,0.0,0.0,0.0
0.7,21,-3.51827,-0.230962,-3.48833,-0.399974,21.3284,6.83019e-006,25.0045,-6.30453,-2.86308,-5.79116,-3.13495,0.950899,0.0,0.0,0.0,0.0
0.733333,22,-3.51827,-0.230962,-3.48833,-0.399974,21.2519,6.83019e-006,31.0372,-6.30453,-2.86308,-5.79116,-3.13495,0.950899,0.0,0.0,0.0,0.0
0.766667,23,-3.51827,-0.230962,-3.48833,-0.399974,21.173,6.83019e-006,36.7951,-6.30453,-2.86308,-5.79116,-3.13495,0.950899,0.0,0.0,0.0,0.0
0.8,24,-3.51827,-0.230962,-3.48833,-0.399974,21.0919,6.83019e-006,42.2289,-6.30453,-2.86308,-5.79116,-3.13495,0.950899,0.0,0.0,0.0,0.0
0.833333,25,-3.51827,-0.230962,-3.48833,-0.399974,21.0088,6.83019e-006,47.2893,-6.30453,-2.86308,-5.79116,-3.13495,0.950899,0.0,0.0,0.0,0.0
0.866667,26,-3.51827,-0.230962,-3.48833,-0.399974,20.9236,6.83019e-006,52.0786,-6.30453,-2.86308,-5.79116,-3.13495,0.950899,0.0,0.0,0.0,0.0
0.9,27,-3.51827,-0.230962,-3.48833,-0.399974,20.8365,6.83019e-006,56.7464,-6.30453,-2.86308,-5.79116,-3.13495,0.950899,0.0,0.0,0.0,0.0
0.933333,28,-3.51827,-0.230962,-3.48833,-0.399974,20.7476,6.83019e-006,61.3143,-6.30453,-2.86308,-5.79116,-3.13495,0.950899,0.0,0.0,0.0,0.0
0.966667,29,-3.51827,-0.230962,-3.48833,-0.399974,20.6571,6.83019e-006,65.8036,-6.30453,-2.86308,-5.79116,-3.13495,0.950899,0.0,0.0,0.0,0.0
1.0,30,-3.51827,-0.230962,-3.48833,-0.399974,20.565,6.83019e-006,70.2357,-6.30453,-2.86308,-5.79116,-3.13495,0.950899,0.0,0.0,0.0,0.0
1.03333,31,-3.51827,-0.230962,-3.48833,-0.399974,20.4714,6.83019e-006,74.6321,-6.30453,-2.86308,-5.79116,-3.13495,0.950899,0.0,0.0,0.0,0.0
1.06667,32,-3.51827,-0.230962,-3.48833,-0.399974,20.3765,6.83019e-006,79.0143,-6.30453,-2.86308,-5.79116,-3.13495,0.950899,0.0,0.0,0.0,0.0
1.1,33,-3.51827,-0.230962,-3.48833,-0.399974,20.2803,6.83019e-006,83.4036,-6.30453,-2.86308,-5.79116,-3.13495,0.950899,0.0,0.0,0.0,0.0
1.13333,34,-3.51827,-0.230962,-3.48833,-0.399974,20.1831,6.83019e-006,87.8214,-6.30453,-2.86308,-5.79116,-3.13495,0.950899,0.0,0.0,0.0,0.0
