Header
rate=30
frames=300
duration=10.0
type=degree
Body
Time,Frame,RE,RS,LE,LS,NV,NH,HD,RK,RH,LK,LH,TV,TH,TO,SD,TR
0.0,0,17.0477,-5.9348,16.082,-5.8555,6.83019e-006,6.83019e-006,42.9886,-35.0062,17.4096,-34.5972,18.6183,1.36604e-005,0.0,0.0,0.0,0.0
0.0333333,1,17.0473,-5.97952,16.083,-5.90367,-0.0479286,-0.0101464,42.9886,-35.2091,17.4777,-34.7993,18.6916,-0.127239,0.0,0.0,0.0,0.0
0.0666667,2,17.0469,-6.11005,16.087,-6.04418,-0.188485,-0.0403854,42.9886,-35.7928,17.6726,-35.3801,18.9009,-0.497429,0.0,0.0,0.0,0.0
0.1,3,17.0475,-6.32055,16.0943,-6.27079,-0.416788,-0.0903791,42.9886,-36.7108,17.9743,-36.2933,19.2246,-1.0932,0.0,0.0,0.0,0.0
0.133333,4,17.0499,-6.60511,16.1061,-6.57737,-0.727962,-0.159796,42.9886,-37.9093,18.3585,-37.4863,19.6379,-1.89721,0.0,0.0,0.0,0.0
0.166667,5,17.0529,-6.95665,16.1205,-6.95593,-1.11713,-0.248306,42.9886,-39.3354,18.8022,-38.9063,20.1082,-2.89209,0.0,0.0,0.0,0.0
0.2,6,17.0567,-7.36883,16.1379,-7.39984,-1.57943,-0.355578,42.9886,-40.9386,19.2826,-40.5039,20.626,-4.0605,0.0,0.0,0.0,0.0
0.233333,7,17.0596,-7.83406,16.1562,-7.9012,-2.10997,-0.48128,42.9886,-42.6748,19.781,-42.2333,21.1632,-5.38509,0.0,0.0,0.0,0.0
0.266667,8,17.0616,-8.34615,16.1751,-8.4528,-2.70388,-0.625081,42.9886,-44.5054,20.2818,-44.0582,21.7122,-6.84849,0.0,0.0,0.0,0.0
0.3,9,17.0624,-8.8981,16.1937,-9.04738,-3.35629,-0.786651,42.9886,-46.3989,20.7727,-45.9459,22.2439,-8.43337,0.0,0.0,0.0,0.0
0.333333,10,17.0615,-9.48354,16.2122,-9.67513,-4.06232,-0.965658,42.9886,-48.3284,21.2446,-47.8699,22.7559,-10.1224,0.0,0.0,0.0,0.0
0.366667,11,17.0611,-10.0969,16.232,-10.336,-4.8171,-1.16177,42.9886,-50.2716,21.6907,-49.8079,23.241,-11.8981,0.0,0.0,0.0,0.0
0.4,12,17.0618,-10.7323,16.2537,-11.0209,-5.61576,-1.37466,42.9886,-52.2107,22.1067,-51.7424,23.6945,-13.7433,0.0,0.0,0.0,0.0
0.433333,13,17.0663,-11.385,16.2799,-11.7244,-6.45341,-1.60399,42.9886,-54.1303,22.4897,-53.6571,24.1038,-15.6405,0.0,0.0,0.0,0.0
0.466667,14,17.0782,-12.0507,16.3141,-12.4421,-7.32518,-1.84944,42.9886,-56.0171,22.8384,-55.5404,24.4958,-17.5724,0.0,0.0,0.0,0.0
0.5,15,17.1015,-12.7255,16.3605,-13.1697,-8.22621,-2.11067,42.9886,-57.8609,23.1525,-57.3803,24.8415,-19.5217,0.0,0.0,0.0,0.0
0.533333,16,17.1413,-13.4059,16.4238,-13.9039,-9.15161,-2.38735,42.9886,-59.6517,23.4327,-59.1674,25.151,-21.471,0.0,0.0,0.0,0.0
0.566667,17,17.2042,-14.0897,16.5105,-14.6416,-10.0965,-2.67915,42.9886,-61.3822,23.6807,-60.8942,25.4263,-23.4029,0.0,0.0,0.0,0.0
0.6,18,17.296,-14.7742,16.6266,-15.3805,-11.056,-2.98573,42.9886,-63.0443,23.8986,-62.5533,25.6694,-25.3001,0.0,0.0,0.0,0.0
0.633333,19,17.4245,-15.4613,16.7799,-16.1188,-12.0253,-3.30678,42.9886,-64.6318,24.0891,-64.1382,25.8724,-27.1453,0.0,0.0,0.0,0.0
0.666667,20,17.5973,-16.1427,16.9776,-16.8546,-12.9994,-3.64195,42.9886,-66.1392,24.2554,-65.6425,26.071,-28.921,0.0,0.0,0.0,0.0
0.7,21,17.8219,-16.8202,17.2275,-17.5864,-13.9736,-3.99092,42.9886,-67.5605,24.4014,-67.0611,26.2364,-30.61,0.0,0.0,0.0,0.0
