Header
rate=30
frames=48
duration=1.584
type=degree
Body
Time,Frame,NV,NH,HD,LS,LE,LH,LK,RS,RE,RH,RK,TO,TH,TV,SD,TR
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.033,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
0.066,2,3,0,0,2,0,1,-1,2,0,1,-1,0,0,0,0,0
0.099,3,4,0,0,3,0,1,-1,3,0,1,-1,0,0,0,0,0
0.132,4,6,0,0,4,0,2,-2,4,0,2,-2,0,0,0,0,0
0.165,5,7,0,0,5,0,3,-2,5,0,3,-2,0,0,0,0,0
0.198,6,9,0,0,7,0,3,-3,7,0,3,-3,0,0,0,0,0
0.231,7,11,0,0,8,0,4,-4,8,0,4,-4,0,0,0,0,0
0.264,8,12,0,0,9,0,5,-4,9,0,5,-4,0,0,0,0,0
0.297,9,14,0,0,10,0,5,-5,10,0,5,-5,0,0,0,0,0
0.33,10,15,0,0,11,0,6,-5,11,0,6,-5,0,0,0,0,0
0.363,11,17,0,0,12,0,7,-6,12,0,7,-6,0,0,0,0,0
0.396,12,19,0,0,14,0,7,-6,14,0,7,-6,0,0,0,0,0
0.429,13,20,0,0,15,0,8,-7,15,0,8,-7,0,0,0,0,0
0.462,14,22,0,0,16,0,8,-8,16,0,8,-8,0,0,0,0,0
0.495,15,23,0,0,17,0,9,-8,17,0,9,-8,0,0,0,0,0
0.528,16,25,0,0,18,0,10,-9,18,0,10,-9,0,0,0,0,0
0.561,17,27,0,0,19,0,10,-9,19,0,10,-9,0,0,0,0,0
0.594,18,28,0,0,21,0,11,-10,21,0,11,-10,0,0,0,0,0
0.627,19,30,0,0,22,0,12,-10,22,0,12,-10,0,0,0,0,0
0.66,20,31,0,0,23,0,12,-11,23,0,12,-11,0,0,0,0,0
0.693,21,33,0,0,24,0,13,-12,24,0,13,-12,0,0,0,0,0
0.726,22,35,0,0,25,0,14,-12,25,0,14,-12,0,0,0,0,0
0.759,23,36,0,0,26,0,14,-13,26,0,14,-13,0,0,0,0,0
0.792,24,38,0,0,28,0,15,-13,28,0,15,-13,0,0,0,0,0
0.825,25,39,0,0,29,0,15,-14,29,0,15,-14,0,0,0,0,0
0.858,26,41,0,0,30,0,16,-14,30,0,16,-14,0,0,0,0,0
0.891,27,43,0,0,31,0,17,-15,31,0,17,-15,0,0,0,0,0
0.924,28,44,0,0,32,0,17,-16,32,0,17,-16,0,0,0,0,0
0.957,29,46,0,0,33,0,18,-16,33,0,18,-16,0,0,0,0,0
0.99,30,47,0,0,35,0,19,-17,35,0,19,-17,0,0,0,0,0
1.023,31,49,0,0,36,0,19,-17,36,0,19,-17,0,0,0,0,0
1.056,32,51,0,0,37,0,20,-18,37,0,20,-18,0,0,0,0,0
1.089,33,52,0,0,38,0,21,-18,38,0,21,-18,0,0,0,0,0
1.122,34,54,0,0,39,0,21,-19,39,0,21,-19,0,0,0,0,0
1.155,35,55,0,0,40,0,22,-20,40,0,22,-20,0,0,0,0,0
1.188,36,55,0,0,42,0,22,-20,42,0,22,-20,0,0,0,0,0
1.221,37,55,0,0,43,0,23,-21,43,0,23,-21,0,0,0,0,0
1.254,38,55,0,0,44,0,24,-21,44,0,24,-21,0,0,0,0,0
1.287,39,55,0,0,45,0,24,-22,45,0,24,-22,0,0,0,0,0
1.32,40,55,0,0,46,0,25,-22,46,0,25,-22,0,0,0,0,0
1.353,41,55,0,0,47,0,26,-23,47,0,26,-23,0,0,0,0,0
1.386,42,55,0,0,49,0,26,-24,49,0,26,-24,0,0,0,0,0
1.419,43,55,0,0,50,0,27,-24,50,0,27,-24,0,0,0,0,0
1.452,44,55,0,0,51,0,28,-25,51,0,28,-25,0,0,0,0,0
1.485,45,55,0,0,52,0,28,-25,52,0,28,-25,0,0,0,0,0
1.518,46,55,0,0,53,0,29,-26,53,0,29,-26,0,0,0,0,0
1.551,47,55,0,0,55,0,30,-27,55,0,30,-27,0,0,0,0,0
1.584,48,55,0,0,55,0,30,-27,55,0,30,-27,0,0,0,0,0
