Header
rate=30
frames=647
duration=21.5667
type=degree
Body
Time,Frame,RE,RS,LE,LS,NV,NH,HD,RK,RH,LK,LH,TV,TH,TO,SD
0.0,0,81.9183,-14.2459,92.2632,-34.7198,-25.0,44.2025,93.155,-71.3195,2.11446,-84.8111,45.6331,-100.0,74.9629,24.4971,0.0
0.0333333,1,81.946,-14.3007,92.262,-34.7174,-25.0,44.2334,93.1111,-71.378,2.21734,-84.8155,45.6198,-100.0,74.6867,24.4382,0.0
0.0666667,2,82.0273,-14.4198,92.2583,-34.7101,-25.0,44.2635,92.9813,-71.5485,2.51695,-84.8298,45.5685,-100.0,73.8796,24.2662,0.0
0.1,3,82.1575,-14.5978,92.2519,-34.6977,-25.0,44.2929,92.7689,-71.8214,2.99961,-84.852,45.5053,-100.0,72.5738,23.9879,0.0
0.133333,4,82.3325,-14.8577,92.2427,-34.6795,-25.0,44.3216,92.4769,-72.1862,3.65012,-84.8819,45.4316,-100.0,70.8014,23.6102,0.0
0.166667,5,82.5479,-15.1944,92.2302,-34.6406,-25.0,44.3496,92.1084,-72.6302,4.45214,-84.9172,45.3215,-100.0,68.5947,23.14,0.0
0.2,6,82.7982,-15.5594,92.2138,-34.6225,-25.0,44.3769,91.6666,-73.1422,5.38951,-84.9577,45.1891,-100.0,65.9858,22.584,0.0
0.233333,7,83.0786,-15.9897,92.193,-34.5674,-25.0,44.4035,91.1546,-73.7093,6.44557,-85.0004,45.034,-100.0,63.0068,21.9491,0.0
0.266667,8,83.3844,-16.4799,92.1674,-34.5308,-25.0,44.4294,90.5756,-74.3196,7.60354,-85.0456,44.857,-100.0,59.69,21.2423,0.0
0.3,9,83.7103,-16.9816,92.1361,-34.4549,-25.0,44.4547,89.9325,-74.9616,8.85802,-85.0902,44.6583,-100.0,56.0675,20.4703,0.0
0.333333,10,84.0522,-17.5463,92.0988,-34.3811,-25.0,44.4793,89.2286,-75.6249,10.1613,-85.1334,44.4381,-100.0,52.1715,19.6401,0.0
0.366667,11,84.4054,-18.111,92.0549,-34.3086,-25.0,44.5032,88.467,-76.298,11.5289,-85.1737,44.1974,-100.0,48.0341,18.7584,0.0
0.4,12,84.7654,-18.7133,92.0038,-34.2077,-25.0,44.5264,87.6508,-76.9732,12.9362,-85.2086,43.9363,-99.8881,43.6877,17.8321,0.0
0.433333,13,85.1286,-19.3482,91.9452,-34.0922,-25.0,44.549,86.7831,-77.6411,14.369,-85.237,43.6556,-99.5644,39.1642,16.8681,0.0
0.466667,14,85.4911,-19.9813,91.8788,-33.9615,-25.0,44.571,85.867,-78.2957,15.8141,-85.2581,43.3569,-99.0466,34.496,15.8733,0.0
0.5,15,85.85,-20.6075,91.8044,-33.8153,-25.0,44.5923,84.9057,-78.93,17.2589,-85.2696,43.0411,-98.3528,29.7152,14.8545,0.0
0.533333,16,86.2019,-21.251,91.722,-33.6538,-25.0,44.613,83.9023,-79.5391,18.6921,-85.2701,42.7092,-97.5007,24.8539,13.8185,0.0
0.566667,17,86.5447,-21.8925,91.6317,-33.4771,-25.0,44.6331,82.8598,-80.119,20.1034,-85.2594,42.3637,-96.5082,19.9443,12.7722,0.0
0.6,18,86.8758,-22.5277,91.5338,-33.2862,-25.0,44.6525,81.7815,-80.6664,21.483,-85.2359,41.9925,-95.3931,15.0187,11.7226,0.0
0.633333,19,87.1935,-23.1523,91.4287,-33.0674,-25.0,44.6714,80.6704,-81.1793,22.8231,-85.2004,41.6388,-94.1734,10.1091,10.6763,0.0
0.666667,20,87.4962,-23.7621,91.3171,-32.8513,-25.0,44.6896,79.5296,-81.6555,24.1151,-85.1514,41.2643,-92.8669,5.24781,9.64032,0.0
0.7,21,87.7826,-24.3535,91.2,-32.6396,-25.0,44.7072,78.3624,-82.0949,25.3665,-85.09,40.8857,-91.4914,0.466957,8.62149,0.0
0.733333,22,88.0515,-24.9228,91.0783,-32.4055,-25.0,44.7243,77.1717,-82.4969,26.5307,-85.0168,40.5061,-90.0649,-4.20128,7.62666,0.0
0.766667,23,88.3025,-25.4667,90.9534,-32.1661,-25.0,44.7408,75.9608,-82.8615,27.6563,-84.9317,40.1283,-88.6051,-8.72472,6.66268,0.0
0.8,24,88.5346,-25.9821,90.8269,-31.9242,-25.0,44.7566,74.7327,-83.1905,28.6847,-84.8375,39.7568,-87.13,-13.0712,5.73642,0.0
0.833333,25,88.7475,-26.4812,90.7002,-31.6684,-25.0,44.7719,73.4905,-83.4837,29.6526,-84.7358,39.3952,-85.6574,-17.2085,4.85473,0.0
0.866667,26,88.9409,-26.9157,90.5752,-31.4461,-25.0,44.7867,72.2375,-83.743,30.5433,-84.6288,39.0472,-84.2052,-21.1045,4.02446,0.0
0.9,27,89.1152,-27.3287,90.4542,-31.2027,-25.0,44.8009,70.9766,-83.9703,31.3536,-84.519,38.7175,-82.7912,-24.727,3.25248,0.0
0.933333,28,89.2693,-27.7022,90.3391,-31.0004,-25.0,44.8145,69.7111,-84.1667,32.0801,-84.41,38.4102,-81.4334,-28.0439,2.54564,0.0
0.966667,29,89.404,-28.034,90.2323,-30.785,-25.0,44.8276,68.444,-84.3338,32.7207,-84.3042,38.1298,-80.1495,-31.0229,1.9108,0.0
1.0,30,89.5188,-28.3373,90.1359,-30.6191,-25.0,44.8402,67.1784,-84.473,33.2869,-84.2058,37.8807,-78.9574,-33.6318,1.35481,0.0
1.03333,31,89.6139,-28.5787,90.0524,-30.4483,-25.0,44.8522,65.9175,-84.5858,33.747,-84.1186,37.6539,-77.8751,-35.8386,0.88454,0.0
1.06667,32,89.6884,-28.7555,89.9839,-30.3205,-25.0,44.8637,64.6645,-84.6733,34.112,-84.0453,37.495,-76.9203,-37.611,0.506835,0.0
1.1,33,89.7429,-28.9121,89.9327,-30.2398,-25.0,44.8746,63.4223,-84.7358,34.3637,-83.9897,37.3669,-76.1109,-38.9168,0.228556,0.0
1.13333,34,89.7759,-28.9833,89.9007,-30.1656,-25.0,44.8851,62.1942,-84.7737,34.5272,-83.9544,37.2871,-75.4649,-39.7239,0.0565607,0.0
1.16667,35,89.7873,-29.0129,89.8898,-30.1452,-25.0,44.8951,60.9833,-84.7864,34.5828,-83.9418,37.2596,-75.0,-40.0,-0.00229494,0.0
1.2,36,89.7846,-29.0125,89.887,-30.1447,-24.9933,44.9045,59.7926,-84.7834,34.5816,-83.939,37.2582,-74.6405,-40.0,-0.00229494,0.0
1.23333,37,89.7767,-29.0114,89.8792,-30.1436,-24.9735,44.9135,58.6254,-84.7744,34.5772,-83.9304,37.2536,-74.2985,-40.0,-0.00229494,0.0
1.26667,38,89.7637,-29.0096,89.8663,-30.1418,-24.9409,44.922,57.4846,-84.7602,34.5705,-83.916,37.2462,-73.9734,-40.0,-0.00229494,0.0
1.3,39,89.7459,-29.0071,89.8485,-30.1394,-24.896,44.93,56.3736,-84.7404,34.5609,-83.8961,37.2359,-73.6647,-40.0,-0.00229494,0.0
1.33333,40,89.7232,-29.0039,89.8259,-30.1361,-24.839,44.9375,55.2952,-84.7151,34.5488,-83.8709,37.2228,-73.3719,-40.0,-0.00229494,0.0
1.36667,41,89.696,-29.0002,89.7988,-30.1324,-24.7703,44.9446,54.2528,-84.6848,34.5342,-83.8405,37.207,-73.0945,-40.0,-0.00229494,0.0
1.4,42,89.664,-28.9957,89.7671,-30.1278,-24.6904,44.9512,53.2493,-84.6494,34.517,-83.805,37.1887,-72.8319,-40.0,-0.00229494,0.0
1.43333,43,89.628,-28.9907,89.7311,-30.1227,-24.5995,44.9574,52.288,-84.6092,34.4979,-83.7648,37.1678,-72.5836,-40.0,-0.00229494,0.0
1.46667,44,89.5874,-28.9848,89.6909,-30.117,-24.498,44.9631,51.372,-84.5641,34.4763,-83.7198,37.1445,-72.349,-40.0,-0.00229494,0.0
1.5,45,89.543,-28.9786,89.6466,-30.1106,-24.3864,44.9683,50.5042,-84.5147,34.4525,-83.67,37.1187,-72.1278,-40.0,-0.00229494,0.0
1.53333,46,89.4946,-28.9718,89.5984,-30.1037,-24.2649,44.9732,49.688,-84.4608,34.4266,-83.6163,37.0908,-71.9193,-40.0,-0.00229494,0.0
1.56667,47,89.4421,-28.9642,89.5464,-30.0962,-24.134,44.9776,48.9264,-84.4025,34.3986,-83.5581,37.0606,-71.7229,-40.0,-0.00229494,0.0
1.6,48,89.3864,-28.9563,89.4907,-30.0881,-23.9939,44.9816,48.2225,-84.3402,34.3685,-83.4958,37.0283,-71.5383,-40.0,-0.00229494,0.0
1.63333,49,89.327,-28.9477,89.4316,-30.0795,-23.8451,44.9852,47.5795,-84.2741,34.3367,-83.4294,36.9939,-71.3649,-40.0,-0.00229494,0.0
1.66667,50,89.2641,-28.9386,89.369,-30.0703,-23.688,44.9884,47.0004,-84.2043,34.3032,-83.3597,36.9576,-71.202,-40.0,-0.00229494,0.0
1.7,51,89.1979,-28.9289,89.3033,-30.0606,-23.5228,44.9912,46.4884,-84.1306,34.2677,-83.2861,36.9193,-71.0493,-40.0,-0.00229494,0.0
1.73333,52,89.1287,-28.9188,89.2345,-30.0505,-23.35,44.9935,46.0466,-84.0536,34.2306,-83.2091,36.8793,-70.9062,-40.0,-0.00229494,0.0
1.76667,53,89.0565,-28.9082,89.1627,-30.0399,-23.1699,44.9955,45.6782,-83.9735,34.1919,-83.1287,36.8375,-70.7722,-40.0,-0.00229494,0.0
1.8,54,88.9815,-28.8971,89.088,-30.0286,-22.9829,44.9972,45.3862,-83.89,34.1518,-83.0452,36.794,-70.6467,-40.0,-0.00229494,0.0
1.83333,55,88.904,-28.8857,89.0107,-30.017,-22.7894,44.9984,45.1737,-83.8037,34.1101,-82.9586,36.749,-70.5292,-40.0,-0.00229494,0.0
1.86667,56,88.8238,-28.8737,88.9309,-30.0049,-22.5897,44.9993,45.044,-83.7144,34.067,-82.8695,36.7027,-70.4192,-40.0,-0.00229494,0.0
1.9,57,88.741,-28.8612,88.8487,-29.9924,-22.3842,44.9998,45.0,-83.6224,34.0226,-82.7772,36.6545,-70.3162,-40.0,-0.00229494,0.0
1.93333,58,88.6561,-28.8484,88.7643,-29.9795,-22.1733,45.0,45.0129,-83.5278,33.9768,-82.6826,36.6052,-70.2196,-40.0,-0.00229494,0.0
1.96667,59,88.5691,-28.8352,88.6777,-29.9662,-21.9572,45.0,45.0506,-83.431,33.9302,-82.5853,36.5545,-70.1289,-40.0,-0.00229494,0.0
2.0,60,88.4802,-28.8217,88.5891,-29.9524,-21.7365,45.0,45.1123,-83.3319,33.8822,-82.4865,36.5029,-70.0437,-40.0,-0.00229494,0.0
2.03333,61,88.3892,-28.8076,88.4987,-29.9383,-21.5114,45.0,45.1968,-83.2305,33.8333,-82.3849,36.4501,-69.9633,-40.0,-0.00229494,0.0
2.06667,62,88.2969,-28.7934,88.4066,-29.9238,-21.2823,45.0,45.3029,-83.1276,33.7834,-82.282,36.3962,-69.8873,-40.0,-0.00229494,0.0
2.1,63,88.2028,-28.7788,88.313,-29.9089,-21.0496,45.0,45.4297,-83.0227,33.7327,-82.1771,36.3414,-69.8151,-40.0,-0.00229494,0.0
2.13333,64,88.1072,-28.7638,88.2179,-29.8938,-20.8137,45.0,45.576,-82.9163,33.6809,-82.0704,36.2858,-69.7462,-40.0,-0.00229494,0.0
2.16667,65,88.0105,-28.7485,88.1216,-29.8783,-20.5749,45.0,45.7408,-82.8085,33.6289,-81.9627,36.2294,-69.6801,-40.0,-0.00229494,0.0
2.2,66,87.9126,-28.733,88.0242,-29.8626,-20.3335,45.0,45.9229,-82.6993,33.576,-81.8535,36.1722,-69.6162,-40.0,-0.00229494,0.0
2.23333,67,87.8137,-28.7172,87.9258,-29.8466,-20.09,45.0,46.1213,-82.5892,33.5225,-81.7429,36.1145,-69.5541,-40.0,-0.00229494,0.0
2.26667,68,87.714,-28.7011,87.8266,-29.8304,-19.8448,45.0,46.3348,-82.478,33.4684,-81.6319,36.0562,-69.4932,-40.0,-0.00229494,0.0
2.3,69,87.6133,-28.6848,87.7267,-29.8139,-19.5981,45.0,46.5625,-82.3661,33.4142,-81.5199,35.9975,-69.4329,-40.0,-0.00229494,0.0
2.33333,70,87.5124,-28.6683,87.6262,-29.7972,-19.3503,45.0,46.8032,-82.2536,33.3595,-81.4072,35.9385,-69.3728,-40.0,-0.00229494,0.0
2.36667,71,87.4111,-28.6518,87.5254,-29.7804,-19.1019,45.0,47.0559,-82.1405,33.3045,-81.2941,35.8792,-69.3124,-40.0,-0.00229494,0.0
2.4,72,87.3095,-28.635,87.4243,-29.7635,-18.8531,45.0,47.3193,-82.0269,33.2493,-81.1804,35.8196,-69.251,-40.0,-0.00229494,0.0
2.43333,73,87.208,-28.6182,87.3231,-29.7463,-18.6044,45.0,47.5926,-81.9138,33.1942,-81.0671,35.76,-69.1883,-40.0,-0.00229494,0.0
2.46667,74,87.1062,-28.6012,87.222,-29.7291,-18.3561,45.0,47.8745,-81.8005,33.139,-80.9536,35.7004,-69.1236,-40.0,-0.00229494,0.0
2.5,75,87.0049,-28.5843,87.1211,-29.7118,-18.1085,45.0,48.1641,-81.6872,33.0839,-80.8403,35.6408,-69.0564,-40.0,-0.00229494,0.0
2.53333,76,86.9037,-28.5671,87.0205,-29.6945,-17.8621,45.0,48.4601,-81.5742,33.0287,-80.7271,35.5813,-68.9863,-40.0,-0.00229494,0.0
2.56667,77,86.8033,-28.5501,86.9205,-29.6771,-17.6173,45.0,48.7616,-81.4622,32.9741,-80.615,35.5223,-68.9126,-40.0,-0.00229494,0.0
2.6,78,86.7032,-28.5329,86.821,-29.6597,-17.3742,45.0,49.0674,-81.3506,32.9195,-80.5034,35.4636,-68.8349,-40.0,-0.00229494,0.0
2.63333,79,86.6041,-28.5159,86.7224,-29.6424,-17.1334,45.0,49.3765,-81.24,32.8657,-80.3926,35.4053,-68.7527,-40.0,-0.00229494,0.0
2.66667,80,86.5061,-28.499,86.6247,-29.6251,-16.8953,45.0,49.6877,-81.1304,32.812,-80.2831,35.3476,-68.6653,-40.0,-0.00229494,0.0
2.7,81,86.4092,-28.4821,86.5283,-29.608,-16.6601,45.0,50.0,-81.0221,32.7592,-80.1745,35.2903,-68.5724,-40.0,-0.00229494,0.0
2.73333,82,86.3133,-28.4653,86.4329,-29.5909,-16.4282,45.0,50.3123,-80.9149,32.7067,-80.0674,35.2338,-68.4733,-40.0,-0.00229494,0.0
2.76667,83,86.2189,-28.4487,86.3391,-29.574,-16.2,45.0,50.6236,-80.8094,32.6551,-79.9619,35.1781,-68.3676,-40.0,-0.00229494,0.0
2.8,84,86.1233,-28.4318,86.2439,-29.5568,-15.9689,44.9223,50.9326,-80.7029,32.603,-79.8549,35.1217,-68.26,-40.0,-0.00229494,0.0
2.83333,85,86.0239,-28.4142,86.1448,-29.5388,-15.7284,44.6943,51.2384,-80.5913,32.5483,-79.7432,35.0628,-68.1555,-40.0,-0.00229494,0.0
2.86667,86,85.9203,-28.3957,86.042,-29.5201,-15.4791,44.3238,51.5399,-80.4759,32.4919,-79.6278,35.0017,-68.0542,-40.0,-0.00229494,0.0
2.9,87,85.8134,-28.3765,85.9356,-29.5004,-15.2215,43.8185,51.8359,-80.3563,32.4331,-79.5081,34.9384,-67.9559,-40.0,-0.00229494,0.0
2.93333,88,85.7031,-28.3565,85.8258,-29.4801,-14.9562,43.1863,52.1255,-80.2331,32.3727,-79.3846,34.8731,-67.8605,-40.0,-0.00229494,0.0
2.96667,89,85.5899,-28.3361,85.713,-29.4591,-14.6838,42.4348,52.4074,-80.1063,32.3105,-79.2577,34.8058,-67.768,-40.0,-0.00229494,0.0
3.0,90,85.4735,-28.3147,85.5973,-29.4374,-14.4048,41.5719,52.6807,-79.9761,32.2467,-79.1275,34.7369,-67.6782,-40.0,-0.00229494,0.0
3.03333,91,85.3547,-28.2929,85.479,-29.4151,-14.1197,40.6053,52.9442,-79.8432,32.1813,-78.9944,34.6665,-67.5911,-40.0,-0.00229494,0.0
3.06667,92,85.2333,-28.2704,85.3582,-29.3922,-13.8293,39.5428,53.1968,-79.7074,32.1145,-78.8583,34.5942,-67.5066,-40.0,-0.00229494,0.0
3.1,93,85.1099,-28.2475,85.2353,-29.3687,-13.534,38.3922,53.4375,-79.569,32.0464,-78.7198,34.5207,-67.4246,-40.0,-0.00229494,0.0
3.13333,94,84.9842,-28.2238,85.1104,-29.3446,-13.2344,37.1612,53.6652,-79.4282,31.9771,-78.5788,34.446,-67.345,-40.0,-0.00229494,0.0
3.16667,95,84.8569,-28.1998,84.9837,-29.3201,-12.931,35.8575,53.8788,-79.2857,31.9068,-78.4363,34.3702,-67.2677,-40.0,-0.00229494,0.0
3.2,96,84.7283,-28.1755,84.8556,-29.2951,-12.6245,34.489,54.0772,-79.1415,31.8359,-78.2919,34.2934,-67.1926,-40.0,-0.00229494,0.0
3.23333,97,84.5982,-28.1506,84.7262,-29.2698,-12.3154,33.0635,54.2593,-78.9959,31.764,-78.1459,34.2158,-67.1197,-40.0,-0.00229494,0.0
3.26667,98,84.4671,-28.1254,84.5957,-29.244,-12.0042,31.5886,54.424,-78.8489,31.6915,-77.9987,34.1375,-67.0489,-40.0,-0.00229494,0.0
3.3,99,84.3351,-28.0998,84.4645,-29.218,-11.6916,30.0722,54.5703,-78.701,31.6184,-77.8506,34.0586,-66.98,-40.0,-0.00229494,0.0
3.33333,100,84.2028,-28.0741,84.3326,-29.1915,-11.378,28.522,54.6971,-78.5524,31.545,-77.7018,33.9793,-66.9131,-40.0,-0.00229494,0.0
3.36667,101,84.0699,-28.0481,84.2004,-29.1649,-11.0641,26.9457,54.8032,-78.4034,31.4713,-77.5526,33.8997,-66.848,-40.0,-0.00229494,0.0
3.4,102,83.9368,-28.0218,84.0681,-29.1381,-10.7505,25.3512,54.8877,-78.2541,31.3973,-77.4032,33.82,-66.7845,-40.0,-0.00229494,0.0
3.43333,103,83.8042,-27.9956,83.936,-29.1111,-10.4376,23.7463,54.9494,-78.105,31.3236,-77.2539,33.7403,-66.7227,-40.0,-0.00229494,0.0
3.46667,104,83.6717,-27.9691,83.8042,-29.084,-10.1261,22.1386,54.9872,-77.9563,31.2497,-77.1048,33.6607,-66.6625,-40.0,-0.00229494,0.0
3.5,105,83.5398,-27.9426,83.673,-29.0569,-9.81655,20.536,55.0,-77.8083,31.1763,-76.9567,33.5815,-66.6037,-40.0,-0.00229494,0.0
3.53333,106,83.4088,-27.9162,83.5428,-29.0299,-9.50946,18.9462,54.8919,-77.6612,31.1035,-76.8094,33.5027,-66.5464,-40.0,-0.00229494,0.0
3.56667,107,83.2792,-27.8899,83.4136,-29.0028,-9.20544,17.3769,54.576,-77.5153,31.0311,-76.6633,33.4245,-66.4902,-40.0,-0.00229494,0.0
3.6,108,83.1508,-27.8637,83.2857,-28.976,-8.90504,15.836,54.0649,-77.3709,30.9593,-76.5187,33.347,-66.4354,-40.0,-0.00229494,0.0
3.63333,109,83.0238,-27.8375,83.1595,-28.9492,-8.60883,14.3313,53.3711,-77.2279,30.8883,-76.3756,33.2704,-66.3816,-40.0,-0.00229494,0.0
3.66667,110,82.8988,-27.8117,83.0351,-28.9228,-8.31737,12.8704,52.5073,-77.0875,30.8185,-76.235,33.195,-66.3288,-40.0,-0.00229494,0.0
