Header
rate=30
frames=61
duration=2.0
type=degree
Body
Time,Frame,NV,NH,HD,LS,LE,LH,LK,RS,RE,RH,RK,TO,TH,TV,SD,TR
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.033,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.066,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.099,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.132,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.165,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.198,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.231,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.264,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.297,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.33,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.363,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.396,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.429,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.462,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.495,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.528,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.561,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.594,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.627,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.66,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.693,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.726,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.759,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.792,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.825,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.858,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.891,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.924,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.957,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.99,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.023,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.056,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.089,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.122,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.155,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.188,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.221,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.254,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.287,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.32,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.353,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.386,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.419,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.452,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.485,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.518,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.551,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.584,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.617,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.65,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.683,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.716,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.749,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.782,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.815,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.848,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.881,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.914,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.947,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.98,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.013,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
