Header
rate=30
frames=61
duration=2.0
type=degree
Body
Time,Frame,NV,NH,HD,LS,LE,LH,LK,RS,RE,RH,RK,TO,TH,TV,SD,TR
0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.033,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.066,2,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.099,3,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.132,4,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.165,5,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.198,6,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.231,7,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.264,8,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.297,9,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.33,10,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.363,11,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.396,12,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.429,13,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.462,14,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.495,15,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.528,16,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.561,17,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.594,18,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.627,19,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.66,20,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.693,21,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.726,22,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.759,23,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.792,24,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.825,25,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.858,26,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.891,27,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.924,28,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.957,29,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.99,30,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.023,31,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.056,32,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.089,33,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.122,34,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.155,35,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.188,36,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.221,37,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.254,38,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.287,39,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.32,40,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.353,41,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.386,42,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.419,43,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.452,44,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.485,45,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.518,46,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.551,47,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.584,48,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.617,49,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.65,50,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.683,51,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.716,52,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.749,53,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.782,54,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.815,55,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.848,56,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.881,57,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.914,58,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.947,59,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.98,60,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.013,61,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
