Header
rate=30
frames=600
duration=20.0
type=degree
Body
Time,Frame,RE,RS,LE,LS,NV,NH,HD,RK,RH,LK,LH,TV,TH,TO,SD,TR
0.0,0,20.4948,-16.812,16.5225,-9.84826,49.0838,6.83019e-006,42.4041,-30.2244,14.3729,-26.8139,5.11504,55.8951,-72.3868,-8.59437,0.0,0.0
0.0333333,1,20.5875,-16.7006,16.7487,-9.98528,49.0838,6.83019e-006,42.4041,-30.2595,14.3398,-27.0009,5.42489,55.8951,-12.6894,-8.31873,0.0,0.0
0.0666667,2,20.8315,-16.377,17.3466,-10.3476,49.0838,6.83019e-006,42.4041,-30.3503,14.2187,-27.4864,6.26763,55.895,0.185475,-7.54984,0.0,0.0
0.1,3,21.1639,-15.8471,18.174,-10.8242,49.0838,6.83019e-006,42.4041,-30.4681,14.0051,-28.1352,7.49935,55.8949,11.5395,-6.37478,0.0,0.0
0.133333,4,21.5163,-15.1186,19.0918,-11.3202,49.0838,6.83019e-006,42.4041,-30.5772,13.6694,-28.8164,8.97624,55.8948,24.3499,-4.88059,0.0,0.0
0.166667,5,21.8274,-14.1862,19.9894,-11.7486,49.0838,6.83019e-006,42.4041,-30.6383,13.1856,-29.431,10.5709,55.8946,37.9923,-3.15433,0.0,0.0
0.2,6,22.0481,-13.0755,20.7895,-12.0649,49.0838,6.83019e-006,42.4041,-30.6133,12.5395,-29.9184,12.1734,55.8945,51.8428,-1.28306,0.0,0.0
0.233333,7,22.1474,-11.8164,21.4481,-12.2366,49.0838,6.83019e-006,42.4041,-30.4718,11.7152,-30.2553,13.7144,55.8942,65.2773,0.646151,0.0,0.0
0.266667,8,22.1146,-10.4736,21.9484,-12.2681,49.0838,6.83019e-006,42.4041,-30.1993,10.752,-30.4449,15.1171,55.894,77.6717,2.54625,0.0,0.0
0.3,9,21.9612,-9.11384,22.2953,-12.1714,49.0838,6.83019e-006,42.4041,-29.8024,9.68438,-30.5138,16.3367,55.8937,88.402,4.33019,0.0,0.0
0.333333,10,21.7208,-7.82665,22.51,-11.9879,49.0838,6.83019e-006,42.4041,-29.3191,8.5946,-30.4982,17.355,55.8934,96.8438,5.91089,0.0,0.0
0.366667,11,21.4479,-6.71718,22.6239,-11.7834,49.0838,6.83019e-006,42.4041,-28.8189,7.6033,-30.438,18.1352,55.893,102.373,7.20131,0.0,0.0
0.4,12,21.211,-5.89933,22.6725,-11.6024,49.0838,6.83019e-006,42.4041,-28.4005,6.84052,-30.3725,18.6626,55.8926,104.364,8.11439,0.0,0.0
0.433333,13,21.0808,-5.49126,22.6867,-11.4995,49.0838,6.83019e-006,42.4041,-28.1735,6.44589,-30.3339,18.9143,55.8922,104.08,8.56306,0.0,0.0
0.466667,14,21.1089,-5.57424,22.6843,-11.5208,49.0838,6.83019e-006,42.4041,-28.2224,6.52959,-30.3419,18.8616,55.8917,103.128,8.46894,0.0,0.0
0.5,15,21.2825,-6.13558,22.6613,-11.6568,49.0838,6.83019e-006,42.4041,-28.5256,7.06343,-30.3929,18.514,55.8912,101.382,7.85381,0.0,0.0
0.533333,16,21.5397,-7.06486,22.5946,-11.8537,49.0838,6.83019e-006,42.4041,-28.9839,7.91938,-30.461,17.8994,55.8907,98.6721,6.80364,0.0,0.0
0.566667,17,21.8088,-8.24677,22.4505,-12.0589,49.0838,6.83019e-006,42.4041,-29.4883,8.95652,-30.5108,17.0335,55.8901,94.7627,5.40552,0.0,0.0
0.6,18,22.0247,-9.56934,22.1943,-12.2109,49.0838,6.83019e-006,42.4041,-29.9485,10.0514,-30.5023,15.9503,55.8895,89.3095,3.74649,0.0,0.0
0.633333,19,22.1402,-10.9327,21.7973,-12.2694,49.0838,6.83019e-006,42.4041,-30.3061,11.0882,-30.3961,14.6616,55.8889,81.7803,1.91362,0.0,0.0
0.666667,20,22.1287,-12.2525,21.2432,-12.1954,49.0838,6.83019e-006,42.4041,-30.5339,12.0099,-30.1588,13.2081,55.8882,71.2815,-0.00604395,0.0,0.0
0.7,21,21.9861,-13.4628,20.5338,-11.9735,49.0838,6.83019e-006,42.4041,-30.6334,12.7736,-29.7704,11.6398,55.8875,56.1252,-1.92543,0.0,0.0
0.733333,22,21.7304,-14.5221,19.6943,-11.6186,49.0838,6.83019e-006,42.4041,-30.6252,13.3667,-29.2357,10.0223,55.8868,32.524,-3.75749,0.0,0.0
0.766667,23,21.3993,-15.3893,18.7796,-11.1509,49.0838,6.83019e-006,42.4041,-30.5439,13.7984,-28.59,8.45873,55.886,-9.32775,-5.41516,0.0,0.0
0.8,24,21.0459,-16.0489,17.8782,-10.6509,49.0838,6.83019e-006,42.4041,-30.4274,14.0941,-27.9067,7.04939,55.8852,-64.2137,-6.81138,0.0,0.0
0.833333,25,20.736,-16.5093,17.112,-10.2086,49.0838,6.83019e-006,42.4041,-30.3151,14.2678,-27.2974,5.93254,55.8844,-92.1443,-7.85909,0.0,0.0
0.866667,26,20.5366,-16.7626,16.6243,-9.91552,49.0838,6.83019e-006,42.4041,-30.2401,14.3564,-26.8978,5.25372,55.8835,-104.982,-8.47124,0.0,0.0
0.9,27,20.4977,-16.8086,16.5296,-9.85801,49.0838,6.83019e-006,42.4041,-30.2256,14.3763,-26.8199,5.12468,55.8826,-111.203,-8.58575,0.0,0.0
0.933333,28,20.5397,-16.7592,16.6314,-9.91433,49.0838,6.83019e-006,42.4041,-30.2414,14.3554,-26.9039,5.26347,55.8817,-113.796,-8.46259,0.0,0.0
0.966667,29,20.6256,-16.6528,16.842,-10.0415,49.0838,6.83019e-006,42.4041,-30.2738,14.3231,-27.0773,5.554,55.8807,-114.181,-8.20255,0.0,0.0
1.0,30,20.749,-16.4917,17.144,-10.2222,49.0838,6.83019e-006,42.4041,-30.3198,14.2614,-27.323,5.97769,55.8797,-114.0,-7.81739,0.0,0.0
1.03333,31,20.9007,-16.2762,17.5172,-10.4421,49.0838,6.83019e-006,42.4041,-30.3752,14.1843,-27.6224,6.51498,55.8787,-113.603,-7.31883,0.0,0.0
1.06667,32,21.0718,-16.0066,17.9421,-10.6929,49.0838,6.83019e-006,42.4041,-30.4365,14.0767,-27.9563,7.14175,55.8776,-112.95,-6.71861,0.0,0.0
1.1,33,21.2525,-15.6829,18.3994,-10.9497,49.0838,6.83019e-006,42.4041,-30.4978,13.9341,-28.3068,7.85027,55.8765,-111.986,-6.02847,0.0,0.0
1.13333,34,21.4342,-15.3116,18.872,-11.1999,49.0838,6.83019e-006,42.4041,-30.5542,13.762,-28.6579,8.61019,55.8753,-110.634,-5.26014,0.0,0.0
1.16667,35,21.6084,-14.8753,19.3446,-11.4485,49.0838,6.83019e-006,42.4041,-30.6007,13.5522,-28.9955,9.40786,55.8742,-108.786,-4.42535,0.0,0.0
1.2,36,21.7675,-14.394,19.8049,-11.6702,49.0838,6.83019e-006,42.4041,-30.6315,13.3018,-29.3101,10.2284,55.8729,-106.269,-3.53585,0.0,0.0
1.23333,37,21.905,-13.87,20.2428,-11.8579,49.0838,6.83019e-006,42.4041,-30.6412,13.0078,-29.5925,11.0566,55.8717,-102.794,-2.60337,0.0,0.0
1.26667,38,22.0156,-13.2952,20.6499,-12.0216,49.0838,6.83019e-006,42.4041,-30.6259,12.6739,-29.8388,11.8767,55.8704,-97.7978,-1.63964,0.0,0.0
1.3,39,22.0948,-12.6749,21.021,-12.1423,49.0838,6.83019e-006,42.4041,-30.5807,12.2856,-30.0448,12.6897,55.8691,-89.882,-0.656404,0.0,0.0
1.33333,40,22.1404,-12.0263,21.3525,-12.2241,49.0838,6.83019e-006,42.4041,-30.5032,11.8582,-30.2114,13.4697,55.8678,-72.3868,0.33461,0.0,0.0
1.36667,41,22.1508,-11.3514,21.6421,-12.2667,49.0838,6.83019e-006,42.4041,-30.3909,11.3899,-30.3377,14.2252,55.8664,-12.6894,1.32166,0.0,0.0
1.4,42,22.1267,-10.6589,21.8897,-12.2674,49.0838,6.83019e-006,42.4041,-30.2439,10.8905,-30.4273,14.9318,55.865,-0.182578,2.29302,0.0,0.0
1.43333,43,22.0695,-9.95854,22.0962,-12.2394,49.0838,6.83019e-006,42.4041,-30.0627,10.3528,-30.4839,15.5971,55.8635,11.5395,3.23694,0.0,0.0
1.46667,44,21.9832,-9.26207,22.264,-12.187,49.0838,6.83019e-006,42.4041,-29.8515,9.80021,-30.5116,16.2163,55.8621,24.3499,4.1417,0.0,0.0
1.5,45,21.8722,-8.5815,22.396,-12.1066,49.0838,6.83019e-006,42.4041,-29.6153,9.23987,-30.5154,16.7758,55.8605,37.9923,4.99556,0.0,0.0
1.53333,46,21.7436,-7.93075,22.4962,-12.0094,49.0838,6.83019e-006,42.4041,-29.3618,8.68485,-30.5017,17.2777,55.859,51.8428,5.78677,0.0,0.0
1.56667,47,21.6043,-7.32374,22.569,-11.9032,49.0838,6.83019e-006,42.4041,-29.1018,8.15149,-30.4751,17.7184,55.8574,65.2773,6.50361,0.0,0.0
1.6,48,21.4639,-6.77608,22.6193,-11.7956,49.0838,6.83019e-006,42.4041,-28.8476,7.66187,-30.4419,18.0908,55.8558,77.6717,7.13434,0.0,0.0
1.63333,49,21.3317,-6.30326,22.652,-11.6944,49.0838,6.83019e-006,42.4041,-28.6127,7.22063,-30.4069,18.407,55.8542,88.402,7.66723,0.0,0.0
1.66667,50,21.2178,-5.921,22.6715,-11.6075,49.0838,6.83019e-006,42.4041,-28.4123,6.86106,-30.3745,18.6491,55.8525,96.8438,8.09053,0.0,0.0
1.7,51,21.1315,-5.6447,22.682,-11.5377,49.0838,6.83019e-006,42.4041,-28.2612,6.59721,-30.3485,18.814,55.8508,102.373,8.39252,0.0,0.0
1.73333,52,21.0813,-5.49272,22.6867,-11.4999,49.0838,6.83019e-006,42.4041,-28.1743,6.44705,-30.3336,18.9132,55.849,104.364,8.56146,0.0,0.0
1.76667,53,21.0812,-5.48832,22.6867,-11.5039,49.0838,6.83019e-006,42.4041,-28.174,6.44662,-30.3338,18.9135,55.8472,104.08,8.5619,0.0,0.0
1.8,54,21.2122,-5.90288,22.6723,-11.6032,49.0838,6.83019e-006,42.4041,-28.4025,6.84381,-30.3726,18.6602,55.8454,103.128,8.11047,0.0,0.0
1.83333,55,21.4494,-6.72649,22.6235,-11.7844,49.0838,6.83019e-006,42.4041,-28.8216,7.60812,-30.438,18.1318,55.8436,101.382,7.19555,0.0,0.0
1.86667,56,21.7222,-7.83238,22.5093,-11.9933,49.0838,6.83019e-006,42.4041,-29.3213,8.6042,-30.4984,17.3461,55.8417,98.6721,5.90409,0.0,0.0
1.9,57,21.9619,-9.11938,22.2941,-12.172,49.0838,6.83019e-006,42.4041,-29.8044,9.68438,-30.514,16.3366,55.8398,94.7627,4.32303,0.0,0.0
1.93333,58,22.115,-10.4838,21.9468,-12.2681,49.0838,6.83019e-006,42.4041,-30.2003,10.7511,-30.4446,15.1121,55.8378,89.3095,2.53929,0.0,0.0
1.96667,59,22.1473,-11.8261,21.4462,-12.2363,49.0838,6.83019e-006,42.4041,-30.4723,11.7181,-30.2541,13.7093,55.8358,81.7803,0.639821,0.0,0.0
2.0,60,22.0477,-13.0731,20.7875,-12.0642,49.0838,6.83019e-006,42.4041,-30.6134,12.5371,-29.9172,12.1733,55.8338,71.2815,-1.28845,0.0,0.0
2.03333,61,21.8268,-14.1827,19.9873,-11.753,49.0838,6.83019e-006,42.4041,-30.6382,13.1915,-29.43,10.5673,55.8318,56.1252,-3.15858,0.0,0.0
2.06667,62,21.5159,-15.1142,19.0902,-11.3193,49.0838,6.83019e-006,42.4041,-30.5772,13.6704,-28.8156,8.97358,55.8297,32.524,-4.88363,0.0,0.0
2.1,63,21.1633,-15.848,18.1727,-10.8179,49.0838,6.83019e-006,42.4041,-30.4679,14.0057,-28.1345,7.49766,55.8276,-9.32775,-6.37667,0.0,0.0
2.13333,64,20.8313,-16.3837,17.3461,-10.3473,49.0838,6.83019e-006,42.4041,-30.3503,14.2189,-27.4855,6.26666,55.8254,-64.2137,-7.55077,0.0,0.0
2.16667,65,20.5875,-16.7007,16.7485,-9.99064,49.0838,6.83019e-006,42.4041,-30.2591,14.3353,-27.0005,5.4244,55.8232,-92.1443,-8.31898,0.0,0.0
2.2,66,20.4948,-16.812,16.5225,-9.84826,49.0838,6.83019e-006,42.4041,-30.2244,14.3729,-26.8139,5.11504,55.821,-104.982,-8.59437,0.0,0.0
2.23333,67,20.5278,-16.773,16.6031,-9.90265,49.0838,6.83019e-006,42.4041,-30.237,14.3644,-26.8804,5.22484,55.8188,-111.203,-8.49692,0.0,0.0
2.26667,68,20.6212,-16.6585,16.8311,-10.0349,49.0838,6.83019e-006,42.4041,-30.2719,14.3208,-27.0683,5.53489,55.8165,-113.796,-8.21638,0.0,0.0
2.3,69,20.7638,-16.4717,17.1799,-10.2489,49.0838,-0.00328869,42.4041,-30.3254,14.2541,-27.3525,6.02522,55.8142,-114.181,-7.77048,0.0,0.0
2.33333,70,20.9422,-16.2134,17.62,-10.5075,49.0838,-0.0507412,42.4041,-30.3903,14.1555,-27.7038,6.66573,55.8118,-114.0,-7.17694,0.0,0.0
2.36667,71,21.143,-15.8901,18.1214,-10.7946,49.0838,-0.151915,42.4041,-30.4613,14.021,-28.0951,7.41889,55.8095,-113.603,-6.45348,0.0,0.0
2.4,72,21.3521,-15.4834,18.6566,-11.0848,49.0838,-0.303428,42.4041,-30.5294,13.8491,-28.4994,8.25946,55.807,-112.95,-5.61781,0.0,0.0
2.43333,73,21.5563,-15.0188,19.2005,-11.3758,49.0838,-0.501898,42.4041,-30.5876,13.6206,-28.894,9.16017,55.8046,-111.986,-4.68767,0.0,0.0
2.46667,74,21.7435,-14.474,19.7328,-11.6313,49.0838,-0.743945,42.4041,-30.6275,13.3445,-29.2618,10.0924,55.8021,-110.634,-3.68077,0.0,0.0
2.5,75,21.9035,-13.8708,20.2375,-11.8556,49.0838,-1.02619,42.4041,-30.6412,13.0163,-29.5896,11.0466,55.7996,-108.786,-2.61484,0.0,0.0
2.53333,76,22.028,-13.2085,20.7023,-12.0402,49.0838,-1.34524,42.4041,-30.6215,12.6201,-29.8691,11.9914,55.797,-106.269,-1.50759,0.0,0.0
2.56667,77,22.1114,-12.4949,21.1189,-12.1644,49.0838,-1.69772,42.4041,-30.5624,12.1695,-30.0962,12.9144,55.7945,-102.794,-0.376756,0.0,0.0
2.6,78,22.1491,-11.739,21.482,-12.2471,49.0838,-2.08025,42.4041,-30.4595,11.6618,-30.2701,13.7968,55.7918,-97.7978,0.759952,0.0,0.0
2.63333,79,22.1411,-10.9586,21.7901,-12.2743,49.0838,-2.48945,42.4041,-30.3104,11.1079,-30.3935,14.6406,55.7892,-89.882,1.88481,0.0,0.0
2.66667,80,22.0886,-10.152,22.0434,-12.2551,49.0838,-2.92194,42.4041,-30.1156,10.5021,-30.4713,15.4231,55.7865,-72.3868,2.98009,0.0,0.0
2.7,81,21.9957,-9.35086,22.2444,-12.1911,49.0838,-3.37433,42.4041,-29.8799,9.87655,-30.5092,16.1355,55.7838,-12.6894,4.02808,0.0,0.0
2.73333,82,21.8701,-8.57366,22.3982,-12.1048,49.0838,-3.84324,42.4041,-29.6104,9.22912,-30.5154,16.7859,55.7811,0.185475,5.01106,0.0,0.0
2.76667,83,21.7208,-7.83087,22.51,-11.9923,49.0838,-4.32529,42.4041,-29.3192,8.59912,-30.4982,17.3553,55.7783,11.5395,5.91129,0.0,0.0
2.8,84,21.5602,-7.14953,22.5869,-11.8693,49.0838,-4.8171,42.4041,-29.0208,7.9961,-30.4657,17.8439,55.7755,24.3499,6.71107,0.0,0.0
2.83333,85,21.4015,-6.55229,22.6362,-11.7434,49.0838,-5.31529,42.4041,-28.7359,7.44792,-30.4257,18.2473,55.7726,37.9923,7.39267,0.0,0.0
2.86667,86,21.2597,-6.05918,22.6651,-11.6352,49.0838,-5.81647,42.4041,-28.4857,6.99158,-30.3864,18.5624,55.7697,51.8428,7.93836,0.0,0.0
2.9,87,21.1496,-5.70178,22.6801,-11.5515,49.0838,-6.31726,42.4041,-28.293,6.6519,-30.3539,18.7841,55.7668,65.2773,8.33043,0.0,0.0
2.93333,88,21.0845,-5.49824,22.6865,-11.5063,49.0838,-6.81429,42.4041,-28.1795,6.45631,-30.3345,18.9074,55.7639,77.6717,8.55116,0.0,0.0
2.96667,89,21.0764,-5.47768,22.6872,-11.4962,49.0838,-7.30417,42.4041,-28.1659,6.4327,-30.3321,18.9223,55.7609,88.402,8.57772,0.0,0.0
3.0,90,21.1461,-5.69076,22.6804,-11.5529,49.0838,-7.78351,42.4041,-28.287,6.64167,-30.3535,18.7911,55.7579,96.8438,8.34233,0.0,0.0
3.03333,91,21.2826,-6.13588,22.6612,-11.6568,49.0838,-8.24894,42.4041,-28.5259,7.06382,-30.3931,18.5139,55.7549,102.373,7.85343,0.0,0.0
3.06667,92,21.462,-6.76877,22.6199,-11.7898,49.0838,-8.69708,42.4041,-28.844,7.65048,-30.4417,18.1009,55.7518,104.364,7.14271,0.0,0.0
3.1,93,21.6576,-7.55167,22.5444,-11.9396,49.0838,-9.12454,43.3195,-29.2003,8.3543,-30.4864,17.559,55.7487,104.08,6.24189,0.0,0.0
3.13333,94,21.844,-8.42931,22.4215,-12.0854,49.0838,-9.52794,45.8291,-29.5587,9.11185,-30.5141,16.8917,55.7455,103.128,5.18266,0.0,0.0
3.16667,95,21.9991,-9.37532,22.2391,-12.1981,49.0838,-9.9039,49.6137,-29.888,9.89645,-30.5084,16.1143,55.7423,101.382,3.99672,0.0,0.0
3.2,96,22.1052,-10.3486,21.9862,-12.2637,49.0838,-10.249,54.3545,-30.1675,10.6526,-30.4561,15.2372,55.7391,98.6721,2.71578,0.0,0.0
3.23333,97,22.1504,-11.3218,21.6556,-12.2679,49.0838,-10.56,59.7324,-30.3843,11.3651,-30.3431,14.2579,55.7359,94.7627,1.37153,0.0,0.0
3.26667,98,22.1287,-12.2514,21.2438,-12.2006,49.0838,-10.8333,65.4282,-30.5337,12.014,-30.159,13.2094,55.7326,89.3095,-0.00431493,0.0,0.0
