Header
rate=30
frames=75
duration=2.5
type=degree
Body
Time,Frame,RE,RS,LE,LS,NV,NH,HD,RK,RH,LK,LH,TV,TH,TO,SD
0.0,0,20.0053,-37.2184,19.4229,-38.6453,6.83019e-006,6.83019e-006,0.655261,-106.036,24.8505,-105.006,26.6995,-38.4955,-81.5398,-0.149772,0.0
0.0333333,1,21.5627,-37.7065,21.0045,-39.1829,0.252063,6.83019e-006,0.655261,-105.899,25.1631,-104.869,27.0442,-37.971,-80.4981,-0.149772,0.0
0.0666667,2,25.5957,-38.8945,25.0837,-40.4655,0.980609,6.83019e-006,0.655261,-105.492,26.0544,-104.464,27.9568,-36.455,-79.428,-0.149772,0.0
0.1,3,31.0632,-40.3055,30.5875,-41.9781,2.14421,6.83019e-006,0.655261,-104.813,27.4407,-103.786,29.4352,-34.0337,-78.3352,-0.149772,0.0
0.133333,4,37.226,-41.6163,36.768,-43.3729,3.70144,6.83019e-006,0.655261,-103.845,29.2228,-102.82,31.2882,-30.7932,-77.225,-0.149772,0.0
0.166667,5,43.6602,-42.6569,43.2033,-44.4703,5.61085,6.83019e-006,0.655261,-102.565,31.2935,-101.543,33.4751,-26.82,-76.1033,-0.149772,0.0
0.2,6,50.1252,-43.3417,49.656,-45.1724,7.83102,6.83019e-006,0.655261,-100.951,33.5595,-99.9322,35.831,-22.2,-74.9756,-0.149772,0.0
0.233333,7,56.4734,-43.6231,55.9815,-45.4562,10.3205,6.83019e-006,0.655261,-98.9805,35.881,-97.9647,38.26,-17.0197,-73.8474,-0.149772,0.0
0.266667,8,62.605,-43.4792,62.0813,-45.261,13.0379,6.83019e-006,0.655261,-96.6344,38.1772,-95.6213,40.6593,-11.3651,-72.7245,-0.149772,0.0
0.3,9,68.4427,-42.8454,67.8798,-44.5528,15.9417,6.83019e-006,0.655261,-93.9006,40.3485,-92.8907,42.9415,-5.32257,-71.6123,-0.149772,0.0
0.333333,10,73.9231,-41.7254,73.3141,-43.3349,18.9906,6.83019e-006,0.655261,-90.7731,42.3598,-89.7651,45.0349,1.02175,-70.5166,-0.149772,0.0
0.366667,11,78.9898,-40.0909,78.3291,-41.5288,22.143,6.83019e-006,0.655261,-87.2528,44.1443,-86.2448,46.8866,7.58162,-69.1327,-0.149772,0.0
0.4,12,83.5929,-37.889,82.8756,-39.1603,25.3576,6.83019e-006,0.655261,-83.3445,45.666,-82.3349,48.4592,14.2708,-67.3188,-0.149772,0.0
0.433333,13,87.6898,-35.105,86.912,-36.1803,28.5929,6.83019e-006,0.655261,-79.0588,46.903,-78.0441,49.728,21.0031,-65.2397,-0.149772,0.0
0.466667,14,91.247,-31.7795,90.4067,-32.6169,31.8074,6.83019e-006,0.655261,-74.408,47.8409,-73.3848,50.6788,27.6923,-63.0026,-0.149772,0.0
0.5,15,94.2445,-27.9586,93.3412,-28.5218,34.9599,6.83019e-006,0.655261,-69.4074,48.4849,-68.3704,51.3022,34.2522,-60.6916,-0.149772,0.0
0.533333,16,96.6795,-23.6822,95.7144,-23.9908,38.0087,6.83019e-006,0.655261,-64.0698,48.7898,-63.0116,51.5898,40.5965,-58.387,-0.149772,0.0
0.566667,17,98.5688,-19.129,97.545,-19.1648,40.9125,6.83019e-006,0.655261,-58.4071,48.7967,-57.3176,51.5312,46.639,-56.1848,-0.149772,0.0
0.6,18,99.9507,-14.4524,98.8729,-14.2073,43.6299,6.83019e-006,0.655261,-52.4258,48.4565,-51.2907,51.0969,52.2936,-54.2307,-0.149772,0.0
0.633333,19,100.884,-9.846,99.7586,-9.36738,46.1194,6.83019e-006,0.655261,-46.1234,47.7511,-44.9192,50.2978,57.474,-52.8256,-0.149772,0.0
0.666667,20,101.446,-5.52728,100.279,-4.79129,48.3396,6.83019e-006,0.655261,-39.4792,46.6636,-38.166,49.0489,62.0939,-53.0868,-0.149772,0.0
0.7,21,101.723,-1.63742,100.522,-0.739646,50.249,6.83019e-006,0.655261,-32.4271,45.1217,-30.9277,47.2707,66.0672,-52.3725,-0.149772,0.0
0.733333,22,101.808,1.60219,100.58,2.65806,51.8062,6.83019e-006,0.655261,-24.7706,42.9944,-22.8781,44.7746,69.3076,-50.3188,-0.149772,0.0
0.766667,23,101.788,4.06068,100.541,5.23439,52.9698,6.83019e-006,0.655261,-15.5733,39.7973,-11.9699,40.4581,71.7289,-47.0598,-0.149772,0.0
0.8,24,101.74,5.59637,100.481,6.86041,53.6984,6.83019e-006,0.655261,-6.27663,36.0754,-5.75177,37.953,73.2449,-42.7294,-0.149772,0.0
