Header,,,,,,,,,,,,,,,
rate=30,,,,,,,,,,,,,,,
frames=120,,,,,,,,,,,,,,,
duration=2.0,,,,,,,,,,,,,,,
type=degree,,,,,,,,,,,,,,,
Body,,,,,,,,,,,,,,,
Time,Frame,RE,RS,LE,LS,NV,NH,HD,RK,RH,LK,LH,TV,TH,TO
0,0,36.5623,-46.3006,51.5717,-20.9257,-4.00E+01,-4.08028,0.655261,-41.8917,39.7923,-36.4166,-14.0306,17.3651,-46.3572,9.64903
0.0333333,1,48.7616,-50.3461,51.9041,-22.012,-4.00E+01,-4.2233,0.655261,-42.709,39.0002,-42.0643,-11.9648,17.141,-46.0659,9.59277
0.0666667,2,72.4808,-55.495,52.1516,-23.0203,-4.00E+01,-4.36137,0.655261,-43.1808,38.0354,-54.5193,-6.3469,16.4998,-45.2185,9.42981
0.1,3,94.3506,-55.9384,52.3156,-23.9892,-4.00E+01,-4.49358,0.655261,-43.3337,36.9365,-66.2085,-0.890977,15.4878,-43.8547,9.16882
0.133333,4,108.901,-48.6684,52.3969,-24.8914,-4.00E+01,-4.61902,0.655261,-43.1963,35.6855,-74.1413,3.67509,14.1513,-42.0143,8.8185
0.166667,5,113.636,-34.1043,52.3959,-25.7325,-4.00E+01,-4.7368,0.655261,-42.7964,34.3021,-79.3746,7.81797,12.5367,-39.7369,8.38754
0.2,6,111.18,-21.9161,52.3129,-26.5499,-4.00E+01,-4.84601,0.655261,-42.1653,32.7976,-84.3621,11.9466,10.6904,-37.0623,7.88465
0.233333,7,107.301,-15.6828,52.1477,-27.306,-4.00E+01,-4.94575,0.655261,-41.3378,31.1847,-89.0611,16.0664,8.6586,-34.0302,7.31849
0.266667,8,104.29,-11.2837,51.9004,-28.0475,-4.00E+01,-5.03512,0.655261,-40.3545,29.4799,-93.4302,20.1061,6.48778,-30.6803,6.69778
0.3,9,102.169,-8.37731,51.5712,-28.7481,-4.00E+01,-5.11322,0.655261,-39.261,27.7015,-97.4274,24.0892,4.22425,-27.0524,6.03121
0.333333,10,100.83,-6.66725,51.16,-29.4222,-4.00E+01,-5.17914,0.655261,-38.1111,25.8724,-101.011,27.9517,1.91437,-23.1861,5.32746
0.366667,11,100.087,-5.82421,50.6672,-30.0643,-4.00E+01,-5.23198,0.655261,-37.0966,24.0565,-104.136,31.6611,-0.395506,-19.1212,4.59522
0.4,12,99.7154,-5.56568,50.093,-30.7069,-4.00E+01,-5.27085,0.655261,-36.4001,22.3523,-106.758,35.2277,-2.65903,-14.8975,3.8432
0.433333,13,99.4723,-5.64579,49.4378,-31.3242,-4.00E+01,-5.29483,0.655261,-36.0409,20.739,-108.829,38.5667,-4.82986,-10.5545,3.08008
0.466667,14,99.1177,-5.77979,48.7016,-31.9282,-4.00E+01,-5.30302,0.655261,-36.006,19.2226,-110.302,41.6467,-6.86162,-6.13218,2.31455
0.5,15,98.4182,-5.6275,47.8847,-32.5212,-4.00E+01,-5.01954,0.655261,-36.256,17.7876,-111.129,44.416,-8.70798,-1.67009,1.55531
0.533333,16,96.9608,-5.27023,46.9868,-33.096,-4.00E+01,-4.31484,0.655261,-36.7299,16.4,-111.024,47.0665,-10.3226,2.792,0.811049
0.566667,17,94.5564,-4.8716,46.0075,-33.6785,-4.00E+01,-3.39874,0.655261,-37.3575,15.0591,-109.76,49.6687,-11.6591,7.21437,0.0904612
